Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Paul Goldschmidt,28,1B,5.0,158,705,579,106,172,33,3,24,95,32,5,110,150,0.297,0.411,0.489,0.899,133,0.398,135,283,14,7,0,8,15,*3/D,"AS,MVP-11"
Jake Lamb*,25,3B,2.8,151,594,523,81,130,31,9,29,91,6,1,64,154,0.249,0.332,0.509,0.84,114,0.367,116,266,13,3,0,4,5,*5H,0
Yasmany Tomás,25,RF,-0.9,140,563,530,72,144,30,1,31,83,2,4,31,136,0.272,0.313,0.508,0.82,108,0.353,109,269,18,1,0,1,4,*97/H3,0
Welington Castillo,29,C,2.2,113,457,416,41,110,24,0,14,68,2,0,33,121,0.264,0.322,0.423,0.745,91,0.332,91,176,5,4,0,4,3,2/HD,0
Jean Segura,26,2B,6.4,153,694,637,102,203,41,7,20,64,33,10,39,101,0.319,0.368,0.499,0.867,122,0.389,131,318,6,12,4,2,1,*46/H,MVP-13
Brandon Drury,23,LF,0.0,134,499,461,59,130,31,1,16,53,1,1,31,100,0.282,0.329,0.458,0.786,101,0.349,105,211,14,3,0,4,2,7954H/3,0
Chris Owings,24,UT,1.0,119,466,437,52,121,24,11,5,49,21,2,20,87,0.277,0.315,0.416,0.731,88,0.328,83,182,8,5,2,2,4,68/H4,0
Michael Bourn*,33,CF,-0.3,89,358,329,43,86,12,6,3,30,13,5,22,83,0.261,0.307,0.362,0.669,73,0.299,67,119,3,0,6,1,0,8/79H,0
Chris Herrmann*,28,C,1.3,56,166,148,21,42,5,4,6,28,4,0,16,44,0.284,0.352,0.493,0.845,116,0.369,115,73,2,0,1,1,1,2H/9738,0
Rickie Weeks,33,LF,-0.2,108,205,180,29,43,9,1,9,27,5,0,20,54,0.239,0.327,0.45,0.777,99,0.355,105,81,8,4,0,1,0,H7/D9,0
Nick Ahmed,26,SS,0.4,90,308,284,26,62,9,1,4,20,5,2,15,58,0.218,0.265,0.299,0.564,46,0.247,29,85,9,4,2,3,3,6/H,0
Mitch Haniger,25,CF,-0.1,34,123,109,9,25,2,1,5,17,0,0,12,27,0.229,0.309,0.404,0.713,83,0.312,77,44,3,1,0,1,2,8/79H,0
David Peralta*,28,RF,0.5,48,183,171,23,43,9,5,4,15,2,0,8,42,0.251,0.295,0.433,0.728,86,0.323,83,74,3,3,0,1,1,9/8H,0
Phil Gosselin,27,2B,0.5,122,240,220,26,61,12,1,2,13,3,0,15,46,0.277,0.324,0.368,0.692,79,0.316,78,81,0,1,2,2,0,H45/379D,0
Sócrates Brito*,23,OF,-0.5,40,97,95,10,17,3,1,4,12,2,0,2,23,0.179,0.196,0.358,0.554,39,0.249,29,34,3,0,0,0,0,89/7H,0
Peter O'Brien,25,LF,-0.7,28,67,64,6,9,1,0,5,9,0,0,3,27,0.141,0.179,0.391,0.57,42,0.227,13,25,2,0,0,0,2,7H/3,0
Tuffy Gosewisch,32,C,-0.8,33,99,90,8,14,1,1,3,7,0,0,7,22,0.156,0.224,0.289,0.513,32,0.23,18,26,1,1,1,0,0,2/H,0
