Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Freddie Freeman*,28,1B,5.5,162,707,618,94,191,44,4,23,98,10,3,76,132,.309,.388,.505,.892,139,.392,144,312,11,7,0,6,12,*3/H,"AS,MVP-4,GG"
Nick Markakis*,34,RF,2.6,162,705,623,78,185,43,2,14,93,1,1,72,80,.297,.366,.440,.806,116,.352,115,274,18,1,0,9,10,*9/7D,"AS,MVP-18,GG,SS"
Johan Camargo#,24,3B,3.2,134,524,464,63,126,27,1,19,76,1,1,51,108,.272,.349,.457,.806,115,.357,119,212,13,6,0,3,4,*56/H4,0
Ozzie Albies#,21,2B,4.1,158,684,639,105,167,40,5,24,72,14,3,36,116,.261,.305,.452,.757,101,.337,102,289,9,5,1,3,0,*4/H,AS
Ronald Acuña Jr.,20,LF,3.9,111,487,433,78,127,26,4,26,64,16,5,45,123,.293,.366,.552,.917,143,.398,147,239,4,6,0,3,2,78/9HD,"MVP-12,ROY-1"
Ender Inciarte*,27,CF,3.2,156,660,597,83,158,27,6,10,61,28,14,49,86,.265,.325,.380,.705,90,.315,88,227,6,6,4,4,1,*8/H,GG
Dansby Swanson,24,SS,2.2,136,533,478,51,114,25,4,14,59,10,4,44,122,.238,.304,.395,.699,87,.307,80,189,5,2,6,3,15,*6/H,0
Kurt Suzuki,34,C,2.1,105,388,347,45,94,24,0,12,50,0,0,22,43,.271,.332,.444,.776,107,.343,108,154,6,13,0,6,0,2H/D,0
Charlie Culberson,29,UT,0.7,113,322,296,47,80,18,2,12,45,4,2,21,85,.270,.326,.466,.792,111,.352,116,138,5,4,0,1,5,H756/4391,0
Tyler Flowers,32,C,0.7,82,296,251,34,57,9,0,8,30,0,0,35,76,.227,.341,.359,.700,90,.320,91,90,6,9,0,1,0,2/HD,0
Preston Tucker*,27,LF,0.0,80,142,129,15,31,10,0,4,22,0,0,9,34,.240,.303,.411,.714,90,.322,93,53,2,3,0,1,0,H7/9,0
Ryan Flaherty*,31,3B,-1.0,81,182,161,17,35,6,0,2,13,4,2,18,41,.217,.298,.292,.590,61,.257,44,47,5,1,1,1,4,5H/34,0
Lane Adams,28,OF,0.3,26,29,25,10,6,1,0,2,6,1,0,4,8,.240,.345,.520,.865,129,.406,148,13,1,0,0,0,0,H/978,0
José Bautista,37,3B,-0.4,12,40,35,3,5,1,0,2,5,0,0,5,12,.143,.250,.343,.593,58,.265,52,12,0,0,0,0,0,/5DH,0
Peter Bourjos,31,OF,0.0,36,47,44,5,9,2,1,1,4,0,0,2,15,.205,.239,.364,.603,60,.279,61,16,0,0,1,0,0,7H/89,0
Mike Foltynewicz,26,P,-0.5,30,66,58,3,3,1,0,0,4,0,0,0,41,.052,.052,.069,.121,-68,.051,-133,4,0,0,8,0,0,1,"AS,CYA-8"
Julio Teheran,27,P,0.4,28,54,40,2,7,0,0,1,4,0,0,1,8,.175,.190,.250,.440,18,.237,11,10,0,0,12,1,0,1,0
Chris Stewart,36,C,0.0,5,16,14,3,3,0,0,0,3,0,0,1,1,.214,.250,.214,.464,27,.268,54,3,2,0,0,1,0,/2,0
Danny Santana#,27,OF,0.0,15,32,28,4,5,3,0,0,2,1,1,3,11,.179,.281,.286,.567,54,.254,49,8,0,1,0,0,0,/7H89,0
Lucas Duda*,32,1B,0.1,20,22,18,1,4,2,0,1,2,0,0,4,7,.222,.364,.500,.864,130,.374,131,9,1,0,0,0,0,H/3,0
Brandon McCarthy,34,P,0.0,15,31,29,1,3,2,0,0,2,0,0,0,19,.103,.103,.172,.276,-27,.149,-43,5,0,0,2,0,0,1,0
Sean Newcomb*,25,P,-0.4,28,53,45,3,2,1,0,0,1,0,0,1,32,.044,.065,.067,.132,-64,.062,-127,3,0,0,7,0,0,1,0
Jesse Biddle*,26,P,0.1,56,2,2,0,1,1,0,0,1,0,0,0,0,.500,.500,1.000,1.500,291,.627,318,2,0,0,0,0,0,1,0
Michael Reed,25,LF,0.0,7,7,7,1,2,0,0,0,0,0,0,0,3,.286,.286,.286,.571,55,.243,36,2,0,0,0,0,0,/H7,0
Carlos Pérez,27,C,-0.4,8,22,21,0,3,0,0,0,0,0,0,1,6,.143,.182,.143,.325,-10,.154,-30,3,1,0,0,0,0,/2H,0
Adam Duvall,29,LF,-0.5,33,57,53,8,7,1,0,0,0,0,0,3,17,.132,.193,.151,.344,-5,.182,-10,8,1,1,0,0,0,H7/9,0
René Rivera,34,C,-0.1,3,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-145,0,0,0,0,0,0,/2,0
Dustin Peterson,23,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-145,0,0,0,0,0,0,/H,0
Rio Ruiz*,24,3B,0.1,14,15,12,1,1,0,0,0,0,0,0,2,5,.083,.267,.083,.350,1,.261,48,1,0,1,0,0,0,H/5,0
Aníbal Sánchez,34,P,-0.4,23,44,41,0,1,0,0,0,0,0,0,1,25,.024,.048,.024,.072,-80,.038,-125,1,2,0,2,0,0,1,0
Touki Toussaint,22,P,0.0,8,10,10,1,1,0,0,0,0,0,0,0,5,.100,.100,.100,.200,-46,.090,-77,1,0,0,0,0,0,/1H,0
Matt Wisler,25,P,-0.1,6,9,8,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,.000,-172,0,0,0,1,0,0,/1,0
Max Fried*,24,P,0.0,14,8,8,1,1,0,0,0,0,0,0,0,3,.125,.125,.125,.250,-32,.113,-60,1,0,0,0,0,0,1,0
Kevin Gausman*,27,P,0.0,11,23,19,0,1,0,0,0,0,0,0,4,9,.053,.217,.053,.270,-21,.160,-26,1,0,0,0,0,0,1/H,0
Michael Soroka,20,P,0.0,4,8,8,0,1,0,0,0,0,0,0,0,1,.125,.125,.125,.250,-32,.113,-60,1,0,0,0,0,0,/1,0
