Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Rougned Odor*,25,2B,-0.3,145,581,522,77,107,30,1,30,93,11,9,52,178,0.205,0.283,0.439,0.721,79,0.303,74,229,4,5,1,1,2,*4/HD,0
Danny Santana#,28,UT,2.0,130,511,474,81,134,23,6,28,81,21,6,25,151,0.283,0.324,0.534,0.857,112,0.36,109,253,8,6,0,5,2,38479H/65D,0
Elvis Andrus,30,SS,1.5,147,648,600,81,165,27,4,12,72,31,8,34,96,0.275,0.313,0.393,0.707,78,0.322,81,236,16,4,0,10,1,*6/D,0
Nomar Mazara*,24,RF,1.0,116,469,429,69,115,27,1,19,66,4,1,28,108,0.268,0.318,0.469,0.786,96,0.338,96,201,5,6,0,6,2,9/DH,0
Shin-Soo Choo*,36,DH,1.6,151,660,563,93,149,31,2,24,61,15,1,78,165,0.265,0.371,0.455,0.826,109,0.371,116,256,6,18,0,1,3,D97H,0
Hunter Pence,36,DH,1.6,83,316,286,53,85,17,1,18,59,6,1,26,69,0.297,0.358,0.552,0.91,126,0.386,128,158,2,2,0,2,0,D7H/9,AS
Asdrúbal Cabrera#,33,3B,-0.2,93,368,323,45,76,15,0,12,51,4,0,38,85,0.235,0.318,0.393,0.711,80,0.317,80,127,6,3,0,4,1,5/H,0
Joey Gallo*,25,OF,3.1,70,297,241,54,61,15,1,22,49,4,2,52,114,0.253,0.389,0.598,0.986,145,0.398,139,144,0,2,1,1,4,87/D,AS
Willie Calhoun*,24,LF,0.6,83,337,309,51,83,14,1,21,48,0,0,23,53,0.269,0.323,0.524,0.848,110,0.358,110,162,5,3,0,2,0,7/DH,0
Logan Forsythe,32,CI,-0.4,101,367,317,38,72,17,1,7,39,2,0,44,100,0.227,0.325,0.353,0.678,73,0.31,76,112,8,3,0,2,0,356H/4,0
Ronald Guzmán*,24,1B,0.0,87,295,256,34,56,20,0,10,36,1,2,32,87,0.219,0.308,0.414,0.723,81,0.306,76,106,7,3,0,4,1,3/HD,0
Delino DeShields,26,CF,1.3,118,408,357,42,89,15,4,4,32,24,6,38,100,0.249,0.325,0.347,0.672,72,0.314,75,124,8,3,8,2,0,*8H/D,0
Isiah Kiner-Falefa,24,UT,-0.2,65,222,202,23,48,12,1,1,21,3,0,14,49,0.238,0.299,0.322,0.62,58,0.276,50,65,9,4,1,1,0,25/HD,0
Nick Solak,24,DH,0.7,33,135,116,19,34,6,1,5,17,2,0,15,29,0.293,0.393,0.491,0.884,123,0.397,136,57,2,4,0,0,1,D5/4H,0
Jose Trevino,26,C,0.0,40,126,120,18,31,9,0,2,13,0,0,3,27,0.258,0.272,0.383,0.655,64,0.302,71,46,6,0,1,2,0,2/H,0
Jeff Mathis,36,C,-1.5,86,244,228,17,36,9,0,2,12,1,0,15,87,0.158,0.209,0.224,0.433,11,0.194,-6,51,2,0,0,1,1,2/1,0
Scott Heineman,26,UT,0.1,25,85,75,8,16,6,0,2,7,1,2,9,20,0.213,0.306,0.373,0.679,72,0.294,72,28,3,1,0,0,0,/8973,0
Tim Federowicz,31,C,-0.5,29,83,75,6,12,2,0,4,7,1,0,5,31,0.16,0.213,0.347,0.559,38,0.25,30,26,1,0,3,0,0,2/1,0
Patrick Wisdom,27,CI,-0.3,9,28,26,1,4,1,0,0,1,0,0,1,15,0.154,0.185,0.192,0.377,-3,0.202,-3,5,0,0,1,0,0,/35H,0
Mike Minor,31,P,-0.2,4,10,9,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,-100,0.0,-168,0,0,0,1,0,0,1/H,"AS,CYA-8"
Shelby Miller,28,P,0.1,2,3,1,0,0,0,0,0,0,0,0,2,1,0.0,0.667,0.0,0.667,98,0.464,184,0,0,0,0,0,0,1,0
Lance Lynn#,32,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-144,0,0,0,0,0,0,1,CYA-5
Kolby Allard*,21,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-144,0,0,0,0,0,0,/1,0
Jesse Chavez,35,P,0.1,4,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,157,0.443,172,1,0,0,0,0,0,1,0
Adrian Sampson,27,P,0.1,3,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.444,172,0,0,0,0,0,0,1,0
Ariel Jurado,23,P,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-131,0,0,0,0,0,0,1,0
Drew Smyly*,30,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-131,0,0,0,0,0,0,1,0
Pedro Payano,24,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-131,0,0,0,0,0,0,/1,0
