Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Welington Castillo,29,C,2.2,113,457,416,41,110,24,0,14,68,2,0,33,121,.264,.322,.423,.745,91,.332,91,176,5,4,0,4,3,2/HD,
2,Paul Goldschmidt,28,1B,5.0,158,705,579,106,172,33,3,24,95,32,5,110,150,.297,.411,.489,.899,133,.398,135,283,14,7,0,8,15,*3/D,"AS,MVP-11"
3,Jean Segura,26,2B,6.4,153,694,637,102,203,41,7,20,64,33,10,39,101,.319,.368,.499,.867,122,.389,131,318,6,12,4,2,1,*46/H,MVP-13
4,Nick Ahmed,26,SS,0.4,90,308,284,26,62,9,1,4,20,5,2,15,58,.218,.265,.299,.564,46,.247,29,85,9,4,2,3,3,6/H,
5,Jake Lamb*,25,3B,2.8,151,594,523,81,130,31,9,29,91,6,1,64,154,.249,.332,.509,.840,114,.367,116,266,13,3,0,4,5,*5H,
6,Brandon Drury,23,LF,0.0,134,499,461,59,130,31,1,16,53,1,1,31,100,.282,.329,.458,.786,101,.349,105,211,14,3,0,4,2,7954H/3,
7,Michael Bourn*,33,CF,-0.3,89,358,329,43,86,12,6,3,30,13,5,22,83,.261,.307,.362,.669,73,.299,67,119,3,0,6,1,0,8/79H,
8,Yasmany Tomás,25,RF,-0.9,140,563,530,72,144,30,1,31,83,2,4,31,136,.272,.313,.508,.820,108,.353,109,269,18,1,0,1,4,*97/H3,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
9,Chris Owings,24,UT,1.0,119,466,437,52,121,24,11,5,49,21,2,20,87,.277,.315,.416,.731,88,.328,83,182,8,5,2,2,4,68/H4,
10,Phil Gosselin,27,2B,0.5,122,240,220,26,61,12,1,2,13,3,0,15,46,.277,.324,.368,.692,79,.316,78,81,0,1,2,2,0,H45/379D,
11,Rickie Weeks,33,LF,-0.2,108,205,180,29,43,9,1,9,27,5,0,20,54,.239,.327,.450,.777,99,.355,105,81,8,4,0,1,0,H7/D9,
12,David Peralta*,28,RF,0.5,48,183,171,23,43,9,5,4,15,2,0,8,42,.251,.295,.433,.728,86,.323,83,74,3,3,0,1,1,9/8H,
13,Chris Herrmann*,28,C,1.3,56,166,148,21,42,5,4,6,28,4,0,16,44,.284,.352,.493,.845,116,.369,115,73,2,0,1,1,1,2H/9738,
14,Mitch Haniger,25,CF,-0.1,34,123,109,9,25,2,1,5,17,0,0,12,27,.229,.309,.404,.713,83,.312,77,44,3,1,0,1,2,8/79H,
15,Tuffy Gosewisch,32,C,-0.8,33,99,90,8,14,1,1,3,7,0,0,7,22,.156,.224,.289,.513,32,.230,18,26,1,1,1,0,0,2/H,
16,Sócrates Brito*,23,OF,-0.5,40,97,95,10,17,3,1,4,12,2,0,2,23,.179,.196,.358,.554,39,.249,29,34,3,0,0,0,0,89/7H,
17,Peter O'Brien,25,LF,-0.7,28,67,64,6,9,1,0,5,9,0,0,3,27,.141,.179,.391,.570,42,.227,13,25,2,0,0,0,2,7H/3,
18,AJ Pollock,28,CF,0.4,12,46,41,9,10,0,0,2,4,4,0,5,8,.244,.326,.390,.716,85,.339,82,16,1,0,0,0,0,8,
19,Kyle Jensen,28,UT,0.0,17,34,31,5,6,0,1,2,7,0,0,2,13,.194,.265,.452,.716,81,.307,74,14,1,1,0,0,0,H/379D,
20,Mike Freeman*,28,OF,-0.2,8,11,9,0,0,0,0,0,0,0,0,2,5,.000,.182,.000,.182,-46,.127,-56,0,1,0,0,0,0,/H79,
21,Óscar Hernández,22,C,0.0,4,11,11,1,2,0,0,1,1,0,0,0,0,.182,.182,.455,.636,57,.265,44,5,1,0,0,0,0,/2,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
22,Robbie Ray*,24,P,0.3,29,60,53,3,10,2,0,1,2,0,0,1,26,.189,.204,.283,.487,25,.226,6,15,0,0,6,0,0,1,
23,Zack Greinke,32,P,0.3,25,60,52,4,11,1,0,0,3,1,0,3,9,.212,.246,.231,.476,25,.217,1,12,0,0,3,2,0,1/H,GG
24,Patrick Corbin*,26,P,0.6,35,53,49,7,15,3,1,0,4,0,1,1,14,.306,.320,.408,.728,87,.301,75,20,0,0,3,0,0,1/H,
25,Archie Bradley,23,P,-0.5,25,48,43,2,3,0,0,0,4,0,0,0,28,.070,.068,.070,.138,-64,.059,-124,3,0,0,4,1,0,1,
26,Shelby Miller,25,P,-0.1,20,34,32,4,4,1,1,0,0,0,0,0,21,.125,.125,.219,.344,-13,.141,-55,7,0,0,2,0,0,1/7H,
27,Braden Shipley,24,P,-0.1,13,27,26,2,3,1,0,0,2,1,0,0,10,.115,.115,.154,.269,-31,.127,-69,4,0,0,1,0,0,1/H,
28,Zack Godley,26,P,-0.1,24,19,18,1,2,0,0,0,0,0,0,0,9,.111,.111,.111,.222,-42,.100,-85,2,0,0,1,0,0,1,
29,Rubby De La Rosa,27,P,-0.1,13,17,14,0,1,0,0,0,1,0,0,0,3,.071,.071,.071,.143,-63,.122,-93,1,1,0,3,0,0,1,
30,Matt Koch*,25,P,0.0,5,6,3,0,0,0,0,0,0,0,0,1,3,.000,.250,.000,.250,-26,.174,-83,0,0,0,2,0,0,/1,
31,Edwin Escobar*,24,P,0.0,24,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-148,0,0,0,0,0,0,1,
32,Randall Delgado,26,P,0.0,75,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-148,0,0,0,0,0,0,1,
33,Tyler Wagner,25,P,0.0,3,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-148,0,0,0,0,0,0,/1,
34,José Campos,23,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-148,0,0,0,0,0,0,/1,
35,Silvino Bracho,23,P,0.0,25,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-155,0,0,0,0,0,0,1,
36,Matt Buschmann,32,P,0.0,3,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-155,0,0,0,0,0,0,/1,
37,Brad Ziegler,36,P,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
38,Evan Marshall,26,P,0.0,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
39,Adam Loewen*,32,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
40,Dominic Leone,24,P,0.0,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
41,Daniel Hudson,29,P,0.0,65,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
42,Keith Hessler*,27,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
43,Steve Hathaway*,25,P,0.0,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
44,Kyle Drabek,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
45,Zac Curtis*,23,P,0.0,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
46,Josh Collmenter,30,P,0.0,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
47,Tyler Clippard,31,P,0.0,38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
48,Andrew Chafin,26,P,0.0,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
49,Enrique Burgos,25,P,0.0,41,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
50,Jake Barrett,24,P,0.0,65,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
,Team Totals,,,16.7,162,6260,5665,752,1479,285,56,190,709,137,31,463,1427,.261,.320,.432,.752,93,.334,91,2446,117,50,43,38,43,,
,Non-Pitcher Totals,,,16.7,,5926,5365,729,1430,277,54,189,693,135,30,457,1301,.267,.328,.444,.772,98,.342,97,2382,116,50,18,35,43,,
,Pitcher Totals,,,0.0,,334,300,23,49,8,2,1,16,2,1,6,126,.163,.178,.213,.391,1,.176,-31,64,1,0,25,3,0,,
