Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
Mike Foltynewicz,24,SP,1.5,9,5,0.643,4.31,22,22,0,0,0,0,123.1,125,61,59,18,35,2,111,6,1,13,525,96.0,4.24,1.297,9.1,1.3,2.6,8.1,3.17,0
Julio Teheran,25,SP,4.7,7,10,0.412,3.21,30,30,0,1,1,0,188.0,157,70,67,22,41,2,167,9,1,7,758,129.0,3.69,1.053,7.5,1.1,2.0,8.0,4.07,AS
Matt Wisler,23,SP,0.5,7,13,0.35,5.0,27,26,1,0,0,1,156.2,159,90,87,26,49,3,115,4,1,5,671,83.0,4.85,1.328,9.1,1.5,2.8,6.6,2.35,0
Mauricio Cabrera,22,0,0.8,5,1,0.833,2.82,41,0,10,0,0,6,38.1,31,14,12,0,19,1,32,1,0,2,162,148.0,3.04,1.304,7.3,0.0,4.5,7.5,1.68,0
Bud Norris,31,0,0.7,3,7,0.3,4.22,22,10,0,0,0,0,70.1,68,34,33,6,28,1,60,2,0,3,301,98.0,3.83,1.365,8.7,0.8,3.6,7.7,2.14,0
Chris Withrow,27,RP,0.5,3,0,1.0,3.58,46,0,6,0,0,0,37.2,29,16,15,5,17,1,28,2,0,1,158,116.0,4.9,1.221,6.9,1.2,4.1,6.7,1.65,0
Dario Álvarez*,27,0,0.4,3,1,0.75,3.0,16,0,4,0,0,0,15.0,11,5,5,3,5,2,28,1,0,4,61,141.0,3.21,1.067,6.6,1.8,3.0,16.8,5.6,0
Ian Krol*,25,RP,1.0,2,0,1.0,3.18,63,0,7,0,0,0,51.0,54,19,18,4,13,3,56,3,0,5,217,131.0,2.91,1.314,9.5,0.7,2.3,9.9,4.31,0
Jim Johnson,33,CL,1.4,2,6,0.25,3.06,65,0,36,0,0,20,64.2,57,23,22,3,20,0,68,3,0,6,266,136.0,2.71,1.191,7.9,0.4,2.8,9.5,3.4,0
Tyrell Jenkins,23,0,-0.4,2,4,0.333,5.88,14,8,2,0,0,0,52.0,55,35,34,11,33,1,26,1,0,1,237,71.0,6.86,1.692,9.5,1.9,5.7,4.5,0.79,0
Aaron Blair,24,SP,-1.7,2,7,0.222,7.59,15,15,0,0,0,0,70.0,82,61,59,14,34,4,46,6,0,0,324,55.0,6.15,1.657,10.5,1.8,4.4,5.9,1.35,0
Lucas Harrell,31,0,0.6,2,2,0.5,3.38,5,5,0,0,0,0,29.1,25,13,11,1,12,0,21,3,0,3,124,124.0,3.69,1.261,7.7,0.3,3.7,6.4,1.75,0
José Ramírez,26,0,0.1,2,2,0.5,3.58,33,0,5,0,0,0,32.2,26,16,13,2,18,4,33,4,0,3,143,117.0,3.94,1.347,7.2,0.6,5.0,9.1,1.83,0
Alexi Ogando,32,0,0.0,2,1,0.667,3.94,36,0,11,0,0,0,32.0,32,18,14,2,23,5,29,1,0,3,148,106.0,4.4,1.719,9.0,0.6,6.5,8.2,1.26,0
Williams Pérez,25,SP,-0.5,2,3,0.4,6.04,11,11,0,0,0,0,53.2,57,37,36,7,15,3,27,2,0,4,233,69.0,4.79,1.342,9.6,1.2,2.5,4.5,1.8,0
