Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Nick Hundley,32,C,0.1,83,317,289,30,75,20,1,10,48,0,0,25,65,.260,.320,.439,.759,88,.337,88,127,12,1,1,1,3,2/H,
2,Mark Reynolds,32,1B,1.3,118,441,393,61,111,24,0,14,53,1,2,42,112,.282,.356,.450,.806,101,.360,106,177,6,4,0,2,1,*3/H4,
3,DJ LeMahieu,27,2B,5.3,146,635,552,104,192,32,8,11,66,11,7,66,80,.348,.416,.495,.911,128,.404,138,273,19,3,8,6,2,*4/H,MVP-15
4,Trevor Story,23,SS,4.3,97,415,372,67,101,21,4,27,72,8,5,35,130,.272,.341,.567,.909,122,.380,121,211,5,5,2,1,2,6/H,ROY-4
5,Nolan Arenado,25,3B,5.9,160,696,618,116,182,35,6,41,133,2,3,68,103,.294,.362,.570,.932,129,.393,130,352,17,2,0,8,10,*5,"AS,MVP-5,GG,SS"
6,Gerardo Parra*,29,LF,-2.4,102,381,368,45,93,27,3,7,39,6,4,9,73,.253,.271,.399,.671,65,.293,58,147,16,1,1,2,1,7398/H,
7,Charlie Blackmon*,29,CF,4.6,143,641,578,111,187,35,5,29,82,17,9,43,102,.324,.381,.552,.933,130,.400,135,319,2,13,3,4,4,*8/H,"MVP-26,SS"
8,Carlos González*,30,RF,2.3,150,632,584,87,174,42,2,25,100,2,2,46,129,.298,.350,.505,.855,111,.363,108,295,10,1,0,1,6,*9/H,AS
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
9,Daniel Descalso*,29,SS,0.5,99,289,250,38,66,12,2,8,38,3,0,34,56,.264,.349,.424,.773,93,.343,91,106,2,1,0,4,3,6H34/75D,
10,Cristhian Adames#,24,SS,-0.8,121,256,225,25,49,7,3,2,17,2,3,24,47,.218,.304,.302,.607,53,.277,48,68,5,4,3,0,0,H645,
11,Ryan Raburn,35,LF,-0.7,113,256,223,30,49,10,2,9,30,0,0,28,80,.220,.309,.404,.712,77,.313,71,90,6,2,0,3,0,H7/D39,
12,David Dahl*,22,LF,1.0,63,237,222,42,70,12,4,7,24,5,0,15,59,.315,.359,.500,.859,113,.379,115,111,3,0,0,0,0,7/8H9,
13,Tony Wolters*,24,C,0.9,71,230,205,27,53,15,2,3,30,4,1,21,53,.259,.327,.395,.723,81,.335,85,81,1,0,4,0,2,2/H46,
14,Brandon Barnes,30,OF,0.0,48,109,100,10,22,6,2,0,8,1,2,3,30,.220,.250,.320,.570,42,.256,32,32,0,1,5,0,0,78H/9,
15,Ben Paulsen*,28,1B,-1.2,39,97,92,8,20,5,0,1,11,0,0,5,27,.217,.258,.304,.562,41,.251,25,28,2,0,0,0,1,3H/7,
