Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Yasmani Grandal#,27,C,3.0,126,457,390,49,89,14,1,27,72,1,3,64,116,.228,.339,.477,.816,118,.355,121,186,11,2,0,1,1,*2H/3,MVP-22
2,Adrián González*,34,1B,1.8,156,633,568,69,162,31,0,18,90,0,2,55,117,.285,.349,.435,.784,111,.343,111,247,16,4,0,6,9,*3/HD,
3,Chase Utley*,37,2B,1.3,138,565,512,79,129,26,3,14,52,2,2,40,115,.252,.319,.396,.716,92,.324,97,203,0,11,1,1,1,*4H/5,
4,Corey Seager*,22,SS,5.2,157,687,627,105,193,40,5,26,72,3,3,54,133,.308,.365,.512,.877,134,.379,137,321,12,4,0,2,5,*6/H,"AS,MVP-3,ROY-1,SS"
5,Justin Turner,31,3B,5.1,151,622,556,79,153,34,3,27,90,4,1,48,107,.275,.339,.493,.832,121,.368,127,274,16,10,0,8,1,*5H/D3,MVP-9
6,Howie Kendrick,32,LF,0.8,146,543,487,65,124,26,2,8,40,10,2,50,96,.255,.326,.366,.691,87,.319,90,178,20,3,0,3,2,74H53/D,
7,Joc Pederson*,24,CF,3.3,137,476,406,64,100,26,0,25,68,6,2,63,130,.246,.352,.495,.847,126,.367,127,201,5,4,1,2,4,*8H,
8,Yasiel Puig,25,RF,1.3,104,368,334,45,88,14,2,11,45,5,2,24,74,.263,.323,.416,.740,98,.325,96,139,10,7,0,3,0,9H/78,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
9,Trayce Thompson,25,OF,0.7,80,262,236,31,53,11,0,13,32,5,1,26,66,.225,.302,.436,.738,96,.321,92,103,3,0,0,0,0,897H,
10,Kiké Hernández,24,OF,0.0,109,244,216,25,41,8,0,7,18,2,0,28,64,.190,.283,.324,.607,64,.289,69,70,3,0,0,0,1,H784/956D,
