Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Cameron Rupp,27,C,1.1,105,419,389,36,98,26,1,16,54,1,0,24,114,.252,.303,.447,.750,98,.335,101,174,11,5,0,1,0,2/H,
2,Tommy Joseph,24,1B,0.5,107,347,315,47,81,15,0,21,47,1,1,22,75,.257,.308,.505,.813,113,.351,114,159,11,4,0,6,0,3H,
3,César Hernández#,26,2B,3.0,155,622,547,67,161,14,11,6,39,17,13,66,116,.294,.371,.393,.764,106,.340,108,215,6,2,5,2,4,*4/H6,
4,Freddy Galvis#,26,SS,1.1,158,624,584,61,141,26,3,20,67,17,6,25,136,.241,.274,.399,.673,78,.293,70,233,16,3,8,4,6,*6/H,
5,Maikel Franco,23,3B,0.6,152,630,581,67,148,23,1,25,88,1,1,40,106,.255,.306,.427,.733,94,.324,94,248,13,5,0,4,7,*5/H,
6,Cody Asche*,26,LF,-0.8,71,218,197,22,42,15,0,4,18,3,1,18,54,.213,.284,.350,.635,69,.289,68,69,1,2,0,1,0,7H,
7,Odúbel Herrera*,24,CF,4.6,159,656,583,87,167,21,6,15,49,25,7,63,134,.286,.361,.420,.781,109,.352,111,245,6,6,2,2,7,*8/H,AS
8,Peter Bourjos,29,RF,0.4,123,383,355,40,89,20,7,5,23,6,4,17,91,.251,.292,.389,.681,81,.306,81,138,6,4,6,1,2,*98/H,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
9,Ryan Howard*,36,1B,-1.2,112,362,331,35,65,10,0,25,59,0,1,27,114,.196,.257,.453,.710,85,.303,79,150,7,1,0,3,2,3H/D,
10,Tyler Goeddel,23,LF,-1.2,92,234,213,17,41,3,3,4,16,3,0,17,52,.192,.258,.291,.549,47,.256,42,62,4,2,1,1,0,7H9,
11,Aaron Altherr,25,RF,-0.2,57,227,198,23,39,6,0,4,22,7,2,23,69,.197,.300,.288,.587,59,.288,65,57,4,6,0,0,2,978/H,
12,Andrés Blanco#,32,IF,-0.5,90,209,190,26,48,15,1,4,21,2,3,11,41,.253,.316,.405,.721,92,.330,102,77,7,7,0,1,0,H5436/7,
13,Carlos Ruiz,37,C,1.6,48,193,165,18,43,6,0,3,12,3,1,24,28,.261,.368,.352,.719,95,.339,104,58,3,4,0,0,1,2/DH,
14,Jimmy Paredes#,27,OF,-0.3,76,150,143,13,31,7,0,4,17,0,1,5,44,.217,.242,.350,.591,56,.269,56,50,0,0,1,1,0,H79/4,
15,Darin Ruf,29,UT,-0.7,43,89,83,8,17,2,0,3,9,0,1,4,25,.205,.236,.337,.573,51,.242,39,28,5,0,0,2,0,H37,
16,David Lough*,30,OF,-0.2,30,79,67,6,16,3,1,0,4,1,2,9,8,.239,.342,.313,.655,78,.296,81,21,0,2,0,1,1,79/H,
17,Roman Quinn#,23,OF,0.3,15,69,57,10,15,4,0,0,6,5,1,8,19,.263,.373,.333,.706,92,.329,90,19,0,2,2,0,0,7/98,
18,Emmanuel Burriss#,31,UT,-0.6,39,50,45,3,5,1,1,0,0,1,0,2,10,.111,.184,.178,.361,-2,.176,-19,8,1,2,1,0,0,H/4673D,
19,Cedric Hunter*,28,OF,-0.7,13,36,34,3,3,0,0,1,1,0,0,2,6,.088,.139,.176,.315,-16,.142,-38,6,1,0,0,0,0,7/H9,
20,A.J. Ellis,35,C,0.2,11,35,32,3,10,3,0,1,9,1,0,3,7,.313,.371,.500,.871,131,.386,133,16,0,0,0,0,0,2,
21,Taylor Featherston,26,2B,-0.3,19,28,26,2,3,1,0,0,1,2,0,2,11,.115,.179,.154,.332,-9,.176,-26,4,0,0,0,0,0,H/4,
22,Jorge Alfaro,23,C,-0.4,6,17,16,0,2,0,0,0,0,0,0,1,8,.125,.176,.125,.301,-17,.106,-74,2,0,0,0,0,1,/2H,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
23,Jeremy Hellickson,29,P,0.2,31,66,54,3,9,1,0,0,4,0,0,4,24,.167,.224,.185,.409,12,.192,-15,10,1,0,8,0,0,1,
24,Jerad Eickhoff,25,P,-0.1,30,62,61,4,8,3,0,0,5,0,0,1,12,.131,.145,.180,.325,-13,.157,-27,11,3,0,0,0,0,1,
25,Vince Velasquez,24,P,0.2,23,44,40,4,8,1,0,0,0,0,0,1,16,.200,.220,.225,.445,20,.214,8,9,1,0,3,0,0,1,
26,Adam Morgan*,26,P,-0.1,22,36,32,1,3,1,0,0,1,0,0,1,11,.094,.121,.125,.246,-34,.111,-75,4,0,0,3,0,0,1,
27,Aaron Nola,23,P,-0.2,18,35,30,1,1,1,0,0,0,0,0,3,17,.033,.147,.067,.214,-40,.120,-58,2,1,1,1,0,0,1,
28,Zach Eflin,22,P,0.1,10,23,23,2,6,2,0,0,0,0,0,0,8,.261,.261,.348,.609,61,.265,51,8,2,0,0,0,0,1,
