Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Ian Desmond,30.0,3,14,14,0,3,1,0,0,2,0,0,0,3,0.214,0.214,0.286,0.5,4,0,0,0,0,0,*/8,
2.0,Carlos Gómez,30.0,3,14,13,1,2,0,0,0,1,1,0,1,5,0.154,0.214,0.154,0.368,2,0,0,0,0,0,*/7,
3.0,Carlos Beltrán#,39.0,3,12,11,0,2,0,0,0,1,0,0,1,1,0.182,0.25,0.182,0.432,2,0,0,0,0,0,/*D,
4.0,Adrian Beltré,37.0,3,12,11,1,2,1,0,0,0,0,0,1,2,0.182,0.25,0.273,0.523,3,1,0,0,0,0,/*5,
5.0,Rougned Odor*,22.0,3,12,10,2,2,0,0,1,2,0,0,2,1,0.2,0.333,0.5,0.833,5,0,0,0,0,0,/*4,
6.0,Jonathan Lucroy,30.0,3,12,12,1,1,0,0,0,0,0,0,0,2,0.083,0.083,0.083,0.167,1,0,0,0,0,0,/*2,
7.0,Elvis Andrus,27.0,3,11,11,2,4,0,1,1,1,0,1,0,0,0.364,0.364,0.818,1.182,9,0,0,0,0,0,/*6,
8.0,Mitch Moreland*,30.0,3,9,8,1,2,2,0,0,2,0,0,1,1,0.25,0.333,0.5,0.833,4,0,0,0,0,0,/*3H,
9.0,Nomar Mazara*,21.0,2,6,6,1,1,0,0,0,0,0,0,0,3,0.167,0.167,0.167,0.333,1,0,0,0,0,0,/9,
10.0,Ryan Rua,26.0,1,3,3,0,2,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.333,2,0,0,0,0,0,/3,
11.0,Shin-Soo Choo*,33.0,1,3,3,0,0,0,0,0,1,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/9,
12.0,Robinson Chirinos,32.0,1,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,/H,
13.0,Jared Hoying*,27.0,2,1,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/9H,
14.0,Sam Dyson,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
15.0,Colby Lewis,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
16.0,Keone Kela,23.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
17.0,Jeremy Jeffress,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
18.0,Cole Hamels*,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
19.0,Jake Diekman,29.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
20.0,Yu Darvish,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
21.0,Álex Claudio*,24.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
22.0,Matt Bush,30.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
23.0,Tony Barnette,32.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
,Team Totals,,3,110,103,10,21,4,1,2,10,1,1,7,22,0.204,0.255,0.32,0.575,33,1,0,0,0,0,,
