Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Wilson Ramos,28,C,3.0,131,523,482,58,148,25,0,22,80,0,0,35,79,.307,.354,.496,.850,121,.373,125,239,17,2,0,4,2,*2/H,"AS,MVP-17,SS"
2,Ryan Zimmerman,31,1B,-0.7,115,467,427,60,93,18,1,15,46,4,1,29,104,.218,.272,.370,.642,67,.289,64,158,12,5,0,6,1,*3/D,
3,Daniel Murphy*,31,2B,4.5,142,582,531,88,184,47,5,25,104,5,3,35,57,.347,.390,.595,.985,155,.411,154,316,4,8,0,8,10,*43/H5D,"AS,MVP-2,SS"
4,Danny Espinosa#,29,SS,2.0,157,601,516,66,108,15,0,24,72,9,2,54,174,.209,.306,.378,.684,79,.299,70,195,4,20,7,4,12,*6/H,
5,Anthony Rendon,26,3B,4.5,156,647,567,91,153,38,2,20,85,12,6,65,117,.270,.348,.450,.797,108,.350,109,255,5,7,0,8,2,*5/H,
6,Jayson Werth,37,LF,0.3,143,606,525,84,128,28,0,21,69,5,1,71,139,.244,.335,.417,.752,97,.336,98,219,17,4,0,6,0,*7/DH9,
7,Ben Revere*,28,CF,-1.0,103,375,350,44,76,9,7,2,24,14,5,18,34,.217,.260,.300,.560,47,.258,40,105,12,3,2,2,0,87H,
8,Bryce Harper*,23,RF,1.5,147,627,506,84,123,24,2,24,86,21,10,108,117,.243,.373,.441,.814,114,.352,110,223,11,3,0,10,20,*9/H,AS
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
9,Trea Turner,23,UT,3.4,73,324,307,53,105,14,8,13,40,33,6,14,59,.342,.370,.567,.937,142,.422,150,174,1,1,0,2,0,84/6H,ROY-2
