Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Trea Turner,23.0,5,24,22,5,7,0,0,0,1,2,0,1,11,0.318,0.333,0.318,0.652,7,0.0,0,0,1.0,0.0,*/84,
2.0,Bryce Harper*,23.0,5,24,17,4,4,1,0,0,1,3,0,6,6,0.235,0.458,0.294,0.752,5,0.0,1,0,0.0,0.0,*/9,
3.0,Jayson Werth,37.0,5,23,18,4,7,2,0,1,3,1,0,4,9,0.389,0.522,0.667,1.188,12,0.0,1,0,0.0,0.0,*/7,
4.0,Daniel Murphy*,31.0,5,22,16,3,7,0,0,0,6,2,1,5,1,0.438,0.545,0.438,0.983,7,0.0,0,0,1.0,2.0,/*43,
5.0,Anthony Rendon,26.0,5,21,20,1,3,0,0,1,4,0,0,1,6,0.15,0.19,0.3,0.49,6,0.0,0,0,0.0,0.0,/*5,
6.0,Ryan Zimmerman,31.0,5,20,17,1,6,2,0,0,2,0,0,3,3,0.353,0.45,0.471,0.921,8,0.0,0,0,0.0,0.0,/*3,
7.0,Danny Espinosa#,29.0,5,18,14,3,2,0,0,0,1,0,0,1,8,0.143,0.333,0.143,0.476,2,0.0,3,0,0.0,0.0,/*6,
8.0,Pedro Severino,22.0,4,10,10,1,1,1,0,0,0,0,0,0,3,0.1,0.1,0.2,0.3,2,0.0,0,0,0.0,0.0,/*2H,
9.0,Jose Lobaton#,31.0,4,9,9,1,2,0,0,1,3,0,0,0,2,0.222,0.222,0.556,0.778,5,1.0,0,0,0.0,0.0,/*2,
10.0,Stephen Drew*,33.0,4,5,4,0,0,0,0,0,0,0,0,1,3,0.0,0.2,0.0,0.2,0,0.0,0,0,0.0,0.0,/6H5,
11.0,Chris Heisey,31.0,5,5,4,1,1,0,0,1,3,0,0,0,2,0.25,0.2,1.0,1.2,4,0.0,0,0,1.0,0.0,/*H,
12.0,Max Scherzer,31.0,2,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
13.0,Clint Robinson*,31.0,3,3,3,0,2,1,0,0,0,0,0,0,0,0.667,0.667,1.0,1.667,3,0.0,0,0,0.0,0.0,/H3,
14.0,Wilmer Difo#,24.0,2,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H,
15.0,Michael A. Taylor,25.0,3,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H8,
16.0,Tanner Roark,29.0,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
17.0,Gio González,30.0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
18.0,Joe Ross,23.0,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1H,
19.0,Marc Rzepczynski*,30.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
20.0,Sammy Solís,27.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
21.0,Óliver Pérez*,34.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
22.0,Blake Treinen,28.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
23.0,Mark Melancon,31.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
24.0,Reynaldo López,22.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
25.0,Shawn Kelley,32.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
,Team Totals,,5,197,167,24,42,7,0,4,24,8,1,22,63,0.251,0.35,0.365,0.716,61,1.0,5,0,3.0,2.0,,
