Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Omar Narváez*,25,C,1.1,90,295,253,23,70,10,0,2,14,0,0,38,45,.277,.373,.340,.713,97,.326,100,86,8,1,3,0,1,2/H3D,
2,José Abreu,30,1B,4.9,156,675,621,95,189,43,6,33,102,3,0,35,119,.304,.354,.552,.906,141,.387,143,343,21,15,0,4,6,*3D,MVP-14
3,Yolmer Sánchez#,25,2B,3.4,141,534,484,63,129,19,8,12,59,8,9,35,111,.267,.319,.413,.732,97,.323,101,200,10,4,7,4,2,45H/D69,
4,Tim Anderson,24,SS,-0.4,146,606,587,72,151,26,4,17,56,15,1,13,162,.257,.276,.402,.679,81,.305,82,236,13,3,2,1,0,*6/H,
5,Todd Frazier,31,3B,1.8,81,335,280,41,58,15,0,16,44,4,3,48,71,.207,.328,.432,.761,104,.336,108,121,4,4,0,3,1,5D/3H,
6,Melky Cabrera#,32,LF,0.9,98,428,397,54,117,17,0,13,56,0,0,25,52,.295,.336,.436,.771,107,.340,110,173,7,1,2,3,1,7/DH,
7,Adam Engel,25,CF,-0.7,97,336,301,34,50,11,3,6,21,8,1,19,117,.166,.235,.282,.517,40,.251,42,85,1,8,8,0,0,8/H7,
8,Avisaíl García,26,RF,4.4,136,561,518,75,171,27,5,18,80,5,3,33,111,.330,.380,.506,.885,138,.384,142,262,14,9,0,1,5,*9/DH,AS
9,Matt Davidson,26,DH,-0.8,118,443,414,43,91,16,1,26,68,0,1,19,165,.220,.260,.452,.711,88,.298,81,187,12,5,0,5,0,D53H,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Leury García#,26,OF,1.0,87,326,300,41,81,15,2,9,33,8,5,13,69,.270,.316,.423,.739,98,.316,94,127,4,8,3,2,0,87/H946,
11,Kevan Smith,29,C,-0.2,87,294,276,23,78,17,0,4,30,0,0,9,46,.283,.309,.388,.697,88,.306,85,107,9,3,2,3,0,2H/D,
12,Tyler Saladino,27,IF,-0.5,79,281,253,23,45,9,2,0,10,5,4,23,67,.178,.254,.229,.484,33,.233,35,58,5,3,2,0,0,45D6/H3,
13,Yoán Moncada#,22,2B,1.7,54,231,199,31,46,8,2,8,22,3,2,29,74,.231,.338,.412,.750,103,.325,100,82,0,3,0,0,0,4,
14,Alen Hanson#,24,UT,-0.2,69,175,160,28,37,9,1,4,10,9,2,10,43,.231,.276,.375,.651,74,.292,71,60,5,1,1,3,0,H948/7D5,
15,Nicky Delmonico*,24,LF,1.4,43,166,141,25,37,4,0,9,23,2,0,23,31,.262,.373,.482,.856,130,.391,144,68,5,2,0,0,0,7D/3H,
16,Willy García,24,OF,-0.3,44,119,105,15,25,5,3,2,12,0,0,11,31,.238,.305,.400,.705,90,.308,87,42,2,0,1,2,0,978/HD,
17,Cody Asche*,27,DH,-0.9,19,62,57,5,6,1,0,1,4,0,0,3,21,.105,.177,.175,.353,-3,.156,-24,10,1,2,0,0,1,D/H357,
18,Geovany Soto,34,C,0.0,13,48,42,5,8,0,0,3,9,0,0,4,10,.190,.271,.405,.676,80,.289,73,17,2,1,0,1,0,2/H,
19,Rymer Liriano,26,OF,0.2,21,46,41,4,9,2,0,1,6,1,0,5,14,.220,.304,.341,.646,75,.289,70,14,0,0,0,0,0,7/9DH,
20,Jacob May#,25,OF,-0.6,15,42,36,2,2,0,0,0,3,0,0,3,17,.056,.150,.056,.206,-40,.137,-42,2,1,1,2,0,0,8/79H,
21,Rob Brantly*,27,C,0.3,13,36,31,4,9,1,0,2,5,0,0,3,14,.290,.389,.516,.905,143,.390,146,16,0,2,0,0,0,/2DH1,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
22,Miguel González,33,P,-0.1,3,7,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-172,0,0,0,1,0,0,1,
23,Carlos Rodón*,24,P,0.1,3,7,6,0,2,1,0,0,2,0,0,0,2,.333,.333,.500,.833,122,.353,122,3,0,0,1,0,0,1,
24,Jose Quintana,28,P,-0.1,2,4,3,0,0,0,0,0,1,0,0,0,2,.000,.000,.000,.000,-100,.000,-133,0,0,0,0,1,0,1,
25,Derek Holland#,30,P,0.1,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,448,.892,508,1,0,0,0,0,0,1,
26,Dylan Covey,25,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-133,0,0,0,0,0,0,1,
27,Michael Ynoa,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
28,Anthony Swarzak,31,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
29,David Robertson,32,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
30,Jake Petricka,29,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
31,Mike Pelfrey,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
32,Juan Minaya,26,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
33,Tommy Kahnle,27,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
34,Dan Jennings*,30,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
35,Gregory Infante,29,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
36,David Holmberg,25,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
37,Tyler Clippard,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
38,Aaron Bummer*,23,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
39,Chris Beck,26,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
,Team Totals,,,16.7,162,6059,5513,706,1412,256,37,186,670,71,31,401,1397,.256,.314,.417,.731,96,.322,97,2300,124,76,35,33,17,,
,Non-Pitcher Totals,,,16.6,,6039,5496,706,1409,255,37,186,667,71,31,401,1390,.256,.314,.418,.732,96,.322,97,2296,124,76,33,32,17,,
,Pitcher Totals,,,0.1,,20,17,0,3,1,0,0,3,0,0,0,7,.176,.167,.235,.402,7,.167,-25,4,0,0,2,1,0,,
