Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Nolan Arenado,26.0,1,5,5,2,1,0,0,1,1,0,0,0,1,0.2,0.2,0.8,1.0,4,0.0,0,0,0.0,0.0,/*5,
2.0,Charlie Blackmon*,30.0,1,5,4,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,*/8,
3.0,Carlos González*,31.0,1,5,5,0,2,0,0,0,1,0,0,0,1,0.4,0.4,0.4,0.8,2,0.0,0,0,0.0,0.0,*/9,
4.0,DJ LeMahieu,28.0,1,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/*4,
5.0,Trevor Story,24.0,1,4,4,2,2,0,0,1,1,0,0,0,0,0.5,0.5,1.25,1.75,5,0.0,0,0,0.0,0.0,/*6,
6.0,Jonathan Lucroy,31.0,1,4,3,2,2,2,0,0,1,0,0,1,0,0.667,0.75,1.333,2.083,4,0.0,0,0,0.0,0.0,/*2,
7.0,Gerardo Parra*,30.0,1,4,4,1,2,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1.0,2,0.0,0,0,0.0,0.0,*/7,
8.0,Mark Reynolds,33.0,1,3,3,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0.0,0.0,/*3,
9.0,Ian Desmond,31.0,1,2,2,1,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,1,0.0,0,0,0.0,0.0,/*3,
10.0,Pat Valaika,24.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,2,0.0,0,0,0.0,0.0,/*H,
11.0,Alexi Amarista*,28.0,1,1,1,0,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,1,0.0,0,0,0.0,0.0,/*H,
12.0,Raimel Tapia*,23.0,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0.0,0,0,0.0,0.0,/*H,
13.0,Pat Neshek#,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
14.0,Scott Oberg,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
15.0,Jake McGee*,30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
16.0,Greg Holland,31.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
17.0,Chris Rusin*,30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
18.0,Jon Gray,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
19.0,Carlos Estévez,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
20.0,Tyler Anderson*,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
,Team Totals,,1,40,38,8,13,3,0,2,8,0,0,1,6,0.342,0.359,0.579,0.938,22,1.0,0,1,0.0,0.0,,
