Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,James McCann,27,C,1.4,106,391,352,39,89,14,2,13,49,1,0,26,89,.253,.318,.415,.733,94,.331,99,146,8,9,1,3,0,2/HD,
2,Miguel Cabrera,34,1B,-0.9,130,529,469,50,117,22,0,16,60,0,1,54,110,.249,.329,.399,.728,93,.321,93,187,15,3,0,3,6,*3D/H,
3,Ian Kinsler,35,2B,2.0,139,613,551,90,130,25,3,22,52,14,5,55,86,.236,.313,.412,.725,92,.315,87,227,9,7,0,0,2,*4/DH,
4,Jose Iglesias,27,SS,0.6,130,489,463,56,118,33,1,6,54,7,4,21,65,.255,.288,.369,.657,74,.288,69,171,6,1,3,1,0,*6,
5,Nick Castellanos,25,3B,0.1,157,665,614,73,167,36,10,26,101,4,5,41,142,.272,.320,.490,.811,112,.345,112,301,12,5,0,5,0,*59/DH,
6,Justin Upton,29,LF,5.2,125,520,459,81,128,37,0,28,94,10,5,57,147,.279,.362,.542,.904,137,.387,140,249,6,3,0,1,2,*7/H,"AS,MVP-16,SS"
7,Mikie Mahtook,27,CF,0.1,109,379,348,50,96,15,6,12,38,6,0,23,79,.276,.330,.457,.787,107,.353,113,159,4,6,0,2,0,897H/D,
8,J.D. Martinez,29,RF,1.5,57,232,200,38,61,13,2,16,39,2,0,29,54,.305,.388,.630,1.018,165,.425,167,126,10,0,0,3,5,9/DH,MVP-14
9,Victor Martinez#,38,DH,-0.5,107,435,392,38,100,16,0,10,47,0,0,36,63,.255,.324,.372,.697,86,.312,86,146,15,5,0,2,3,D/H,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Andrew Romine#,31,UT,-1.1,124,348,318,45,74,17,2,4,25,6,4,22,67,.233,.289,.336,.625,67,.283,66,107,7,4,2,2,0,4853H796/D12,
11,Alex Avila*,30,C,2.1,77,264,219,30,60,11,0,11,32,0,1,43,80,.274,.394,.475,.869,131,.375,133,104,6,1,0,1,2,23H/D,
12,Alex Presley*,31,OF,0.1,71,264,245,30,77,10,3,3,20,5,0,15,49,.314,.354,.416,.770,105,.343,105,102,5,0,3,0,0,987/HD,
13,John Hicks,27,UT,0.4,60,190,173,25,46,12,0,6,22,2,1,13,51,.266,.326,.439,.766,102,.328,98,76,5,3,0,1,0,32DH,
14,Dixon Machado,25,SS,-0.8,73,181,166,17,43,5,1,1,11,1,0,10,32,.259,.302,.319,.621,67,.290,69,53,6,1,2,2,0,64H/D5,
15,Tyler Collins*,27,OF,-0.1,49,169,150,18,29,4,1,5,14,0,4,18,55,.193,.278,.333,.611,63,.263,59,50,2,0,0,1,0,89/H7,
16,JaCoby Jones,25,CF,-0.3,56,154,141,14,24,3,1,3,13,6,2,9,65,.170,.240,.270,.510,36,.238,31,38,5,4,0,0,0,8H/D9,
17,Jeimer Candelario#,23,3B,0.2,27,106,94,16,31,7,0,2,13,0,0,12,18,.330,.406,.468,.874,133,.386,139,44,2,0,0,0,0,5/H,
