Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Chris Taylor,26.0,15,71,59,12,15,4,1,3,7,0,1,11,10,0.254,0.38,0.508,0.889,30,0.0,1,0,0.0,0.0,*8/64,NLCS MVP
2.0,Justin Turner,32.0,15,69,56,8,16,2,0,4,14,1,0,10,9,0.286,0.42,0.536,0.956,30,1.0,3,0,0.0,0.0,*5/D,NLCS MVP
3.0,Cody Bellinger*,21.0,15,67,64,10,14,4,1,3,9,1,0,3,29,0.219,0.254,0.453,0.707,29,1.0,0,0,0.0,0.0,*3,
4.0,Yasiel Puig,26.0,15,63,56,8,16,2,1,3,10,0,2,6,8,0.286,0.365,0.518,0.883,29,2.0,1,0,0.0,0.0,*9,
5.0,Austin Barnes,27.0,15,52,46,8,10,2,0,1,5,1,0,4,10,0.217,0.288,0.326,0.615,15,2.0,1,0,1.0,0.0,*2/4H,
6.0,Corey Seager*,23.0,10,46,38,7,9,1,1,1,6,1,0,7,12,0.237,0.348,0.395,0.743,15,2.0,0,0,1.0,0.0,*6,
7.0,Logan Forsythe,30.0,14,46,37,9,11,2,0,0,6,2,1,9,7,0.297,0.435,0.351,0.786,13,1.0,0,0,0.0,3.0,*4/5H3,
8.0,Kiké Hernández,25.0,13,31,25,6,8,1,0,3,8,0,1,5,4,0.32,0.452,0.72,1.172,18,0.0,1,0,0.0,0.0,*7/8H4,
9.0,Joc Pederson*,25.0,11,26,23,7,7,3,0,3,5,0,0,2,10,0.304,0.36,0.826,1.186,19,0.0,0,1,0.0,0.0,/7H8D,
10.0,Chase Utley*,38.0,9,19,15,1,0,0,0,0,0,0,0,2,5,0.0,0.211,0.0,0.211,0,1.0,2,0,0.0,0.0,/4H,
11.0,Charlie Culberson,28.0,10,18,16,4,8,2,1,1,2,0,0,0,3,0.5,0.471,0.938,1.408,15,0.0,0,1,1.0,0.0,/6H47,
12.0,Curtis Granderson*,36.0,6,15,15,1,1,0,0,0,0,0,0,0,8,0.067,0.067,0.067,0.133,1,0.0,0,0,0.0,0.0,/7H8,
13.0,Andre Ethier*,35.0,8,15,13,1,4,0,0,1,2,0,0,2,3,0.308,0.4,0.538,0.938,7,0.0,0,0,0.0,0.0,/7H,
14.0,Yasmani Grandal#,28.0,4,11,8,0,0,0,0,0,0,0,0,3,3,0.0,0.273,0.0,0.273,0,0.0,0,0,0.0,0.0,/2H,
15.0,Clayton Kershaw*,29.0,6,10,8,0,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25,1,0.0,0,2,0.0,0.0,/1,
16.0,Yu Darvish,30.0,4,6,4,0,0,0,0,0,1,0,0,1,2,0.0,0.2,0.0,0.2,0,0.0,0,1,0.0,0.0,/1,
17.0,Kyle Farmer,26.0,5,5,4,0,0,0,0,0,1,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,/H,
18.0,Rich Hill*,37.0,4,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
19.0,Alex Wood,26.0,3,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
20.0,Brandon Morrow,32.0,14,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,*1,
21.0,Kenta Maeda,29.0,9,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
22.0,Kenley Jansen#,29.0,13,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,*1,
23.0,Brandon McCarthy,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
24.0,Ross Stripling,27.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
25.0,Josh Fields,31.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
26.0,Tony Watson*,32.0,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,*1,
27.0,Tony Cingrani*,27.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
