Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Francisco Cervelli,31,C,0.7,81,304,265,31,66,13,2,5,31,0,2,32,65,.249,.342,.370,.712,90,.325,97,98,7,6,0,1,0,2/H,
2,Josh Bell#,24,1B,0.7,159,620,549,75,140,26,6,26,90,2,4,66,117,.255,.334,.466,.800,109,.347,113,256,15,1,0,4,4,*3H/D,ROY-3
3,Josh Harrison,29,2B,3.6,128,542,486,66,132,26,2,16,47,12,4,28,90,.272,.339,.432,.771,103,.346,109,210,5,23,2,3,2,45/7H9,AS
4,Jordy Mercer,30,SS,0.2,145,558,502,52,128,24,5,14,58,0,4,51,88,.255,.326,.406,.733,93,.314,89,204,16,3,0,2,13,*6/H,
5,David Freese,34,3B,2.2,130,503,426,44,112,16,0,10,52,0,1,58,116,.263,.368,.371,.739,98,.333,102,158,10,15,0,4,5,*5H/3D,
6,Starling Marte,28,LF,1.2,77,339,309,48,85,7,2,7,31,21,4,20,63,.275,.333,.379,.712,89,.324,88,117,5,8,0,2,0,78/H,
7,Andrew McCutchen,30,CF,3.0,156,650,570,94,159,30,2,28,88,11,5,73,116,.279,.363,.486,.849,123,.365,124,277,10,4,0,3,5,*89/DH,
8,Gregory Polanco*,25,RF,0.3,108,411,379,39,95,20,0,11,35,8,1,27,60,.251,.305,.391,.695,83,.304,77,148,5,3,0,1,4,97H/8D,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
9,Adam Frazier*,25,UT,1.1,121,454,406,55,112,20,6,6,53,9,5,36,57,.276,.344,.399,.743,97,.333,102,162,9,8,1,3,2,74H9/856D,
10,John Jaso*,33,RF,-0.2,126,302,256,28,54,19,0,10,35,1,1,40,66,.211,.328,.402,.730,93,.327,97,103,5,5,0,1,2,H937,
11,José Osuna,24,UT,-0.8,104,227,215,31,50,13,4,7,30,0,0,9,40,.233,.269,.428,.697,81,.302,78,92,10,2,0,1,0,H937,
