Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Mike Zunino,26,C,3.4,124,435,387,52,97,25,0,25,64,1,0,39,160,.251,.331,.509,.840,125,.357,124,197,8,8,0,1,0,*2/HD,
2,Danny Valencia,32,1B,1.2,130,500,450,54,115,19,3,15,66,2,2,40,122,.256,.314,.411,.725,97,.324,101,185,16,2,0,8,0,*3H9/5,
3,Robinson Canó*,34,2B,3.1,150,648,592,79,166,33,0,23,97,1,0,49,85,.280,.338,.453,.791,114,.341,113,268,18,4,0,3,8,*4/H,AS
4,Jean Segura,27,SS,3.6,125,566,524,80,157,30,2,11,45,22,8,34,83,.300,.349,.427,.776,111,.342,113,224,14,6,0,1,3,*6/H,
5,Kyle Seager*,29,3B,3.6,154,650,578,72,144,33,1,27,88,2,1,58,110,.249,.323,.450,.773,109,.326,103,260,6,8,0,6,6,*5/H,
6,Ben Gamel*,25,LF,1.1,134,550,509,68,140,27,5,11,59,4,1,36,122,.275,.322,.413,.735,100,.327,103,210,8,1,1,3,1,*79/H3,
7,Jarrod Dyson*,32,CF,2.7,111,390,346,56,87,13,3,5,30,28,7,28,55,.251,.324,.350,.674,85,.306,82,121,3,10,4,2,2,87/HD,
8,Mitch Haniger,26,RF,3.2,96,410,369,58,104,25,2,16,47,5,4,31,93,.282,.352,.491,.843,127,.363,131,181,9,9,1,0,0,9/87H,
9,Nelson Cruz,36,DH,4.2,155,645,556,91,160,28,0,39,119,1,1,70,140,.288,.375,.549,.924,149,.388,148,305,15,12,0,7,7,*D/9H,"AS,MVP-10,SS"
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Guillermo Heredia,26,OF,1.4,123,426,386,43,96,16,0,6,24,1,5,27,64,.249,.315,.337,.652,79,.296,85,130,9,11,1,1,2,*87/H9D,
11,Taylor Motter,27,SS,-0.8,92,280,258,29,51,12,0,7,26,12,1,21,62,.198,.257,.326,.583,58,.269,56,84,9,0,0,1,0,6437H/59D,
