Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Ronald Acuña Jr.,20.0,4,17,16,1,3,1,0,1,4,0,1,1,5,0.188,0.235,0.438,0.673,7,0.0,0,0,0.0,0.0,*/7,
2.0,Freddie Freeman*,28.0,4,17,16,1,4,0,0,1,1,0,0,1,3,0.25,0.294,0.438,0.732,7,0.0,0,0,0.0,0.0,/*3,
3.0,Johan Camargo#,24.0,4,16,15,1,0,0,0,0,0,0,0,1,5,0.0,0.063,0.0,0.063,0,1.0,0,0,0.0,0.0,/*5,
4.0,Ozzie Albies#,21.0,4,15,15,1,3,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,3,0.0,0,0,0.0,0.0,/*4,
5.0,Nick Markakis*,34.0,4,15,12,1,1,0,0,0,0,0,0,3,2,0.083,0.267,0.083,0.35,1,0.0,0,0,0.0,0.0,*/9,
6.0,Ender Inciarte*,27.0,4,14,13,0,3,0,0,0,0,0,0,0,4,0.231,0.231,0.231,0.462,3,0.0,0,1,0.0,0.0,*/8,
7.0,Charlie Culberson,29.0,4,13,12,1,2,0,0,0,0,0,0,1,4,0.167,0.231,0.167,0.397,2,0.0,0,0,0.0,1.0,/*6,
8.0,Kurt Suzuki,34.0,4,8,8,0,2,0,0,0,2,0,0,0,1,0.25,0.25,0.25,0.5,2,0.0,0,0,0.0,0.0,/2H,
9.0,Tyler Flowers,32.0,3,8,7,1,1,0,0,0,0,0,0,1,3,0.143,0.25,0.143,0.393,1,0.0,0,0,0.0,0.0,/2H,
10.0,Lucas Duda*,32.0,3,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/*H,
11.0,Mike Foltynewicz,26.0,2,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
12.0,Ryan Flaherty*,31.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H,
13.0,Lane Adams,28.0,2,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.5,0.0,0.5,0,0.0,1,0,0.0,0.0,/H,
14.0,Sean Newcomb*,25.0,2,1,0,1,0,0,0,0,1,0,0,1,0,,1.0,,,0,0.0,0,0,0.0,0.0,/1,
15.0,Aníbal Sánchez,34.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
16.0,Jonny Venters*,33.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
17.0,Touki Toussaint,22.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
18.0,Arodys Vizcaíno,27.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
19.0,Julio Teheran,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
20.0,Chad Sobotka,24.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
21.0,A.J. Minter*,24.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
22.0,Kevin Gausman*,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
23.0,Max Fried*,24.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
24.0,Brad Brach,32.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
,Team Totals,,4,134,123,8,19,1,0,2,8,0,1,9,32,0.154,0.218,0.211,0.429,26,1.0,1,1,0.0,1.0,,
