Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
J.D. Martinez,30,DH,6.7,150,649,569,111,188,37,2,43,130,6,1,69,146,0.33,0.402,0.629,1.031,173,0.44,179,358,19,4,0,7,11,D79,"AS,MVP-4,SS,SS"
Xander Bogaerts,25,SS,4.9,136,580,513,72,148,45,3,23,103,8,2,55,102,0.288,0.36,0.522,0.883,135,0.387,141,268,14,6,0,6,4,*6/H,MVP-13
Andrew Benintendi*,23,LF,4.8,148,661,579,103,168,41,6,16,87,21,3,71,106,0.29,0.366,0.465,0.83,123,0.368,124,269,9,2,2,7,1,*78/H,0
Mookie Betts,25,RF,10.7,136,614,520,129,180,47,5,32,80,30,6,81,91,0.346,0.438,0.64,1.078,186,0.462,192,333,5,8,0,5,8,*98/HD4,"AS,MVP-1,GG,SS"
Mitch Moreland*,32,1B,1.5,124,459,404,57,99,23,4,15,68,2,0,50,102,0.245,0.325,0.433,0.758,102,0.329,99,175,12,0,0,5,2,*3H/D,AS
Rafael Devers*,21,3B,0.2,121,490,450,59,108,24,0,21,66,5,2,38,121,0.24,0.298,0.433,0.731,94,0.315,89,195,9,0,0,2,6,*5/HD,0
Jackie Bradley Jr.*,28,CF,2.5,144,535,474,76,111,33,4,13,59,17,1,46,137,0.234,0.314,0.403,0.717,92,0.324,91,191,6,11,0,4,3,*89/HD,GG
Brock Holt*,30,MI,1.2,109,367,321,41,89,18,2,7,46,7,7,37,73,0.277,0.362,0.411,0.774,109,0.342,113,132,7,7,0,2,2,46H9/375D,0
Eduardo Núñez,31,2B,-0.9,127,502,480,56,127,23,3,10,44,7,2,16,69,0.265,0.289,0.388,0.677,81,0.303,80,186,17,2,1,3,0,45D/H,0
Hanley Ramírez,34,1B,0.1,44,195,177,25,45,7,0,6,29,4,1,14,35,0.254,0.313,0.395,0.708,90,0.328,97,70,9,2,0,2,0,3D,0
Steve Pearce,35,1B,1.1,50,165,136,19,38,8,1,7,26,0,0,22,27,0.279,0.394,0.507,0.901,141,0.396,148,69,1,5,0,2,0,3DH/79,0
Sandy León#,29,C,-0.5,89,288,265,30,47,12,0,5,22,1,0,15,75,0.177,0.232,0.279,0.511,37,0.236,32,74,6,4,3,1,0,2/H,0
Blake Swihart#,26,UT,0.0,82,207,192,28,44,10,0,3,18,6,1,15,57,0.229,0.285,0.328,0.613,65,0.284,64,63,4,0,0,0,0,2H9D3/754,0
Christian Vázquez,27,C,-0.9,80,269,251,24,52,10,0,3,16,4,1,13,41,0.207,0.257,0.283,0.54,46,0.246,39,71,5,4,1,0,1,2/H5D,0
Ian Kinsler,36,2B,-0.1,37,143,132,17,32,6,0,1,16,7,3,10,24,0.242,0.294,0.311,0.604,64,0.271,57,41,5,0,0,1,0,4/H,GG
Sam Travis,24,UT,0.1,19,38,36,5,8,3,0,1,7,0,0,2,10,0.222,0.263,0.389,0.652,73,0.302,80,14,1,0,0,0,0,/H7D39,0
Tzu-Wei Lin*,24,SS,0.1,37,73,65,15,16,6,1,1,6,0,1,8,17,0.246,0.329,0.415,0.744,100,0.339,112,27,0,0,0,0,0,6/H845D,0
Rick Porcello,29,P,0.2,3,7,7,1,3,2,0,0,3,0,0,0,3,0.429,0.429,0.714,1.143,201,0.481,209,5,0,0,0,0,0,1,0
Brandon Phillips,37,IF,-0.1,9,27,23,4,3,0,0,1,2,0,0,4,7,0.13,0.259,0.261,0.52,42,0.306,83,6,1,0,0,0,0,/45HD,0
Dan Butler,31,C,-0.1,2,7,6,0,1,0,0,0,1,0,0,0,2,0.167,0.143,0.167,0.31,-17,0.128,-45,1,0,0,0,1,0,/2,0
Dustin Pedroia,34,2B,-0.1,3,13,11,1,1,0,0,0,0,0,0,2,1,0.091,0.231,0.091,0.322,-7,0.176,-11,1,0,0,0,0,0,/4,0
Tony Renda,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/H,0
Brian Johnson*,27,P,0.0,2,4,4,1,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,36,0.224,23,1,0,0,0,0,0,1,0
Nathan Eovaldi,28,P,0.0,2,3,2,1,0,0,0,0,0,0,0,1,2,0.0,0.333,0.0,0.333,3,0.231,29,0,0,0,0,0,0,1,0
Eduardo Rodríguez*,25,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,1,0
Chris Sale*,29,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,1,"AS,CYA-4,MVP-22"
Hector Velázquez,29,P,0.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,1,0
Heath Hembree,29,P,0.0,6,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,1,0
Marcus Walden,29,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
Brandon Workman,29,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Carson Smith,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Steven Wright,33,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Robby Scott#,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
Bobby Poyner*,25,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Drew Pomeranz,29,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Matt Barnes,28,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Ryan Brasier,30,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Craig Kimbrel,30,P,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,AS
Joe Kelly,30,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
William Cuevas#,27,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
