Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Alex Bregman,24.0,8,38,24,8,7,2,0,2,5,0,1,11,4,0.292,0.553,0.625,1.178,15,0.0,3,0,0.0,1.0,/*5,
2.0,George Springer,28.0,8,38,35,6,14,3,0,4,8,1,0,3,7,0.4,0.447,0.829,1.276,29,0.0,0,0,0.0,0.0,*/89,
3.0,Jose Altuve,28.0,8,37,34,8,9,2,0,1,4,0,0,3,6,0.265,0.324,0.412,0.736,14,1.0,0,0,0.0,0.0,/4D,
4.0,Marwin González#,29.0,8,36,33,3,11,2,0,2,9,0,2,1,9,0.333,0.389,0.576,0.965,19,0.0,2,0,0.0,0.0,/74,
5.0,Yuli Gurriel,34.0,8,36,31,5,7,2,0,1,3,0,0,5,5,0.226,0.333,0.387,0.72,12,0.0,0,0,0.0,1.0,/*3,
6.0,Carlos Correa,23.0,8,35,29,3,7,1,0,1,6,0,0,6,9,0.241,0.371,0.379,0.751,11,0.0,0,0,0.0,0.0,/*6,
7.0,Josh Reddick*,31.0,8,28,26,2,7,1,0,1,4,0,0,2,5,0.269,0.321,0.423,0.745,11,1.0,0,0,0.0,0.0,*/97H,
8.0,Martín Maldonado,31.0,7,21,19,3,2,1,0,1,1,0,0,0,7,0.105,0.15,0.316,0.466,6,2.0,1,1,0.0,0.0,/*2,
9.0,Tony Kemp*,26.0,6,19,14,3,4,1,0,1,1,0,0,5,3,0.286,0.474,0.571,1.045,8,0.0,0,0,0.0,0.0,/7DH,
10.0,Tyler White,27.0,8,18,13,0,3,1,0,0,0,0,0,3,7,0.231,0.444,0.308,0.752,4,0.0,2,0,0.0,2.0,/DH,
11.0,Brian McCann*,34.0,4,8,8,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/2,
12.0,Evan Gattis,31.0,4,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H,
13.0,Jake Marisnick,27.0,5,3,3,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/8DH,
14.0,Ryan Pressly,29.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
15.0,Gerrit Cole,27.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
16.0,Justin Verlander,35.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
17.0,Myles Straw,23.0,2,0,0,1,0,0,0,0,0,1,0,0,0,,,,,0,,0,0,,,/H7D,
18.0,Joe Smith,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
19.0,Tony Sipp*,34.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
20.0,Héctor Rondón,30.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
21.0,Will Harris,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
22.0,Dallas Keuchel*,30.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
23.0,Roberto Osuna,23.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
24.0,Charlie Morton,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
25.0,Collin McHugh,31.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
26.0,Lance McCullers Jr.*,24.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
27.0,Josh James,25.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
,Team Totals,,8,321,273,42,71,16,0,14,41,3,3,39,67,0.26,0.369,0.473,0.841,129,4.0,8,1,0.0,4.0,,
