Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Martín Maldonado,31,C,0.2,78,290,265,24,59,14,0,5,32,0,1,13,73,.223,.284,.332,.616,70,.278,70,88,3,10,1,1,0,2/H,
2,Albert Pujols,38,1B,0.2,117,498,465,50,114,20,0,19,64,1,0,28,65,.245,.289,.411,.700,91,.314,95,191,12,2,0,3,3,3D,
3,Ian Kinsler,36,2B,2.3,91,391,355,49,85,20,0,13,32,9,4,30,40,.239,.304,.406,.710,94,.317,96,144,10,4,0,2,0,4/H,GG
4,Andrelton Simmons,28,SS,5.5,146,600,554,68,162,26,5,11,75,10,2,35,44,.292,.337,.417,.754,108,.337,110,231,17,5,1,5,2,*6/D,"MVP-15,GG"
5,Luis Valbuena*,32,3B,-1.3,96,288,266,23,53,9,0,9,33,3,0,19,100,.199,.253,.335,.588,61,.259,53,89,2,1,0,2,3,53H/4D,
6,Justin Upton,30,LF,3.7,145,613,533,80,137,18,1,30,85,8,2,64,176,.257,.344,.463,.808,121,.357,125,247,12,10,0,6,1,*7/DH,
7,Mike Trout,26,CF,9.9,140,608,471,101,147,24,4,39,79,24,2,122,124,.312,.460,.628,1.088,198,.455,194,296,5,10,0,4,25,*8D/H,"AS,MVP-2,SS"
8,Kole Calhoun*,30,RF,0.1,137,552,491,71,102,18,2,19,57,6,2,53,133,.208,.283,.369,.652,79,.285,73,181,9,1,0,6,2,*9/H8,
9,Shohei Ohtani*,23,DH,2.7,104,367,326,59,93,21,2,22,61,10,4,37,102,.285,.361,.564,.925,151,.389,148,184,2,2,0,1,2,DH1,ROY-1
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,David Fletcher,24,IF,1.9,80,307,284,35,78,18,2,1,25,3,0,15,34,.275,.316,.363,.678,88,.305,86,103,7,3,3,2,0,45/H69,
11,Zack Cozart,32,3B,-0.1,58,253,224,29,49,13,2,5,18,0,0,19,42,.219,.296,.362,.658,81,.295,81,81,7,7,0,3,0,546,
12,Jefry Marté,27,1B,-0.2,90,209,194,28,42,7,1,7,22,1,1,13,41,.216,.273,.371,.644,76,.285,75,72,6,2,0,0,0,3H5/7D,
13,Taylor Ward,24,3B,-0.2,40,147,135,14,24,3,0,6,15,2,0,9,45,.178,.245,.333,.578,58,.263,55,45,0,3,0,0,0,5,
14,Chris Young,34,OF,-0.7,56,128,113,17,19,2,1,6,13,2,0,11,37,.168,.252,.363,.615,68,.279,66,41,1,2,1,1,0,987H/D,
15,José Briceño,25,C,0.4,46,128,117,12,28,2,0,5,10,0,1,8,35,.239,.299,.385,.684,88,.301,88,45,2,2,1,0,0,2/H3,
16,Kaleb Cowart#,26,IF,-1.2,47,124,112,7,15,7,1,1,10,1,0,10,44,.134,.210,.241,.451,25,.205,15,27,2,1,0,1,0,54/367HD,
17,José Miguel Fernández*,30,1B,0.2,36,123,116,9,31,8,0,2,11,1,0,6,15,.267,.309,.388,.697,92,.326,102,45,2,1,0,0,0,3/H5D4,
18,Eric Young Jr.#,33,CF,-0.4,41,117,109,12,22,4,2,1,8,5,1,6,28,.202,.248,.303,.551,52,.245,41,33,4,1,0,1,0,87/H,
19,Francisco Arcia*,28,C,0.0,40,106,103,10,21,5,0,6,23,1,0,1,27,.204,.226,.427,.654,75,.277,67,44,4,2,0,0,0,2/H13D,
20,René Rivera,34,C,0.4,30,87,82,8,20,4,0,4,11,0,0,4,32,.244,.287,.439,.726,97,.321,100,36,3,1,0,0,0,2/3HD,
21,Michael Hermosillo,23,OF,-0.2,31,62,57,7,12,4,0,1,1,0,1,3,17,.211,.274,.333,.608,67,.256,59,19,0,2,0,0,0,89/7H,
22,Jabari Blash,28,OF,-0.8,24,45,39,4,4,1,0,0,1,2,1,5,24,.103,.200,.128,.328,-6,.164,-13,5,0,0,0,1,0,9/7HD,
23,Nolan Fontana*,27,IF,0.2,8,12,11,1,1,0,0,1,1,0,0,1,6,.091,.167,.364,.530,41,.224,30,4,0,0,0,0,0,/H456,
24,Joe Hudson,27,C,-0.1,8,12,12,0,2,1,0,0,1,0,0,0,0,.167,.167,.250,.417,13,.178,-4,3,0,0,0,0,0,/2H,
25,Sherman Johnson*,27,IF,-0.2,10,11,10,0,0,0,0,0,0,0,0,0,4,.000,.091,.000,.091,-71,.066,-83,0,0,1,0,0,0,/43H,
26,Ryan Schimpf*,30,UT,0.1,5,7,5,2,1,0,0,1,2,0,0,2,3,.200,.429,.800,1.229,229,.483,216,4,0,0,0,0,0,/H4579,
27,Juan Graterol,29,C,0.2,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,459,.894,500,1,0,0,0,0,0,/2,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
28,Andrew Heaney*,27,P,0.0,3,8,8,1,1,0,0,0,0,0,0,0,6,.125,.125,.125,.250,-30,.100,-59,1,0,0,0,0,0,1,
