Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Lorenzo Cain,32.0,10,48,45,4,11,4,0,0,1,0,1,3,12,0.244,0.292,0.333,0.625,15,0.0,0,0,0.0,0.0,*8,
2.0,Christian Yelich*,26.0,10,47,36,7,7,1,0,2,3,2,0,11,7,0.194,0.383,0.389,0.772,14,2.0,0,0,0.0,1.0,*9/7,
3.0,Ryan Braun,34.0,10,44,42,2,12,2,0,0,4,2,0,2,13,0.286,0.318,0.333,0.652,14,0.0,0,0,0.0,0.0,*7,
4.0,Mike Moustakas*,29.0,10,44,40,3,8,2,0,0,3,0,0,4,13,0.2,0.273,0.25,0.523,10,0.0,0,0,0.0,3.0,*5,
5.0,Jesús Aguilar,28.0,10,41,37,5,8,3,0,2,5,0,0,3,15,0.216,0.275,0.459,0.734,17,1.0,0,0,0.0,1.0,*3,
6.0,Orlando Arcia,23.0,10,34,33,7,11,0,0,3,4,0,0,1,4,0.333,0.353,0.606,0.959,20,1.0,0,0,0.0,1.0,*6/H,
7.0,Travis Shaw*,28.0,10,34,30,2,8,2,1,1,2,1,0,4,10,0.267,0.353,0.5,0.853,15,0.0,0,0,0.0,1.0,/*43H,
8.0,Erik Kratz,38.0,9,26,24,2,7,2,0,0,3,0,0,1,6,0.292,0.346,0.375,0.721,9,1.0,1,0,0.0,0.0,/*2,
9.0,Hernán Pérez,27.0,9,16,14,0,3,2,0,0,2,2,2,1,3,0.214,0.25,0.357,0.607,5,0.0,0,0,1.0,0.0,/*46H,
10.0,Manny Piña,31.0,5,12,7,1,3,1,0,0,0,0,0,5,1,0.429,0.667,0.571,1.238,4,0.0,0,0,0.0,0.0,/2,
11.0,Domingo Santana,25.0,10,10,8,1,2,1,0,0,3,1,0,2,5,0.25,0.4,0.375,0.775,3,0.0,0,0,0.0,1.0,*H,
12.0,Jonathan Schoop,26.0,4,8,8,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,1.0,0,0,0.0,0.0,/H4,
13.0,Curtis Granderson*,37.0,7,7,7,0,1,1,0,0,1,0,0,0,3,0.143,0.143,0.286,0.429,2,0.0,0,0,0.0,0.0,/*H,
14.0,Wade Miley*,31.0,4,6,6,1,2,1,0,0,0,0,0,0,3,0.333,0.333,0.5,0.833,3,0.0,0,0,0.0,0.0,/1,
15.0,Brandon Woodruff*,25.0,4,3,2,1,1,0,0,1,1,0,0,1,1,0.5,0.667,2.0,2.667,4,0.0,0,0,0.0,0.0,/1,
16.0,Jhoulys Chacín,30.0,3,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
17.0,Keon Broxton,28.0,2,2,2,1,1,0,0,1,1,0,0,0,1,0.5,0.5,2.0,2.5,4,0.0,0,0,0.0,0.0,/9H,
18.0,Corey Knebel,26.0,9,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/*1,
19.0,Freddy Peralta,22.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
20.0,Jeremy Jeffress,30.0,8,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/*1,
21.0,Josh Hader*,24.0,7,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/*1,
22.0,Junior Guerra,33.0,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
23.0,Xavier Cedeño*,31.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
24.0,Joakim Soria,34.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
25.0,Corbin Burnes,23.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
26.0,Gio González,32.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
27.0,Zach Davies,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
,Team Totals,,10,390,349,37,85,22,1,10,33,8,3,38,104,0.244,0.319,0.398,0.717,139,6.0,1,0,1.0,8.0,,
