Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Yadier Molina,35,C,1.5,123,503,459,55,120,20,0,20,74,4,3,29,66,.261,.314,.436,.750,103,.333,106,200,15,9,0,6,0,*2/3H,"AS,GG"
2,José Martínez,29,1B,1.8,152,590,534,64,163,30,0,17,83,0,3,49,104,.305,.364,.457,.821,124,.365,131,244,15,2,2,3,0,39H/D,
3,Kolten Wong*,27,2B,2.9,127,407,353,41,88,18,2,9,38,6,5,31,60,.249,.332,.388,.720,97,.319,96,137,6,14,6,3,3,*4H,
4,Paul DeJong,24,SS,2.9,115,490,436,68,105,25,1,19,68,1,1,36,123,.241,.313,.433,.746,102,.331,104,189,6,12,0,5,2,*6/H,
5,Jedd Gyorko,29,3B,0.8,125,402,351,49,92,19,1,11,47,2,0,44,77,.262,.346,.416,.762,108,.335,106,146,12,3,0,4,0,5H4/361,
6,Marcell Ozuna,27,LF,2.4,148,628,582,69,163,16,2,23,88,3,0,38,110,.280,.325,.433,.758,106,.337,108,252,10,3,0,4,2,*7/H,
7,Tommy Pham,30,CF,0.8,98,396,351,67,87,11,0,14,41,10,6,42,97,.248,.331,.399,.730,99,.330,104,140,12,2,0,1,1,8/H,
8,Dexter Fowler#,32,RF,-1.4,90,334,289,40,52,10,0,8,31,5,2,38,75,.180,.278,.298,.576,59,.271,59,86,2,3,0,4,0,9H,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
9,Matt Carpenter*,32,CI,4.4,156,677,564,111,145,42,0,36,81,4,1,102,158,.257,.374,.523,.897,143,.379,140,295,0,6,0,4,17,354/HD,MVP-9
10,Harrison Bader,24,OF,3.4,138,427,379,61,100,20,2,12,37,15,3,31,125,.264,.334,.422,.756,106,.338,105,160,1,11,2,4,3,*89H/7,ROY-6
11,Yairo Muñoz,23,MI,0.3,108,329,293,39,81,16,0,8,42,5,6,30,71,.276,.350,.413,.763,109,.330,107,121,3,4,0,2,7,645H9/78,
12,Greg Garcia*,28,MI,-0.1,114,208,181,15,40,6,0,3,15,3,1,20,37,.221,.309,.304,.613,70,.282,66,55,3,4,1,2,1,H465/1,
13,Francisco Peña,28,C,-1.1,58,142,133,10,27,3,0,2,8,1,0,6,43,.203,.239,.271,.510,40,.224,22,36,5,1,0,2,3,2/H3,
14,Tyler O'Neill,23,OF,1.2,61,142,130,29,33,5,0,9,23,2,0,7,57,.254,.303,.500,.803,115,.358,121,65,0,3,0,2,0,H97/8,
15,Matt Adams*,29,1B,-0.4,27,60,57,5,9,1,0,3,9,0,0,3,18,.158,.200,.333,.533,43,.240,36,19,0,0,0,0,1,3H,
16,Patrick Wisdom,26,CI,0.5,32,58,50,11,13,1,0,4,10,2,1,6,19,.260,.362,.520,.882,139,.380,140,26,1,2,0,0,0,H5/3,
17,Carson Kelly,23,C,-0.4,19,42,35,1,4,0,0,0,3,0,0,3,7,.114,.205,.114,.319,-9,.162,-29,4,0,1,3,0,0,2/H,
18,Adolis García,25,OF,-0.3,21,17,17,3,2,1,0,0,1,0,0,0,7,.118,.118,.176,.294,-21,.127,-46,3,0,0,0,0,0,H/978,
19,Luke Voit,27,1B,0.1,8,13,11,2,2,0,0,1,3,0,0,2,4,.182,.308,.455,.762,106,.403,156,5,0,0,0,0,0,/H3,
20,Steven Baron,27,C,0.0,2,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,11,.180,-7,1,0,0,0,0,0,/2H,
21,Edmundo Sosa,22,2B,0.0,3,3,2,1,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,3,.231,30,0,0,0,0,0,0,/H4,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
22,Miles Mikolas,29,P,0.3,32,71,63,4,9,1,0,2,6,0,0,2,33,.143,.167,.254,.421,13,.182,-13,16,0,0,5,1,0,1/H,"AS,CYA-6"
23,Jack Flaherty,22,P,0.0,28,52,46,2,7,0,0,0,0,0,0,2,20,.152,.188,.152,.340,-5,.158,-33,7,0,0,4,0,0,1/H,ROY-5
24,Luke Weaver,24,P,-0.1,33,46,38,4,6,0,0,0,2,0,0,1,14,.158,.179,.158,.337,-6,.154,-48,6,1,0,7,0,0,1/H,
25,Carlos Martínez,26,P,0.3,33,36,33,1,8,2,0,1,4,0,0,0,11,.242,.235,.394,.629,69,.261,49,13,0,0,2,1,0,1/H,
26,John Gant,25,P,-0.1,27,34,31,2,2,0,0,2,3,0,0,0,14,.065,.065,.258,.323,-17,.132,-56,8,0,0,3,0,0,1/H,
27,Michael Wacha,26,P,0.0,15,32,25,3,2,0,0,0,1,0,0,1,9,.080,.115,.080,.195,-45,.158,-52,2,0,0,6,0,0,1,
28,Austin Gomber*,24,P,0.1,27,21,19,1,4,1,0,0,4,0,0,0,3,.211,.211,.263,.474,29,.198,-3,5,0,0,2,0,0,1,
29,Adam Wainwright,36,P,-0.1,8,12,11,0,1,0,0,0,1,0,0,0,6,.091,.091,.091,.182,-50,.082,-95,1,0,0,1,0,0,/1,
30,Daniel Ponce de Leon,26,P,0.0,10,10,9,0,1,0,1,0,1,0,0,0,4,.111,.111,.333,.444,15,.176,-21,3,0,0,1,0,0,1/H,
