Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Tyler Flowers,33,C,-0.2,85,310,271,36,62,11,3,11,34,0,0,31,105,.229,.319,.413,.733,85,.314,79,112,8,6,0,2,3,2/H,
2,Freddie Freeman*,29,1B,3.7,158,692,597,113,176,34,2,38,121,6,3,87,127,.295,.389,.549,.938,135,.392,136,328,17,6,0,2,11,*3/H,"AS,MVP-8,SS"
3,Ozzie Albies#,22,2B,4.9,160,702,640,102,189,43,8,24,86,15,4,54,112,.295,.352,.500,.852,113,.369,117,320,2,4,0,4,6,*4/H,SS
4,Dansby Swanson,25,SS,1.1,127,545,483,77,121,26,3,17,65,10,5,51,124,.251,.325,.422,.748,89,.323,86,204,7,5,1,5,2,*6/H,
5,Josh Donaldson,33,3B,5.4,155,659,549,96,142,33,0,37,94,4,2,100,155,.259,.379,.521,.900,126,.388,133,286,13,8,0,2,2,*5/HD,MVP-11
6,Austin Riley,22,LF,0.1,80,297,274,41,62,11,1,18,49,0,2,16,108,.226,.279,.471,.750,86,.308,77,129,4,5,0,2,3,7H/359D,
7,Ronald Acuña Jr.,21,CF,5.1,156,715,626,127,175,22,2,41,101,37,9,76,188,.280,.365,.518,.883,121,.386,127,324,8,9,0,1,4,*879/H,"AS,MVP-5,SS"
8,Nick Markakis*,35,RF,0.7,116,469,414,61,118,25,2,9,62,2,0,47,59,.285,.356,.420,.776,97,.350,104,174,11,2,0,6,1,*9/7HD,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
9,Brian McCann*,35,C,0.2,85,316,277,28,69,9,0,12,45,0,0,31,53,.249,.323,.412,.734,85,.315,80,114,10,2,0,6,1,2/H,
10,Johan Camargo#,25,IF,-0.9,98,248,232,31,54,12,1,7,32,1,0,15,43,.233,.279,.384,.663,67,.287,59,89,5,0,1,0,2,H657/943D,
11,Matt Joyce*,34,RF,0.8,129,238,200,32,59,10,0,7,23,0,0,38,45,.295,.408,.450,.858,119,.378,125,90,3,0,0,0,0,H9/D7,
12,Ender Inciarte*,28,CF,0.5,65,230,199,30,49,11,2,5,24,7,1,26,41,.246,.343,.397,.740,88,.328,85,79,1,4,0,1,2,8/H,
13,Charlie Culberson,30,UT,-0.1,108,144,135,14,35,5,2,5,20,0,1,6,44,.259,.294,.437,.731,82,.320,86,59,5,1,1,1,0,H793/615,
14,Adam Duvall,30,LF,0.7,41,130,120,17,32,4,1,10,19,0,0,7,39,.267,.315,.567,.882,117,.359,112,68,0,2,0,1,0,7H/9,
15,Rafael Ortega*,28,LF,-0.4,34,96,88,7,18,3,0,2,10,3,0,8,22,.205,.271,.307,.578,47,.261,36,27,2,0,0,0,0,7H/98,
16,Adeiny Hechavarría,30,SS,1.1,24,70,61,14,20,5,1,4,15,0,0,6,15,.328,.400,.639,1.039,158,.440,170,39,1,2,0,1,0,6/H45D,
17,Billy Hamilton,28,CF,-0.2,26,48,41,9,11,2,0,0,3,4,1,7,13,.268,.375,.317,.692,80,.318,75,13,0,0,0,0,1,8H,
18,Francisco Cervelli,33,UT,0.3,14,37,32,4,9,5,1,2,7,0,0,4,10,.281,.378,.688,1.066,162,.452,178,22,3,1,0,0,0,/23HD,
19,Alex Jackson,23,C,-0.3,4,15,13,0,0,0,0,0,0,0,0,1,5,.000,.133,.000,.133,-61,.052,-124,0,1,1,0,0,1,/2,
20,John Ryan Murphy,28,C,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,/2,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
21,Max Fried*,25,P,0.3,38,65,56,11,11,4,0,0,4,0,0,5,16,.196,.262,.268,.530,36,.237,19,15,0,0,4,0,0,1/H,
22,Michael Soroka,21,P,-0.1,27,63,52,2,4,0,0,0,3,0,0,2,22,.077,.143,.077,.220,-41,.130,-72,4,1,2,7,0,0,1,"AS,CYA-6,ROY-2"
23,Julio Teheran,28,P,-0.3,33,60,55,1,6,1,0,0,4,0,0,0,24,.109,.107,.127,.234,-40,.101,-86,7,0,0,4,1,0,1/H,
24,Dallas Keuchel*,31,P,-0.1,19,41,38,0,5,1,0,0,2,0,0,1,28,.132,.154,.158,.312,-20,.140,-53,6,0,0,2,0,0,1,
25,Mike Foltynewicz,27,P,-0.4,19,38,35,1,2,0,0,0,1,0,0,0,19,.057,.057,.057,.114,-71,.048,-130,2,1,0,3,0,0,1,
26,Kevin Gausman*,28,P,-0.3,16,27,27,1,1,0,0,0,0,0,0,0,18,.037,.037,.037,.074,-81,.033,-122,1,1,0,0,0,0,1,
27,Touki Toussaint,23,P,-0.1,23,10,9,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,.000,-174,0,0,0,1,0,0,1,
28,Bryse Wilson,21,P,0.0,6,9,9,0,2,0,0,0,0,0,0,0,6,.222,.222,.222,.444,14,.197,-5,2,0,0,0,0,0,/1,
29,Sean Newcomb*,26,P,-0.1,52,8,8,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,.000,-147,0,0,0,0,0,0,1,
30,Josh Tomlin,34,P,-0.1,47,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-147,0,0,0,0,0,0,1,
31,Kyle Wright,23,P,-0.1,7,6,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,.000,-147,0,0,0,0,0,0,/1,
32,Chad Sobotka,25,P,0.0,30,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-146,0,0,0,0,0,0,1,
33,Shane Carle,27,P,0.0,5,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,/1,
34,Wes Parsons,26,P,0.0,16,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,1,
35,Dan Winkler,29,P,0.0,26,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,1,0,0,1,
36,Jeremy Walker,24,P,0.0,6,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,/1,
37,Jacob Webb,25,P,0.0,35,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,1,
38,Jonny Venters*,34,P,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
39,Arodys Vizcaíno,28,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
40,Huascar Ynoa,21,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
41,Anthony Swarzak,33,P,0.0,41,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
42,Darren O'Day,36,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
43,A.J. Minter*,25,P,0.0,35,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
44,Mark Melancon,34,P,0.0,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
45,Chris Martin,33,P,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
46,Luke Jackson,27,P,0.0,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
47,Shane Greene,30,P,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS
48,Grant Dayton*,31,P,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
