Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Tucker Barnhart*,28,C,0.5,114,364,316,32,73,14,0,11,40,1,0,44,83,.231,.328,.380,.708,80,.309,75,120,5,2,1,1,7,2H/3,
2,Joey Votto*,35,1B,1.4,142,608,525,79,137,32,1,15,47,5,0,76,123,.261,.357,.411,.768,95,.349,103,216,14,4,0,3,2,*3/HD7,
3,José Peraza,25,2B,-1.2,141,403,376,37,90,18,2,6,33,7,6,17,58,.239,.285,.346,.631,60,.274,53,130,9,8,0,2,0,467H/581,
4,Jose Iglesias,29,SS,1.0,146,530,504,62,145,21,3,11,59,6,6,20,70,.288,.318,.407,.724,83,.309,78,205,17,3,1,2,3,*6/H,
5,Eugenio Suárez,27,3B,3.4,159,662,575,87,156,22,2,49,103,3,2,70,189,.271,.358,.572,.930,131,.386,132,329,12,11,0,6,4,*5/HD,MVP-15
6,Jesse Winker*,25,LF,0.9,113,384,338,51,91,17,2,16,38,0,2,38,60,.269,.357,.473,.830,109,.357,112,160,10,8,0,0,2,7H89/D,
7,Nick Senzel,24,CF,0.1,104,414,375,55,96,20,4,12,42,14,5,30,101,.256,.315,.427,.742,87,.327,87,160,6,3,0,1,0,8H/4,
8,Yasiel Puig,28,RF,0.4,100,404,373,51,94,15,1,22,61,14,5,23,89,.252,.302,.475,.777,93,.332,91,177,9,5,0,3,1,9/H,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
9,Derek Dietrich*,29,2B,1.0,113,306,251,41,47,8,2,19,43,1,1,28,74,.187,.328,.462,.790,98,.344,101,116,2,25,0,1,2,4H37/D5,
10,Josh VanMeter*,24,LF,0.0,95,260,228,33,54,13,1,8,23,9,3,29,56,.237,.327,.408,.735,86,.324,85,93,5,2,0,1,0,7H43/59D,
