Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Marcus Semien,28.0,1,5,5,1,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,1,0,0,0,0,0,/*6,
2.0,Mark Canha,30.0,1,4,3,0,0,0,0,0,0,0,0,1,2,0.0,0.25,0.0,0.25,0,0,0,0,0,0,*/8,
3.0,Matt Chapman,26.0,1,4,3,0,1,0,0,0,0,0,0,1,0,0.333,0.5,0.333,0.833,1,0,0,0,0,0,/*5,
4.0,Khris Davis,31.0,1,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/*D,
5.0,Robbie Grossman#,29.0,1,4,4,0,2,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,2,0,0,0,0,0,*/7,
6.0,Ramón Laureano,24.0,1,4,3,0,1,0,0,0,1,0,0,0,1,0.333,0.25,0.333,0.583,1,0,0,0,1,0,*/9,
7.0,Matt Olson*,25.0,1,4,3,0,1,0,0,0,0,0,0,1,1,0.333,0.5,0.333,0.833,1,1,0,0,0,0,/*3,
8.0,Jurickson Profar#,26.0,1,4,4,0,2,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,2,0,0,0,0,0,/*4,
9.0,Josh Phegley,31.0,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/*2,
10.0,Seth Brown*,26.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/*H,
11.0,Sean Murphy,24.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,/*2,
12.0,Jake Diekman,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
13.0,Liam Hendriks,30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
14.0,Jesús Luzardo*,21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
15.0,Sean Manaea,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
16.0,Yusmeiro Petit,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
