Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Martín Pérez*,29,SP,1.1,3,5,.375,4.50,12,12,0,0,0,0,62.0,55,33,31,8,28,0,46,3,0,2,262,107,4.88,1.339,8.0,1.2,4.1,6.7,1.64,
2,Nathan Eovaldi,30,SP,1.2,4,2,.667,3.72,9,9,0,0,0,0,48.1,51,20,20,8,7,0,52,4,0,2,199,129,3.87,1.200,9.5,1.5,1.3,9.7,7.43,
3,Chris Mazza,30,SP,0.5,1,2,.333,4.80,9,6,0,0,0,0,30.0,34,18,16,3,15,0,29,2,0,4,136,101,4.26,1.633,10.2,0.9,4.5,8.7,1.93,
4,Zack Godley,30,SP,-0.3,0,4,.000,8.16,8,7,0,0,0,0,28.2,42,26,26,9,14,0,28,3,0,3,143,59,7.10,1.953,13.2,2.8,4.4,8.8,2.00,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
5,Matt Barnes,30,CL,0.3,1,3,.250,4.30,24,0,14,0,0,9,23.0,18,13,11,4,14,1,31,2,0,4,102,113,4.84,1.391,7.0,1.6,5.5,12.1,2.21,
6,Ryan Weber,29,RP,1.2,1,3,.250,4.40,17,5,3,0,0,0,43.0,44,23,21,8,14,0,27,3,0,1,185,110,5.54,1.349,9.2,1.7,2.9,5.7,1.93,
7,Phillips Valdéz,28,RP,0.5,1,1,.500,3.26,24,0,5,0,0,0,30.1,33,16,11,3,16,0,30,3,0,0,137,148,4.38,1.615,9.8,0.9,4.7,8.9,1.88,
8,Ryan Brasier,32,RP,0.5,1,0,1.000,3.96,25,1,1,0,0,0,25.0,24,12,11,2,11,1,30,0,2,1,110,122,3.15,1.400,8.6,0.7,4.0,10.8,2.73,
9,Austin Brice,28,RP,0.1,1,0,1.000,5.95,21,1,2,0,0,0,19.2,17,13,13,3,13,0,25,2,0,1,87,82,4.92,1.525,7.8,1.4,5.9,11.4,1.92,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
10,Colten Brewer,27,,0.1,0,3,.000,5.61,11,4,1,0,0,0,25.2,31,17,16,6,14,0,25,1,0,1,122,86,6.04,1.753,10.9,2.1,4.9,8.8,1.79,
11,Jeffrey Springs*,27,,-0.3,0,2,.000,7.08,16,0,8,0,0,0,20.1,30,18,16,5,7,1,28,1,0,2,99,69,4.81,1.820,13.3,2.2,3.1,12.4,4.00,
12,Tanner Houck,24,,1.3,3,0,1.000,0.53,3,3,0,0,0,0,17.0,6,2,1,1,9,0,21,1,0,1,63,920,3.25,0.882,3.2,0.5,4.8,11.1,2.33,
13,Josh Osich*,31,,0.0,1,1,.500,5.74,13,1,3,0,0,0,15.2,16,10,10,6,5,0,20,1,0,0,70,85,6.77,1.340,9.2,3.4,2.9,11.5,4.00,
14,Mike Kickham*,31,,-0.2,1,1,.500,7.71,6,2,2,0,0,0,14.0,21,12,12,6,5,1,17,2,0,0,70,63,7.83,1.857,13.5,3.9,3.2,10.9,3.40,
15,Dylan Covey,28,,-0.1,0,0,,7.07,8,0,2,0,0,0,14.0,18,11,11,2,2,0,11,0,0,1,60,69,3.91,1.429,11.6,1.3,1.3,7.1,5.50,
16,Marcus Walden,31,,-0.9,0,2,.000,9.45,15,0,4,0,0,1,13.1,23,18,14,5,9,0,10,0,0,1,71,52,8.59,2.400,15.5,3.4,6.1,6.8,1.11,
17,Robert Stock,30,,0.0,0,1,.000,4.73,10,0,4,0,0,0,13.1,16,9,7,0,10,0,14,0,0,3,62,104,3.34,1.950,10.8,0.0,6.8,9.5,1.40,
18,Kyle Hart*,27,,-0.9,0,1,.000,15.55,4,3,0,0,0,0,11.0,24,21,19,4,10,0,13,0,1,0,67,32,8.28,3.091,19.6,3.3,8.2,10.6,1.30,
19,Nick Pivetta,27,,0.6,2,0,1.000,1.80,2,2,0,0,0,0,10.0,8,2,2,1,5,0,13,0,0,0,42,274,3.39,1.300,7.2,0.9,4.5,11.7,2.60,
20,Heath Hembree,31,,0.0,2,0,1.000,5.59,11,0,1,0,0,0,9.2,9,6,6,2,3,0,10,0,0,0,40,88,4.74,1.241,8.4,1.9,2.8,9.3,3.33,
21,Matt Hall*,26,,-0.9,0,3,.000,18.69,4,1,0,0,0,0,8.2,17,18,18,2,10,0,9,1,0,0,54,27,7.92,3.115,17.7,2.1,10.4,9.3,0.90,
22,Darwinzon Hernández*,23,,0.4,1,0,1.000,2.16,7,0,0,0,0,0,8.1,5,2,2,0,8,0,13,1,0,1,40,230,3.31,1.560,5.4,0.0,8.6,14.0,1.63,
23,Andrew Triggs,31,,0.2,0,1,.000,4.50,4,2,1,0,0,0,8.0,8,4,4,3,3,0,7,0,0,0,35,110,7.44,1.375,9.0,3.4,3.4,7.9,2.33,
24,Josh Taylor*,27,,-0.3,1,1,.500,9.82,8,0,1,0,0,0,7.1,7,8,8,2,5,0,7,1,0,0,36,51,7.28,1.636,8.6,2.5,6.1,8.6,1.40,
25,Brandon Workman,31,,0.1,0,0,,4.05,7,0,6,0,0,4,6.2,8,3,3,0,4,0,8,0,0,0,31,124,2.59,1.800,10.8,0.0,5.4,10.8,2.00,
26,Robinson Leyer,27,,-0.7,0,0,,21.21,6,1,0,0,0,0,4.2,12,11,11,3,8,0,9,0,0,0,34,24,12.83,4.286,23.1,5.8,15.4,17.4,1.13,
27,Domingo Tapia,28,,0.1,0,0,,2.08,5,0,0,0,0,0,4.1,4,1,1,1,2,0,4,0,0,0,19,247,5.73,1.385,8.3,2.1,4.2,8.3,2.00,
28,Tzu-Wei Lin,26,,-0.1,0,0,,27.00,1,0,1,0,0,0,1.0,4,3,3,1,0,0,0,0,0,0,7,23,16.19,4.000,36.0,9.0,0.0,0.0,,
29,Kevin Plawecki,29,,0.0,0,0,,0.00,1,0,1,0,0,0,0.2,0,0,0,0,1,0,0,0,0,0,3,,7.69,1.500,0.0,0.0,13.5,0.0,0.00,
30,José Peraza,26,,0.0,0,0,,27.00,1,0,0,0,0,0,0.1,2,1,1,0,0,0,0,0,0,0,3,35,3.19,6.000,54.0,0.0,0.0,0.0,,
,Team Totals,,,3.7,24,36,.400,5.58,60,60,60,0,0,14,524.0,587,351,325,98,252,4,537,31,3,28,2389,87,5.19,1.601,10.1,1.7,4.3,9.2,2.13,
