Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Willson Contreras,28,C,1.0,57,225,189,37,46,10,0,7,26,1,2,20,57,.243,.356,.407,.763,106,.337,108,77,6,14,0,2,1,*2D,
2,Anthony Rizzo*,30,1B,1.1,58,243,203,26,45,6,0,11,24,3,1,28,38,.222,.342,.414,.755,103,.344,110,84,6,10,0,2,4,*3/DH,GG
3,Jason Kipnis*,33,2B,0.8,44,135,114,13,27,8,1,3,16,1,0,18,41,.237,.341,.404,.744,101,.339,106,46,1,1,0,2,0,4/DH3,
4,Javier Báez,27,SS,0.8,59,235,222,27,45,9,1,8,24,3,0,7,75,.203,.238,.360,.599,59,.278,62,80,8,4,0,2,0,*6/7DH,GG
5,David Bote,27,3B,-0.1,45,145,125,15,25,3,1,7,29,2,0,17,40,.200,.303,.408,.711,90,.312,86,51,6,2,0,1,0,5/4HD3,
6,Kyle Schwarber*,27,LF,0.1,59,224,191,30,36,6,0,11,24,1,0,30,66,.188,.308,.393,.701,88,.316,90,75,3,3,0,0,1,*7/DH,
7,Ian Happ#,25,CF,1.4,57,231,198,27,51,11,1,12,28,1,3,30,63,.258,.361,.505,.866,131,.371,133,100,1,2,1,0,1,*87/9H3D,MVP-18
8,Jason Heyward*,30,RF,1.5,50,181,147,20,39,6,2,6,22,2,0,30,37,.265,.392,.456,.848,129,.376,131,67,1,2,0,2,1,*9/H,
9,Victor Caratini#,26,DH,-0.2,44,132,116,10,28,7,0,1,16,0,1,12,31,.241,.333,.328,.661,80,.295,79,38,4,4,0,0,1,2D/H3,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Kris Bryant,28,3B,0.5,34,147,131,20,27,5,1,4,11,0,0,12,40,.206,.293,.351,.644,73,.311,87,46,1,4,0,0,0,5/7D3,
11,Nico Hoerner,23,2B,0.7,48,126,108,19,24,4,0,0,13,3,2,12,24,.222,.312,.259,.571,57,.277,65,28,3,3,0,2,0,46/5H78D,
12,Cameron Maybin,33,OF,0.0,18,56,52,3,13,4,1,0,5,3,0,3,12,.250,.304,.365,.669,80,.319,84,19,1,1,0,0,0,/97H8D,
13,Albert Almora,26,CF,-0.1,28,34,30,4,5,1,0,0,1,0,0,3,9,.167,.265,.200,.465,29,.223,26,6,0,1,0,0,0,8/H,
14,Steven Souza Jr.,31,OF,0.0,11,31,27,3,4,2,0,1,5,1,0,4,15,.148,.258,.333,.591,58,.267,52,9,0,0,0,0,0,/97HD,
15,José Martínez,31,DH,-0.6,10,22,21,0,0,0,0,0,0,0,0,1,7,.000,.045,.000,.045,-86,.032,-107,0,1,0,0,0,0,/DH,
16,Josh Phegley,32,DH,-0.1,11,18,16,4,1,0,0,1,2,0,0,1,3,.063,.167,.250,.417,11,.239,37,4,0,1,0,0,0,/DH2,
17,Billy Hamilton,29,CF,0.2,14,11,10,6,3,0,0,1,1,3,1,1,4,.300,.364,.600,.964,154,.423,154,6,0,0,0,0,0,8/HD,
18,Ildemaro Vargas#,28,IF,0.0,6,9,9,1,2,0,0,1,1,0,0,0,3,.222,.222,.556,.778,100,.318,92,5,0,0,0,0,0,/4H5,
19,Hernán Pérez,29,UT,-0.1,3,6,6,0,1,0,0,0,0,0,0,0,2,.167,.167,.167,.333,-9,.150,-26,1,0,0,0,0,0,/347DH,
20,Patrick Wisdom,28,1B,-0.1,2,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-128,0,0,0,0,0,0,/3H,
21,Ian Miller*,28,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/H,
22,Alec Mills,28,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-133,0,0,0,0,0,0,1/H,
23,Kyle Hendricks,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,CYA-9
24,Craig Kimbrel,32,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
25,Jeremy Jeffress,32,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
26,Rowan Wick*,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
27,Dan Winkler,30,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
,Team Totals,,,6.9,60,2214,1918,265,422,82,8,74,248,24,10,229,568,.220,.318,.387,.705,90,.319,93,742,42,52,1,13,9,,
