Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Joey Votto*,36.0,2,10,9,0,2,0,0,0,0,0,0,1,3,0.222,0.3,0.222,0.522,2,0.0,0,0,0.0,1.0,/*3,
2.0,Eugenio Suárez,28.0,2,10,9,0,2,0,0,0,0,0,0,1,4,0.222,0.3,0.222,0.522,2,0.0,0,0,0.0,0.0,/*5,
3.0,Nick Castellanos,28.0,2,10,10,0,3,1,0,0,0,0,0,0,4,0.3,0.3,0.4,0.7,4,0.0,0,0,0.0,0.0,*/9,
4.0,Mike Moustakas*,31.0,2,9,8,0,0,0,0,0,0,0,0,1,2,0.0,0.111,0.0,0.111,0,0.0,0,0,0.0,0.0,/*4,
5.0,Jesse Winker*,26.0,2,8,6,0,1,0,0,0,0,0,0,1,2,0.167,0.375,0.167,0.542,1,0.0,1,0,0.0,0.0,/*D,
6.0,Nick Senzel,25.0,2,7,7,0,2,0,0,0,0,0,0,0,2,0.286,0.286,0.286,0.571,2,0.0,0,0,0.0,0.0,*/8,
7.0,Aristides Aquino,26.0,1,6,6,0,2,0,0,0,0,0,1,0,2,0.333,0.333,0.333,0.667,2,0.0,0,0,0.0,0.0,/7,
8.0,Kyle Farmer,29.0,1,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/6,
9.0,Tucker Barnhart*,29.0,2,5,5,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/*2,
10.0,Shogo Akiyama*,32.0,2,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,*/78H,
11.0,Freddy Galvis#,30.0,2,4,3,0,1,0,0,0,0,0,0,1,1,0.333,0.5,0.333,0.833,1,0.0,0,0,0.0,0.0,/6H,
12.0,Curt Casali,31.0,2,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/*2,
13.0,Jose Barrero,22.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/DH,
14.0,Brian Goodwin*,29.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,*/78H,
15.0,Luis Castillo,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
16.0,Matt Davidson,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/H,
17.0,Amir Garrett,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
18.0,Raisel Iglesias,30.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/*1,
19.0,Travis Jankowski*,29.0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0,,0,0,,,/DH,
20.0,Michael Lorenzen,28.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/*1,
21.0,Archie Bradley,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
22.0,Lucas Sims,26.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/*1,
23.0,Trevor Bauer,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
