Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Kyle Tucker*,23,LF,1.9,58,228,209,33,56,12,6,9,42,8,1,18,46,0.268,0.325,0.512,0.837,124,0.367,124,107,2,0,0,1,2,*7D/9H,0
George Springer,30,CF,2.2,51,222,189,37,50,6,2,14,32,1,2,24,38,0.265,0.359,0.54,0.899,141,0.387,145,102,3,5,0,2,0,*8/9DH,MVP-13
Carlos Correa,25,SS,1.7,58,221,201,22,53,9,0,5,25,0,0,16,49,0.264,0.326,0.383,0.709,93,0.324,98,77,4,3,0,1,2,*6/H,0
Martín Maldonado,33,C,0.8,47,165,135,19,29,4,0,6,24,1,0,27,51,0.215,0.35,0.378,0.727,99,0.334,104,51,2,1,2,0,0,*2,0
Josh Reddick*,33,RF,-0.4,56,210,188,22,46,11,1,4,23,1,0,20,42,0.245,0.316,0.378,0.693,89,0.306,85,71,5,0,0,1,0,*9/DH,0
Yuli Gurriel,36,1B,-0.1,57,230,211,27,49,12,1,6,22,0,1,12,27,0.232,0.274,0.384,0.658,77,0.287,74,81,6,2,0,5,0,*3/DH,0
Alex Bregman,26,3B,1.1,42,180,153,19,37,12,1,6,22,0,0,24,26,0.242,0.35,0.451,0.801,117,0.344,112,69,2,2,0,1,1,*5/H,0
Michael Brantley*,33,DH,1.6,46,187,170,24,51,15,0,5,22,2,0,17,28,0.3,0.364,0.476,0.84,127,0.373,131,81,3,0,0,0,0,D7/H,0
Jose Altuve,30,2B,-0.2,48,210,192,32,42,9,0,5,18,2,3,17,39,0.219,0.286,0.344,0.629,71,0.284,74,66,5,1,0,0,0,*4,0
Abraham Toro#,23,IF,-0.6,33,97,87,13,13,2,0,3,9,1,1,3,23,0.149,0.237,0.276,0.513,40,0.249,47,24,1,7,0,0,0,5DH/34,0
Myles Straw,25,CF,-0.4,33,86,82,8,17,4,0,0,8,6,2,4,22,0.207,0.244,0.256,0.5,37,0.237,35,21,0,0,0,0,0,8/HD6,0
Aledmys Díaz,29,UT,0.1,17,59,58,8,14,5,0,3,6,0,0,1,12,0.241,0.254,0.483,0.737,95,0.308,87,28,1,0,0,0,0,4/53D7H,0
Dustin Garneau,32,C,-0.2,17,46,38,4,6,0,1,1,4,0,0,6,15,0.158,0.273,0.289,0.562,54,0.255,48,11,1,0,2,0,0,2/H,0
Yordan Alvarez*,23,DH,0.1,2,9,8,2,2,0,0,1,4,0,0,0,1,0.25,0.333,0.625,0.958,153,0.4,151,5,1,1,0,0,0,/D,0
Jack Mayfield,29,IF,-0.2,21,47,42,5,8,1,0,0,3,0,0,2,14,0.19,0.239,0.214,0.453,26,0.21,16,9,1,1,1,1,0,/564HD,0
Taylor Jones,26,DH,-0.3,7,22,21,3,4,1,0,1,3,0,0,1,7,0.19,0.227,0.381,0.608,62,0.259,53,8,2,0,0,0,0,/D3H,0
Garrett Stubbs*,27,UT,-0.2,14,10,8,1,1,0,0,0,1,0,1,0,0,0.125,0.111,0.125,0.236,-35,0.043,-76,1,0,0,1,1,0,/2H7,0
