Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Jorge Alfaro,27,C,-0.4,31,100,93,12,21,2,0,3,16,2,0,4,36,.226,.280,.344,.624,68,.276,59,32,2,3,0,0,1,2/9DH,
2,Jesús Aguilar,30,1B,0.6,51,216,188,31,52,10,0,8,34,0,1,23,40,.277,.352,.457,.809,117,.350,116,86,5,1,0,4,0,3D/5H,
3,Jon Berti,30,2B,0.9,39,149,120,21,31,5,0,2,14,9,2,23,37,.258,.388,.350,.738,102,.356,114,42,1,3,2,1,0,4/895H6,
4,Miguel Rojas,31,SS,1.5,40,143,125,20,38,10,1,4,20,5,1,16,18,.304,.392,.496,.888,138,.383,134,62,1,2,0,0,2,6/35H,
5,Brian Anderson,27,3B,1.8,59,229,200,27,51,7,1,11,38,0,0,22,66,.255,.345,.465,.810,116,.357,119,93,2,6,0,1,1,*5/34DH,
6,Corey Dickerson*,31,LF,0.2,52,210,194,25,50,5,1,7,17,1,1,15,35,.258,.311,.402,.713,91,.321,95,78,5,0,0,0,1,*7/D9H,
7,Starling Marte,31,CF,0.5,28,112,106,13,26,6,0,4,13,5,0,2,22,.245,.286,.415,.701,86,.335,97,44,2,4,0,0,0,8/H,
8,Matt Joyce*,35,RF,-0.4,46,148,127,16,32,4,0,2,14,1,0,20,41,.252,.351,.331,.682,87,.331,100,42,3,0,0,1,0,97D/H,
9,Garrett Cooper,29,DH,0.5,34,133,120,20,34,8,0,6,20,0,0,11,31,.283,.353,.500,.853,127,.373,130,60,5,2,0,0,0,D3/H,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Jonathan Villar#,29,MI,0.0,30,128,116,10,30,4,0,2,9,9,5,10,32,.259,.315,.345,.660,79,.306,86,40,2,0,1,1,1,64/D8H,
11,Lewis Brinson,26,RF,0.1,47,112,106,14,24,6,0,3,12,4,0,6,30,.226,.268,.368,.636,70,.280,60,39,2,0,0,0,0,*97H/8,
12,Francisco Cervelli,34,C,0.8,16,62,53,10,13,2,0,3,7,1,0,8,14,.245,.355,.453,.808,117,.401,147,24,3,1,0,0,0,2,
13,Jazz Chisholm Jr.*,22,MI,-0.1,21,62,56,8,9,1,1,2,6,2,2,5,19,.161,.242,.321,.563,51,.255,55,18,0,1,0,0,0,4/6H,
14,Magneuris Sierra*,24,OF,0.4,19,53,44,8,11,3,1,0,7,4,1,5,9,.250,.333,.364,.697,89,.331,95,16,0,1,2,1,0,8/79HD,
15,Monte Harrison,24,OF,-0.2,32,51,47,8,8,1,0,1,3,6,0,4,26,.170,.235,.255,.491,33,.246,23,12,0,0,0,0,0,89H,
16,Chad Wallach,28,C,0.2,15,48,44,4,10,3,0,1,6,0,0,3,12,.227,.277,.364,.640,71,.296,76,16,1,0,1,0,0,2/H,
17,Lewin Díaz*,23,1B,-0.3,14,41,39,2,6,2,0,0,3,0,0,2,12,.154,.195,.205,.400,9,.182,-2,8,2,0,0,0,0,3/HD,
18,Eddy Alvarez*,30,IF,-0.2,12,41,37,6,7,1,0,0,2,2,0,3,16,.189,.268,.216,.485,34,.258,42,8,0,1,0,0,0,/45H6,
19,Logan Forsythe,33,IF,-0.3,12,38,34,2,4,1,0,1,2,0,0,4,12,.118,.211,.235,.446,21,.203,12,8,0,0,0,0,0,/43D1,
20,Jesús Sánchez*,22,RF,-0.5,10,29,25,1,1,1,0,0,2,0,0,4,11,.040,.172,.080,.252,-28,.140,-32,2,1,0,0,0,0,9/H,
21,Isan Díaz*,24,2B,-0.3,7,22,22,3,4,0,0,0,1,0,0,0,7,.182,.182,.182,.364,-1,.164,-15,4,0,0,0,0,0,/4,
22,Sean Rodríguez,35,UT,-0.3,4,13,13,0,2,0,0,0,0,0,0,0,6,.154,.154,.154,.308,-16,.124,-42,2,0,0,0,0,0,/47,
23,Ryan Lavarnway,32,C,0.0,5,11,11,0,4,0,0,0,0,0,0,0,2,.364,.364,.364,.727,98,.327,99,4,0,0,0,0,0,/2,
24,Harold Ramírez,25,OF,-0.1,3,11,10,2,2,0,0,0,1,0,1,1,2,.200,.273,.200,.473,31,.181,29,2,0,0,0,0,0,/97,
25,Brian Navarreto,25,C,0.0,2,5,5,0,2,0,0,0,0,0,0,0,1,.400,.400,.400,.800,118,.360,121,2,0,0,0,0,0,/2,
,Team Totals,,,4.4,60,2167,1935,263,472,82,5,60,247,51,14,191,537,.244,.319,.384,.703,89,.320,92,744,37,25,6,9,6,,
