Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Mitch Garver,29,C,0.0,23,81,72,8,12,1,0,2,5,0,0,7,37,.167,.247,.264,.511,42,.242,45,19,1,1,0,1,0,2/H3,
2,Miguel Sanó,27,1B,0.1,53,205,186,31,38,12,0,13,25,0,0,18,90,.204,.278,.478,.757,105,.317,97,89,3,1,0,0,1,*3/D,
3,Luis Arráez*,23,2B,0.8,32,121,112,16,36,9,0,0,13,0,0,8,11,.321,.364,.402,.765,113,.344,116,45,2,0,0,1,0,4/H,
4,Jorge Polanco#,26,SS,0.0,55,226,209,22,54,8,0,4,19,4,2,13,35,.258,.304,.354,.658,82,.292,80,74,7,1,2,1,0,*6/H,
5,Josh Donaldson,34,3B,0.5,28,102,81,14,18,2,0,6,11,0,0,18,24,.222,.373,.469,.842,132,.359,127,38,4,2,0,1,1,5/H,
6,Eddie Rosario*,28,LF,1.2,57,231,210,31,54,7,0,13,42,3,1,19,34,.257,.316,.476,.792,116,.342,115,100,3,0,0,2,2,*7/DH,MVP-17
7,Byron Buxton,26,CF,2.1,39,135,130,19,33,3,0,13,27,2,1,2,36,.254,.267,.577,.844,125,.348,119,75,2,1,0,2,0,8,MVP-16
8,Max Kepler*,27,RF,1.1,48,196,171,27,39,9,0,9,23,3,0,22,36,.228,.321,.439,.760,109,.345,115,75,1,2,0,1,0,*9/8HD,
9,Nelson Cruz,39,DH,1.8,53,214,185,33,56,6,0,16,33,0,0,25,58,.303,.397,.595,.992,171,.416,168,110,8,4,0,0,5,*D/H,"MVP-6,SS"
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Marwin González#,31,IF,0.2,53,199,175,15,37,4,0,5,22,0,0,17,41,.211,.286,.320,.606,69,.274,67,56,1,3,0,4,0,543/9H,
11,Jake Cave*,27,CF,0.4,42,123,113,17,25,3,2,4,15,0,2,5,44,.221,.285,.389,.674,85,.291,85,44,0,5,0,0,0,89H/7D,
12,Ehire Adrianza#,30,IF,0.2,44,101,89,10,17,7,0,0,3,1,0,11,23,.191,.287,.270,.557,57,.259,55,24,3,1,0,0,0,5H/641D,
13,Ryan Jeffers,23,C,0.3,26,62,55,5,15,0,0,3,7,0,0,5,19,.273,.355,.436,.791,119,.362,129,24,0,2,0,0,0,2/DH,
14,Alex Avila*,33,C,0.4,23,62,49,6,9,2,0,1,2,0,0,11,22,.184,.355,.286,.641,82,.305,88,14,2,2,0,0,0,2/DH,
15,LaMonte Wade Jr.*,26,UT,0.0,16,44,39,3,9,3,0,0,1,1,1,4,9,.231,.318,.308,.626,76,.276,73,12,0,1,0,0,0,/38H79D,
16,Ildemaro Vargas#,28,2B,-0.2,10,24,22,3,5,1,1,0,2,0,0,1,2,.227,.250,.364,.614,68,.254,53,8,1,0,0,1,0,/4H5,
17,Brent Rooker,25,OF,0.0,7,21,19,4,6,2,0,1,5,0,0,0,5,.316,.381,.579,.960,162,.409,162,11,0,2,0,0,0,/9D7,
18,Willians Astudillo,28,C,0.0,8,16,16,4,4,1,0,1,3,0,0,0,2,.250,.250,.500,.750,101,.313,94,8,0,0,0,0,0,/2H,
19,Travis Blankenhorn*,23,2B,-0.1,1,4,3,0,1,1,0,0,0,0,0,0,0,.333,.500,.667,1.167,221,.491,218,2,0,1,0,0,0,/4,
20,Aaron Whitefield,23,CF,0.1,3,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-125,0,0,0,0,0,0,/8H,
,Team Totals,,,9.0,60,2168,1937,269,468,81,3,91,258,14,7,186,528,.242,.315,.427,.743,104,.324,102,828,38,29,2,14,9,,
