Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Luis Arráez*,23.0,2,8,6,0,0,0,0,0,0,0,0,2,1,0.0,0.25,0.0,0.25,0,0.0,0,0,0.0,0.0,/*4,
2.0,Miguel Sanó,27.0,2,8,7,0,1,0,0,0,0,0,0,1,1,0.143,0.25,0.143,0.393,1,0.0,0,0,0.0,0.0,/*3,
3.0,Jorge Polanco#,26.0,2,8,7,0,1,0,0,0,0,0,0,1,2,0.143,0.25,0.143,0.393,1,0.0,0,0,0.0,0.0,/*6,
4.0,Nelson Cruz,39.0,2,8,6,0,2,2,0,0,2,0,0,2,1,0.333,0.5,0.667,1.167,4,0.0,0,0,0.0,0.0,/*D,
5.0,Max Kepler*,27.0,2,8,5,1,0,0,0,0,0,0,0,3,1,0.0,0.375,0.0,0.375,0,0.0,0,0,0.0,0.0,*/89,
6.0,Eddie Rosario*,28.0,2,7,7,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,*/7,
7.0,Marwin González#,31.0,2,6,5,1,1,0,0,0,0,0,0,1,0,0.2,0.333,0.2,0.533,1,0.0,0,0,0.0,0.0,/*5,
8.0,Ryan Jeffers,23.0,2,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/*2,
9.0,Byron Buxton,26.0,2,4,4,0,1,0,0,0,0,1,1,0,3,0.25,0.25,0.25,0.5,1,0.0,0,0,0.0,0.0,/8DH,
10.0,Alex Kirilloff*,,1,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,1,0.0,0,0,0.0,0.0,/9,
11.0,Willians Astudillo,28.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0.0,0.0,/H,
12.0,Mitch Garver,29.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H,
13.0,Jake Cave*,27.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/7,
14.0,Tyler Duffey,29.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/*1,
15.0,Kenta Maeda,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
16.0,Trevor May,30.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/*1,
17.0,Taylor Rogers*,29.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/*1,
18.0,Sergio Romo,37.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
19.0,José Berríos,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
20.0,Alex Avila*,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/2,
21.0,Cody Stashak,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
22.0,Caleb Thielbar,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
,Team Totals,,2,69,59,2,7,2,0,0,2,1,1,10,14,0.119,0.246,0.153,0.399,9,1.0,0,0,0.0,0.0,,
