Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Wilson Ramos,32,C,0.3,45,155,142,13,34,6,0,5,15,0,0,10,31,.239,.297,.387,.684,87,.299,84,55,5,2,0,1,0,*2/HD,
2,Pete Alonso,25,1B,0.2,57,239,208,31,48,6,0,16,35,1,0,24,61,.231,.326,.490,.817,122,.342,114,102,4,6,0,1,4,3D/H,
3,Robinson Canó*,37,2B,1.1,49,182,171,23,54,9,0,10,30,0,0,9,24,.316,.352,.544,.896,143,.387,146,93,7,1,0,1,1,4D/H,
4,Amed Rosario,24,SS,0.1,46,147,143,20,36,3,1,4,15,0,1,4,34,.252,.272,.371,.643,75,.284,76,53,5,0,0,0,0,*6/H,
5,J.D. Davis,27,3B,0.1,56,229,190,26,47,9,0,6,19,0,0,31,56,.247,.371,.389,.761,111,.342,114,74,8,7,0,1,1,5D/7H,
6,Jeff McNeil*,28,LF,1.5,52,209,183,19,57,14,0,4,23,0,2,20,24,.311,.383,.454,.836,130,.366,135,83,3,3,0,3,2,74/59DH,
7,Brandon Nimmo*,27,CF,1.8,55,225,186,33,52,8,3,8,18,1,2,33,43,.280,.404,.484,.888,145,.383,145,90,1,6,0,0,0,*879/H,
8,Michael Conforto*,27,RF,2.1,54,233,202,40,65,12,0,9,31,3,3,24,57,.322,.412,.515,.927,154,.410,164,104,6,7,0,0,0,*9/DH,
9,Yoenis Céspedes,34,DH,-0.1,8,34,31,3,5,1,0,2,4,0,0,2,15,.161,.235,.387,.622,68,.294,81,12,1,1,0,0,0,/D,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Dominic Smith*,25,UT,2.0,50,199,177,27,56,21,1,10,42,0,0,14,45,.316,.377,.616,.993,168,.411,162,109,2,5,0,3,0,37/DH,MVP-13
11,Andrés Giménez*,21,SS,1.0,49,132,118,22,31,3,2,3,12,8,1,7,28,.263,.333,.398,.732,101,.332,100,47,0,6,0,1,0,645/H,ROY-7
12,Luis Guillorme*,25,IF,0.7,29,68,57,6,19,6,0,0,9,2,0,10,17,.333,.426,.439,.865,140,.390,143,25,3,0,0,1,0,4/H561,
13,Todd Frazier,34,3B,0.1,14,51,49,5,11,2,0,2,5,0,0,1,16,.224,.255,.388,.643,74,.275,68,19,1,1,0,0,0,5/1,
14,Jake Marisnick,29,CF,0.2,16,34,33,4,11,3,0,2,5,0,0,1,10,.333,.353,.606,.959,158,.419,168,20,0,0,0,0,0,8/H,
15,Robinson Chirinos,36,C,-0.1,12,33,32,1,7,2,0,1,5,0,0,1,9,.219,.242,.375,.617,67,.262,58,12,2,0,0,0,0,2,
16,Tomás Nido,26,C,0.2,7,26,24,4,7,1,0,2,6,0,0,2,6,.292,.346,.583,.929,150,.384,143,14,2,0,0,0,0,/2,
17,Billy Hamilton,29,CF,-0.1,17,25,22,4,1,0,0,0,1,3,1,1,3,.045,.083,.045,.129,-63,.075,-84,1,0,0,1,1,0,8/HD,
18,Guillermo Heredia,29,CF,0.1,7,18,17,4,4,0,0,2,3,0,0,1,5,.235,.278,.588,.866,130,.357,124,10,0,0,0,0,0,/8H,
19,Brian Dozier,33,2B,-0.4,7,16,15,1,2,0,0,0,0,0,0,1,5,.133,.188,.133,.321,-9,.157,-15,2,1,0,0,0,0,/4DH,
20,Alí Sánchez,23,C,-0.1,5,10,9,0,1,0,0,0,0,0,0,1,3,.111,.200,.111,.311,-10,.160,-12,1,2,0,0,0,0,/2,
21,Ryan Cordell,28,OF,-0.1,5,8,8,0,1,0,0,0,0,1,0,0,3,.125,.125,.125,.250,-30,.142,-45,1,0,0,0,0,0,/89H,
22,René Rivera,36,C,0.1,2,4,4,0,1,0,0,0,0,0,0,0,3,.250,.250,.250,.500,39,.225,33,1,0,0,0,0,0,/2H,
23,Eduardo Núñez,33,DH,0.0,2,2,2,0,1,0,0,0,0,1,0,0,0,.500,.500,.500,1.000,178,.521,156,1,0,0,0,0,0,/9DH,
24,Juan Lagares,31,CF,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/8H,
,Team Totals,,,10.7,60,2279,2023,286,551,106,7,86,278,20,10,197,498,.272,.348,.459,.807,121,.352,121,929,53,45,1,13,8,,
