Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,DJ LeMahieu,31.0,7,36,32,4,9,0,0,0,4,0,0,3,4,0.281,0.333,0.281,0.615,9,1.0,0,0,1.0,0.0,/*43,
2.0,Aaron Judge,28.0,7,35,30,3,4,0,0,3,5,0,0,4,10,0.133,0.229,0.433,0.662,13,1.0,0,0,1.0,0.0,*/9,
3.0,Aaron Hicks#,30.0,7,33,26,6,8,1,1,0,3,0,0,6,5,0.308,0.424,0.423,0.847,11,0.0,0,0,1.0,0.0,*/8,
4.0,Gio Urshela,28.0,7,31,28,4,5,0,0,1,5,0,0,2,7,0.179,0.226,0.286,0.512,8,0.0,0,0,1.0,0.0,/*5,
5.0,Giancarlo Stanton,30.0,7,31,26,7,8,1,0,6,13,0,0,4,10,0.308,0.387,1.038,1.426,27,1.0,0,0,1.0,0.0,/*D,
6.0,Gleyber Torres,23.0,7,30,23,5,10,0,0,2,5,2,0,7,6,0.435,0.567,0.696,1.262,16,1.0,0,0,0.0,0.0,/*6,
7.0,Luke Voit,29.0,7,29,25,5,5,3,0,1,2,0,0,4,7,0.2,0.31,0.44,0.75,11,0.0,0,0,0.0,0.0,/*3,
8.0,Brett Gardner*,36.0,6,24,19,6,7,1,0,1,3,0,0,4,10,0.368,0.5,0.579,1.079,11,0.0,1,0,0.0,0.0,*/7H,
9.0,Kyle Higashioka,30.0,5,19,18,2,5,0,0,1,2,0,0,1,3,0.278,0.316,0.444,0.76,8,0.0,0,0,0.0,0.0,/*2,
10.0,Gary Sánchez,27.0,3,9,8,1,1,0,0,1,3,0,0,0,4,0.125,0.111,0.5,0.611,4,0.0,0,0,1.0,0.0,/2,
11.0,Clint Frazier,25.0,4,7,7,1,2,0,0,1,1,0,0,0,5,0.286,0.286,0.714,1.0,5,0.0,0,0,0.0,0.0,/7H,
12.0,Mike Ford*,27.0,3,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H3,
13.0,Tyler Wade*,25.0,4,1,0,1,0,0,0,0,0,0,0,1,0,,1.0,,,0,0.0,0,0,0.0,0.0,/4H,
14.0,Nick Nelson,24.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
15.0,Michael King,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
16.0,Adam Ottavino#,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
17.0,Masahiro Tanaka,31.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
18.0,Mike Tauchman*,29.0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/DH,
19.0,Jordan Montgomery*,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
20.0,Jonathan Loáisiga,25.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
21.0,Zack Britton*,32.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
22.0,Jonathan Holder,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
23.0,J.A. Happ*,37.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
24.0,Chad Green*,29.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
25.0,Deivi García,21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
26.0,Gerrit Cole,29.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
27.0,Aroldis Chapman*,32.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
28.0,Luis Cessa,28.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
