Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Matt Olson*,26,1B,1.1,60,245,210,28,41,4,1,14,42,1,0,34,77,0.195,0.31,0.424,0.734,103,0.331,109,89,2,1,0,0,2,*3,0
Mark Canha,31,OF,1.6,59,243,191,32,47,12,2,5,33,4,0,37,54,0.246,0.387,0.408,0.795,124,0.363,129,78,2,10,0,5,1,D97/83,0
Stephen Piscotty,29,RF,0.0,45,171,159,17,36,6,0,5,29,4,0,9,53,0.226,0.271,0.358,0.629,75,0.278,68,57,4,1,1,1,0,*9/H,0
Matt Chapman,27,3B,1.2,37,152,142,22,33,9,2,10,25,0,0,8,54,0.232,0.276,0.535,0.812,120,0.335,112,76,2,1,0,1,0,5/6,0
Ramón Laureano,25,CF,1.5,54,222,183,27,39,8,1,6,25,2,1,24,58,0.213,0.338,0.366,0.704,98,0.316,99,67,7,12,0,3,0,*8/D,0
Robbie Grossman#,30,LF,1.1,51,192,166,23,40,12,2,8,23,8,1,21,38,0.241,0.344,0.482,0.826,128,0.368,130,80,1,5,0,0,2,*7/H8D9,0
Marcus Semien,29,SS,0.4,53,236,211,28,47,9,1,7,23,4,0,25,50,0.223,0.305,0.374,0.679,89,0.309,91,79,3,0,0,0,0,*6,0
Sean Murphy,25,C,1.1,43,140,116,21,27,5,0,7,14,0,0,24,37,0.233,0.364,0.457,0.821,129,0.365,133,53,6,0,0,0,0,*2/H,ROY-4
Tommy La Stella*,31,2B,0.5,27,111,97,16,28,6,2,1,11,0,0,12,5,0.289,0.369,0.423,0.792,122,0.347,120,41,3,1,0,1,0,4/5D,0
Khris Davis,32,DH,-0.3,30,99,85,9,17,5,0,2,10,0,0,10,26,0.2,0.303,0.329,0.632,78,0.284,76,28,5,3,0,1,0,D/H,0
Jake Lamb*,29,3B,0.1,13,49,45,5,12,4,0,3,9,0,0,2,8,0.267,0.327,0.556,0.882,141,0.37,136,25,1,2,0,0,0,5/D,0
Chad Pinder,28,IF,0.1,24,61,56,8,13,3,0,2,8,0,0,5,13,0.232,0.295,0.393,0.688,91,0.299,87,22,3,0,0,0,0,4/H579D,0
Jonah Heim#,25,C,0.1,13,41,38,5,8,0,0,0,5,0,0,3,3,0.211,0.268,0.211,0.479,37,0.224,34,8,1,0,0,0,0,2/DH,0
Tony Kemp*,28,2B,-0.2,49,114,93,15,23,5,0,0,4,3,1,15,14,0.247,0.363,0.301,0.664,90,0.308,92,28,0,3,1,2,0,*4/H7D,0
Austin Allen*,26,C,-0.2,14,32,31,1,6,1,0,1,3,0,0,1,14,0.194,0.219,0.323,0.541,49,0.234,42,10,0,0,0,0,0,2,0
Vimael Machín*,26,IF,-0.3,24,71,63,11,13,2,0,0,0,0,0,8,10,0.206,0.296,0.238,0.534,53,0.265,63,15,4,0,0,0,0,5/6D43H,0
Franklin Barreto,24,MI,-0.2,15,10,10,5,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100,0.0,-123,0,0,0,0,0,0,H/46D,0
Nate Orf,30,MI,-0.3,6,7,7,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-122,0,0,0,0,0,0,/6H4,0
Seth Brown*,27,DH,-0.1,7,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-121,0,0,0,0,0,0,/H3D,0
