Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,J.T. Realmuto,29,C,1.3,47,195,173,33,46,6,0,11,32,4,1,16,48,.266,.349,.491,.840,124,.364,123,85,3,6,0,0,0,2/D3H,
2,Rhys Hoskins,27,1B,0.9,41,185,151,35,37,9,0,10,26,1,0,29,43,.245,.384,.503,.887,138,.402,149,76,4,5,0,0,0,3/D,
3,Jean Segura,30,2B,1.2,54,217,192,28,51,5,2,7,25,2,2,23,45,.266,.347,.422,.769,107,.336,107,81,6,1,1,0,2,45/6D,
4,Didi Gregorius*,30,SS,1.2,60,237,215,34,61,10,2,10,40,3,2,15,28,.284,.339,.488,.827,120,.345,112,105,4,4,1,2,3,*6/H,
5,Alec Bohm,23,3B,0.8,44,180,160,24,54,11,0,4,23,1,1,16,36,.338,.400,.481,.881,137,.385,139,77,4,2,0,2,0,5/3D,ROY-2
6,Andrew McCutchen,33,LF,-0.1,57,241,217,32,55,9,0,10,34,4,0,22,48,.253,.324,.433,.757,102,.338,103,94,4,1,0,1,0,7D/H,
7,Roman Quinn#,27,CF,0.0,41,116,108,14,23,3,1,2,7,12,0,5,39,.213,.261,.315,.576,55,.289,55,34,0,2,1,0,0,8/H9,
8,Bryce Harper*,27,RF,2.0,58,244,190,41,51,9,2,13,33,8,2,49,43,.268,.420,.542,.962,158,.408,154,103,5,2,1,2,8,*9D/8,
9,Phil Gosselin,31,DH,0.0,39,102,92,14,23,5,0,3,12,0,0,10,27,.250,.324,.402,.726,95,.322,95,37,3,0,0,0,1,D/H37945,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Scott Kingery,26,2B,-0.9,36,124,113,12,18,5,0,3,6,0,0,9,35,.159,.228,.283,.511,37,.249,44,32,1,1,1,0,0,4/8H6,
11,Jay Bruce*,33,UT,0.2,32,103,96,11,19,4,2,6,14,0,0,7,24,.198,.252,.469,.721,89,.315,90,45,1,0,0,0,1,7D/H93,
12,Adam Haseley*,24,CF,0.0,40,92,79,7,22,5,0,0,13,0,0,7,17,.278,.348,.342,.690,88,.326,98,27,3,2,3,1,1,87/9H,
13,Andrew Knapp#,28,C,0.8,33,89,72,9,20,4,1,2,15,0,0,15,19,.278,.404,.444,.849,130,.383,137,32,1,1,0,1,0,2/HD3,
14,Neil Walker#,34,UT,-0.1,18,41,39,5,9,3,0,0,3,0,0,1,13,.231,.244,.308,.552,48,.239,37,12,0,0,0,1,0,/4HD3517,
15,Kyle Garlick,28,OF,-0.4,12,23,22,0,3,1,0,0,3,0,0,0,7,.136,.174,.182,.356,-3,.203,12,4,0,1,0,0,0,/79HD,
16,Mickey Moniak*,22,OF,0.1,8,18,14,3,3,0,0,0,0,0,0,4,6,.214,.389,.214,.603,70,.307,84,3,0,0,0,0,0,/7H9D,
17,Rafael Marchán#,21,C,0.2,3,9,8,3,4,0,0,1,3,0,0,1,2,.500,.556,.875,1.431,279,.596,286,7,0,0,0,0,0,/2,
18,Ronald Torreyes,27,UT,-0.1,4,7,7,1,1,1,0,0,0,0,0,0,0,.143,.143,.286,.429,12,.176,-6,2,1,0,0,0,0,/648,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
19,Héctor Neris,31,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
20,Aaron Nola,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,CYA-7
21,Blake Parker,35,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
22,Trevor Kelley,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
23,Austin Davis*,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
,Team Totals,,,7.3,60,2223,1948,306,500,90,10,82,289,35,8,229,480,.257,.342,.439,.781,109,.347,111,856,40,28,8,10,16,,
