Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Eduardo Escobar#,32,3B,2.1,98,400,370,50,91,14,3,22,65,1,0,29,85,0.246,0.3,0.478,0.778,107,0.337,106,177,1,0,0,1,1,54/H6,AS
David Peralta*,33,LF,1.1,150,538,487,57,126,30,8,8,63,2,1,46,92,0.259,0.325,0.402,0.728,96,0.319,94,196,9,3,0,2,3,*7H/1D,0
Ketel Marte#,27,CF,1.8,90,374,340,52,108,29,1,14,50,2,0,31,60,0.318,0.377,0.532,0.909,143,0.39,143,181,8,2,0,1,3,84/H,0
Pavin Smith*,25,RF,-0.2,145,545,498,68,133,27,4,11,49,1,0,42,106,0.267,0.328,0.404,0.732,98,0.323,96,201,11,4,0,1,1,398H7,0
Christian Walker,30,1B,0.5,115,445,401,55,98,23,1,10,46,0,0,38,106,0.244,0.315,0.382,0.696,88,0.307,86,153,8,4,0,2,1,3H/D,0
Carson Kelly,26,C,2.2,98,359,304,41,73,11,1,13,46,0,0,44,74,0.24,0.343,0.411,0.754,104,0.339,108,125,10,6,0,5,1,2H,0
Josh Rojas*,27,UT,0.8,139,550,484,69,128,32,3,11,44,9,4,58,137,0.264,0.341,0.411,0.752,103,0.335,105,199,7,0,1,3,1,4697H5,0
Asdrúbal Cabrera#,35,3B,0.9,90,321,283,34,69,21,0,7,40,1,0,33,73,0.244,0.324,0.392,0.716,93,0.317,92,111,6,2,0,3,1,5H3/1D6,0
Daulton Varsho*,24,UT,1.7,95,315,284,41,70,17,2,11,38,6,0,30,67,0.246,0.318,0.437,0.755,102,0.334,101,124,4,0,1,0,3,28H79,0
Nick Ahmed,31,SS,0.7,129,473,434,46,96,30,3,5,38,7,2,34,104,0.221,0.28,0.339,0.619,67,0.28,65,147,9,2,2,1,3,*6/H,0
Josh VanMeter*,26,2B,-0.2,112,310,274,26,58,17,2,6,36,3,2,33,83,0.212,0.297,0.354,0.651,76,0.295,78,97,5,1,0,2,0,4H5/379,0
Josh Reddick*,34,RF,-0.4,54,158,151,15,39,11,0,2,21,0,0,6,31,0.258,0.285,0.371,0.656,76,0.297,78,56,4,0,0,1,0,9H/817,0
Kole Calhoun*,33,RF,-0.1,51,182,166,17,39,8,0,5,17,1,0,15,41,0.235,0.297,0.373,0.67,81,0.3,80,62,2,0,0,1,0,9H/D,0
Stephen Vogt*,36,C,0.3,52,151,132,17,28,6,1,5,17,0,0,18,36,0.212,0.307,0.386,0.693,87,0.309,87,51,2,0,1,0,1,2H/3,0
Andrew Young,27,2B,-0.7,58,104,91,13,19,7,0,6,15,0,0,6,45,0.209,0.298,0.484,0.782,107,0.334,104,44,3,6,0,1,0,H4/57D,0
Wyatt Mathisen,27,UT,-0.2,23,51,42,3,5,0,0,1,8,0,0,5,21,0.119,0.255,0.19,0.445,24,0.239,37,8,0,3,0,1,0,3H/571,0
Henry Ramos#,29,OF,-0.5,18,55,50,5,10,2,0,1,8,0,0,4,12,0.2,0.255,0.3,0.555,50,0.245,41,15,1,0,0,1,0,/9H7,0
Tim Locastro,28,CF,-0.8,55,133,118,11,21,2,0,1,5,5,3,6,26,0.178,0.271,0.22,0.491,36,0.236,37,26,2,9,0,0,0,8H/97,0
Drew Ellis,25,3B,-0.7,28,83,69,10,9,2,0,1,5,0,0,10,27,0.13,0.277,0.203,0.48,34,0.231,31,14,1,4,0,0,1,5/H4,0
Humberto Castellanos,23,P,0.2,11,7,6,1,3,0,0,1,5,0,0,0,1,0.5,0.429,1.0,1.429,271,0.544,252,6,0,0,0,1,0,1,0
Ildemaro Vargas#,29,IF,-0.1,18,46,43,4,8,1,1,0,4,0,0,3,7,0.186,0.239,0.256,0.495,35,0.271,59,11,1,0,0,0,1,/54H6,0
Jake McCarthy*,23,OF,0.4,24,70,59,11,13,3,0,2,4,3,2,8,23,0.22,0.333,0.373,0.706,92,0.311,91,22,0,2,1,0,0,8/9H,0
Madison Bumgarner,31,P,0.3,25,52,39,3,4,1,0,0,3,0,0,9,29,0.103,0.28,0.128,0.408,17,0.219,19,5,0,1,2,1,0,1/H,0
Zac Gallen,25,P,0.2,22,42,32,2,6,2,0,0,3,0,0,1,18,0.188,0.212,0.25,0.462,25,0.2,-16,8,1,0,9,0,0,1,0
Seth Beer*,24,DH,0.1,5,10,9,4,4,1,0,1,3,0,0,1,3,0.444,0.5,0.889,1.389,266,0.575,275,8,0,0,0,0,0,/DH3,0
Stuart Fairchild,25,OF,0.0,12,17,15,3,2,1,0,0,2,0,0,1,3,0.133,0.235,0.2,0.435,20,0.21,17,3,1,1,0,0,0,/H879,0
Matt Peacock,27,P,0.2,33,17,16,3,4,0,0,0,2,1,0,1,4,0.25,0.294,0.25,0.544,50,0.261,43,4,1,0,0,0,0,1,0
Jake Hager,28,2B,0.1,9,22,18,1,2,0,0,0,2,0,0,4,11,0.111,0.273,0.111,0.384,10,0.208,16,2,0,0,0,0,0,/4H6,0
Bryan Holaday,33,C,-0.1,13,34,31,2,6,2,0,0,1,0,0,1,15,0.194,0.265,0.258,0.523,43,0.239,37,8,0,2,0,0,0,2/H1,0
Merrill Kelly,32,P,-0.2,27,58,47,1,3,1,0,0,1,0,0,4,27,0.064,0.137,0.085,0.222,-37,0.112,-74,4,1,0,7,0,0,1,0
Nick Heath*,27,CF,-0.4,20,39,35,3,5,1,0,0,1,0,2,4,15,0.143,0.231,0.171,0.402,12,0.177,10,6,0,0,0,0,1,8/H,0
Geraldo Perdomo#,21,SS,0.3,11,37,31,5,8,3,1,0,1,0,0,6,6,0.258,0.378,0.419,0.798,117,0.331,102,13,0,0,0,0,2,6/H,0
Luke Weaver,27,P,0.1,13,22,19,1,2,0,0,0,1,0,0,1,12,0.105,0.15,0.105,0.255,-29,0.17,-23,2,0,0,2,0,0,1,0
Domingo Leyba#,25,2B,-0.5,13,24,22,0,0,0,0,0,0,0,0,2,7,0.0,0.083,0.0,0.083,-74,0.058,-91,0,1,0,0,0,0,/4H5,0
Caleb Smith,29,P,0.1,45,25,22,2,2,1,0,0,0,1,0,1,14,0.091,0.167,0.136,0.303,-16,0.159,-32,3,0,1,1,0,0,1,0
Taylor Widener*,26,P,-0.1,20,18,16,1,1,0,0,0,0,0,0,1,11,0.063,0.118,0.063,0.18,-49,0.094,-75,1,0,0,1,0,0,1,0
Riley Smith,26,P,-0.1,24,17,16,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,-100,0.056,-105,0,0,0,1,0,0,1,0
Tyler Gilbert*,27,P,-0.1,8,11,9,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,-100,0.0,-185,0,0,0,2,0,0,/1,0
Humberto Mejía,24,P,0.0,5,8,7,1,1,1,0,0,0,0,0,0,2,0.143,0.143,0.286,0.429,12,0.178,-21,2,0,0,1,0,0,/1,0
Corbin Martin,25,P,0.0,5,4,4,0,1,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,37,0.225,28,1,0,0,0,0,0,/1,0
Alex Young*,27,P,-0.1,29,4,4,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100,0.0,-132,0,0,0,0,0,0,1,0
Seth Frankoff,32,P,0.0,4,4,3,0,0,0,0,0,0,0,0,1,2,0.0,0.25,0.0,0.25,-23,0.174,-9,0,0,0,0,0,0,/1,0
Jon Duplantier*,26,P,0.0,3,3,2,0,0,0,0,0,0,0,0,0,2,0.0,0.333,0.0,0.333,3,0.242,40,0,0,1,0,0,0,/1,0
Jake Faria,27,P,0.1,24,3,3,1,1,1,0,0,0,0,0,0,1,0.333,0.333,0.667,1.0,162,0.415,163,2,0,0,0,0,0,1,0
Taylor Clarke,28,P,0.1,43,3,3,0,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,82,0.267,57,1,0,0,0,0,0,1,0
Ryan Buchter*,34,P,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Anthony Swarzak,35,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
JB Bukauskas,24,P,0.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Miguel Aguilar*,29,P,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
Jordan Weems*,28,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
J.B. Wendelken,28,P,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Joakim Soria,37,P,0.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Brandyn Sittinger,27,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
Tyler Clippard,36,P,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Noé Ramirez,31,P,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Sean Poppen,27,P,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Stefan Crichton,29,P,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Keury Mella,27,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
Brett de Geus,23,P,0.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Joe Mantiply,30,P,0.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Yoan López,28,P,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Chris Devenski,30,P,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
Kevin Ginkel*,27,P,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Luis Frías,23,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
