Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Kiké Hernández,29.0,11,52,49,9,20,4,1,5,9,0,0,1,6,0.408,0.423,0.837,1.26,41,0,1,0,1,0,*8/4,
2.0,Xander Bogaerts,28.0,11,51,46,7,12,2,0,3,6,0,0,5,14,0.261,0.333,0.5,0.833,23,1,0,0,0,0,*6,
3.0,Rafael Devers*,24.0,11,51,44,11,13,0,0,5,12,0,0,7,8,0.295,0.392,0.636,1.029,28,0,0,0,0,0,*5,
4.0,Kyle Schwarber*,28.0,11,49,44,8,9,1,0,3,6,1,0,5,11,0.205,0.286,0.432,0.718,19,1,0,0,0,0,/*3D7,
5.0,Alex Verdugo*,25.0,11,47,42,5,13,3,0,1,6,1,1,5,3,0.31,0.383,0.452,0.835,19,1,0,0,0,0,*7/89,
6.0,Hunter Renfroe,29.0,11,43,36,4,7,2,0,0,1,1,0,7,12,0.194,0.326,0.25,0.576,9,5,0,0,0,0,*9,
7.0,Christian Arroyo,26.0,11,40,38,4,9,1,1,1,3,0,0,0,7,0.237,0.237,0.395,0.632,15,1,0,2,0,0,*4,
8.0,J.D. Martinez,33.0,9,38,32,4,11,2,0,3,10,0,0,5,10,0.344,0.447,0.688,1.135,22,0,1,0,0,0,/*D,
9.0,Christian Vázquez,30.0,11,34,32,5,9,1,0,1,6,0,0,1,7,0.281,0.303,0.406,0.709,13,0,0,1,0,0,*2/H,
10.0,Bobby Dalbec,26.0,8,12,12,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0,1,0,0,0,0,/3H4,
11.0,Kevin Plawecki,30.0,5,8,7,1,1,1,0,0,0,0,0,1,0,0.143,0.25,0.286,0.536,2,3,0,0,0,0,/2,
12.0,Travis Shaw*,31.0,5,5,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,1,0,0,0,0,0,/H3,
13.0,Danny Santana#,30.0,5,3,3,2,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/H7D,
14.0,Eduardo Rodríguez*,28.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
15.0,Nick Pivetta,28.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
16.0,Chris Sale*,32.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
17.0,Hirokazu Sawamura,33.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
18.0,Josh Taylor*,28.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
19.0,Garrett Whitlock,25.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
20.0,Hansel Robles,30.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
21.0,Garrett Richards,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
22.0,Martín Pérez*,30.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
23.0,Adam Ottavino#,35.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
24.0,Tanner Houck,25.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
25.0,Darwinzon Hernández*,24.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
26.0,Nathan Eovaldi,31.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
27.0,Austin Davis*,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
28.0,Ryan Brasier,33.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
29.0,Matt Barnes,31.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
,Team Totals,,11,433,390,60,105,17,2,22,59,3,1,37,89,0.269,0.335,0.492,0.827,192,13,2,3,1,0,,
