Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Kyle Hendricks,31,SP,0.8,14,7,.667,4.77,32,32,0,1,0,0,181.0,200,101,96,31,44,3,131,13,0,2,785,88,4.89,1.348,9.9,1.5,2.2,6.5,2.98,
2,Zach Davies,28,SP,-1.0,6,12,.333,5.78,32,32,0,0,0,0,148.0,162,99,95,25,75,2,114,5,0,0,668,73,5.45,1.601,9.9,1.5,4.6,6.9,1.52,
3,Adbert Alzolay,26,SP,1.0,5,13,.278,4.58,29,21,1,0,0,1,125.2,112,66,64,25,34,2,128,5,3,2,519,92,4.65,1.162,8.0,1.8,2.4,9.2,3.76,
4,Alec Mills,29,SP,-0.4,6,7,.462,5.07,32,20,4,0,0,1,119.0,137,75,67,16,34,2,87,7,0,4,517,83,4.49,1.437,10.4,1.2,2.6,6.6,2.56,
5,Jake Arrieta,35,SP,-2.1,5,11,.313,6.88,20,20,0,0,0,0,86.1,113,75,66,21,39,3,74,4,0,3,409,61,6.11,1.761,11.8,2.2,4.1,7.7,1.90,
6,Trevor Williams,29,SP,-0.2,4,2,.667,5.06,13,12,0,0,0,0,58.2,68,37,33,10,22,0,61,2,0,0,264,84,4.53,1.534,10.4,1.5,3.4,9.4,2.77,
7,Craig Kimbrel,33,CL,2.4,2,3,.400,0.49,39,0,35,0,0,23,36.2,13,6,2,1,13,0,64,0,1,3,137,865,1.10,0.709,3.2,0.2,3.2,15.7,4.92,AS
8,Rex Brothers*,33,RP,-0.3,3,2,.600,5.26,57,0,10,0,0,1,53.0,41,31,31,9,35,2,75,6,0,5,236,80,4.87,1.434,7.0,1.5,5.9,12.7,2.14,
9,Ryan Tepera,33,RP,1.1,0,2,.000,2.91,43,0,3,0,0,1,43.1,22,14,14,3,12,0,50,3,0,1,165,146,2.80,0.785,4.6,0.6,2.5,10.4,4.17,
10,Dan Winkler,31,RP,-0.2,1,3,.250,5.22,47,0,11,0,0,0,39.2,32,24,23,5,30,1,40,9,0,3,190,81,5.74,1.563,7.3,1.1,6.8,9.1,1.33,
11,Andrew Chafin*,31,RP,1.5,0,2,.000,2.06,43,0,1,0,0,0,39.1,21,9,9,1,12,1,37,2,0,2,150,206,2.69,0.839,4.8,0.2,2.7,8.5,3.08,
12,Justin Steele*,25,,0.6,4,4,.500,4.26,20,9,2,0,0,0,57.0,50,29,27,12,27,2,59,5,0,0,248,99,5.52,1.351,7.9,1.9,4.3,9.3,2.19,
13,Keegan Thompson,26,,0.8,3,3,.500,3.38,32,6,5,0,0,1,53.1,48,22,20,9,31,1,55,2,0,4,243,125,5.16,1.481,8.1,1.5,5.2,9.3,1.77,
