Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Tim Anderson,28.0,4,19,19,4,7,0,0,0,1,0,0,0,5,0.368,0.368,0.368,0.737,7,0,0,0,0,0,/*6,
2.0,Luis Robert Jr.,23.0,4,18,15,4,7,0,0,0,1,0,1,2,2,0.467,0.556,0.467,1.022,7,0,1,0,0,0,*/8,
3.0,José Abreu,34.0,4,18,14,1,5,0,0,0,3,0,0,2,3,0.357,0.5,0.357,0.857,5,1,2,0,0,0,/*3D,
4.0,Yasmani Grandal#,32.0,4,18,14,1,2,0,0,1,4,0,0,2,3,0.143,0.278,0.357,0.635,5,2,1,0,1,0,/*2,
5.0,Eloy Jiménez,24.0,4,17,17,0,5,0,0,0,3,0,0,0,5,0.294,0.294,0.294,0.588,5,1,0,0,0,0,*/7,
6.0,Yoán Moncada#,26.0,4,17,16,2,4,0,0,0,0,0,0,1,3,0.25,0.294,0.25,0.544,4,1,0,0,0,0,/*5,
7.0,Leury García#,30.0,4,16,15,3,3,1,0,1,4,0,0,1,7,0.2,0.25,0.467,0.717,7,0,0,0,0,0,*/947,
8.0,Gavin Sheets*,25.0,3,12,12,2,4,1,0,1,1,0,0,0,5,0.333,0.333,0.667,1.0,8,0,0,0,0,0,/D3,
9.0,César Hernández#,31.0,3,11,7,0,2,0,0,0,0,0,0,4,3,0.286,0.545,0.286,0.831,2,0,0,0,0,0,/*4H,
10.0,Adam Engel,29.0,4,7,7,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,*/98,
11.0,Andrew Vaughn,23.0,2,5,5,1,2,1,0,0,1,0,0,0,2,0.4,0.4,0.6,1.0,3,0,0,0,0,0,/DH,
12.0,Reynaldo López,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
13.0,Ryan Tepera,33.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
14.0,José Ruiz,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
15.0,Carlos Rodón*,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
16.0,Aaron Bummer*,27.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
17.0,Dylan Cease,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
18.0,Lance Lynn#,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
19.0,Michael Kopech,25.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
20.0,Craig Kimbrel,33.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
21.0,Garrett Crochet*,22.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
22.0,Liam Hendriks,32.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
23.0,Lucas Giolito,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
,Team Totals,,4,158,141,18,41,3,0,3,18,0,1,12,39,0.291,0.361,0.376,0.737,53,5,4,0,1,0,,
