Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Casey Mize,24,SP,3.3,7,9,.438,3.71,30,30,0,1,0,0,150.1,130,64,62,24,41,0,118,11,0,7,612,114,4.71,1.137,7.8,1.4,2.5,7.1,2.88,
2,Tarik Skubal*,24,SP,1.7,8,12,.400,4.34,31,29,1,0,0,0,149.1,141,76,72,35,47,0,164,6,0,4,634,98,5.09,1.259,8.5,2.1,2.8,9.9,3.49,
3,José Ureña,29,SP,-0.5,4,8,.333,5.81,26,18,1,0,0,0,100.2,119,70,65,14,42,0,67,4,0,4,456,73,5.02,1.599,10.6,1.3,3.8,6.0,1.60,
4,Wily Peralta,32,SP,2.0,4,5,.444,3.07,19,18,0,0,0,0,93.2,87,41,32,12,38,0,58,4,0,1,402,138,4.94,1.335,8.4,1.2,3.7,5.6,1.53,
5,Matt Manning,23,SP,-0.4,4,7,.364,5.80,18,18,0,0,0,0,85.1,96,59,55,10,33,0,57,3,0,1,385,73,4.62,1.512,10.1,1.1,3.5,6.0,1.73,
6,Matthew Boyd*,30,SP,1.4,3,8,.273,3.89,15,15,0,0,0,0,78.2,77,37,34,9,23,0,67,7,0,4,337,109,4.10,1.271,8.8,1.0,2.6,7.7,2.91,
7,Gregory Soto*,26,CL,1.4,6,3,.667,3.39,62,0,38,0,0,18,63.2,46,30,24,7,40,2,76,1,1,11,276,126,4.14,1.351,6.5,1.0,5.7,10.7,1.90,AS
8,Michael Fulmer,28,RP,1.9,5,6,.455,2.97,52,4,21,0,0,14,69.2,69,27,23,7,20,2,73,5,0,2,297,143,3.46,1.278,8.9,0.9,2.6,9.4,3.65,
9,Kyle Funkhouser,27,RP,1.0,7,4,.636,3.42,57,2,7,0,0,1,68.1,58,32,26,6,38,0,63,3,1,9,298,124,4.27,1.405,7.6,0.8,5.0,8.3,1.66,
10,José Cisnero,32,RP,0.4,4,4,.500,3.65,67,0,11,0,0,4,61.2,51,34,25,6,31,1,62,4,0,4,265,117,4.13,1.330,7.4,0.9,4.5,9.0,2.00,
11,Joe Jiménez,26,RP,-0.5,6,1,.857,5.96,52,0,12,0,0,1,45.1,34,33,30,6,35,1,57,8,0,6,210,72,5.22,1.522,6.8,1.2,6.9,11.3,1.63,
12,Tyler Alexander*,26,,2.0,2,4,.333,3.81,41,15,7,0,0,0,106.1,106,47,45,16,28,0,87,4,0,2,451,112,4.39,1.260,9.0,1.4,2.4,7.4,3.11,
13,Spencer Turnbull,28,,1.3,4,2,.667,2.88,9,9,0,1,1,0,50.0,37,18,16,2,12,0,44,5,0,0,201,148,2.95,0.980,6.7,0.4,2.2,7.9,3.67,
14,Derek Holland*,34,,0.1,3,2,.600,5.07,39,1,12,0,0,0,49.2,58,29,28,6,20,1,51,1,0,2,225,84,3.96,1.570,10.5,1.1,3.6,9.2,2.55,
15,Bryan Garcia,26,,-1.2,3,2,.600,7.55,39,0,10,0,0,2,39.1,48,38,33,10,25,1,32,2,0,7,192,57,6.91,1.856,11.0,2.3,5.7,7.3,1.28,
16,Daniel Norris*,28,,-0.3,1,3,.250,5.89,38,0,10,0,0,1,36.2,38,25,24,4,15,1,40,2,0,3,157,73,3.80,1.445,9.3,1.0,3.7,9.8,2.67,
17,Alex Lange,25,,0.3,1,3,.250,4.04,36,0,6,0,0,1,35.2,37,18,16,5,16,0,39,3,0,6,162,106,4.40,1.486,9.3,1.3,4.0,9.8,2.44,
18,Buck Farmer,30,,-0.3,0,0,,6.37,36,0,8,0,0,0,35.1,40,25,25,9,21,1,37,5,0,2,171,67,6.59,1.726,10.2,2.3,5.3,9.4,1.76,
19,Erasmo Ramírez,31,,-0.1,1,1,.500,5.74,17,0,3,0,0,0,26.2,24,17,17,4,5,0,20,1,0,0,109,75,4.30,1.088,8.1,1.4,1.7,6.8,4.00,
20,Drew Hutchison,30,,0.2,3,1,.750,2.11,9,2,0,0,0,0,21.1,20,11,5,1,11,0,10,0,0,1,91,204,4.39,1.453,8.4,0.4,4.6,4.2,0.91,
21,Ian Krol*,30,,0.1,0,0,,4.34,18,0,7,0,0,0,18.2,23,10,9,2,8,0,18,0,1,1,86,100,3.92,1.661,11.1,1.0,3.9,8.7,2.25,
22,Jason Foley,25,,0.3,0,0,,2.61,11,0,1,0,0,0,10.1,8,3,3,1,5,0,6,3,0,3,45,168,5.59,1.258,7.0,0.9,4.4,5.2,1.20,
23,Miguel Del Pozo*,28,,0.1,0,0,,3.38,5,0,1,0,0,0,5.1,8,2,2,0,2,0,4,0,0,0,25,134,2.80,1.875,13.5,0.0,3.4,6.8,2.00,
24,Julio Teheran,30,,0.2,1,0,1.000,1.80,1,1,0,0,0,0,5.0,4,1,1,1,3,0,3,0,0,0,20,253,6.37,1.400,7.2,1.8,5.4,5.4,1.00,
25,Drew Carlton,25,,0.0,0,0,,4.91,4,0,1,0,0,0,3.2,6,2,2,1,4,0,1,0,0,0,19,95,9.44,2.727,14.7,2.5,9.8,2.5,0.25,
26,Rony García,23,,0.1,0,0,,2.45,2,0,0,0,0,0,3.2,1,1,1,1,2,0,2,0,0,0,12,190,7.26,0.818,2.5,2.5,4.9,4.9,1.00,
27,Harold Castro,27,,0.1,0,0,,0.00,3,0,3,0,0,0,2.2,0,0,0,0,3,0,0,0,0,0,11,,6.55,1.125,0.0,0.0,10.1,0.0,0.00,
28,Beau Burrows,24,,-0.1,0,0,,21.60,1,0,0,0,0,0,1.2,2,4,4,0,2,0,3,0,0,0,9,24,3.17,2.400,10.8,0.0,10.8,16.2,1.50,
29,Jake Rogers,26,,-0.1,0,0,,18.00,1,0,0,0,0,0,1.0,2,2,2,0,1,0,0,0,0,0,6,32,6.17,3.000,18.0,0.0,9.0,0.0,0.00,
