Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Omar Narváez*,29,C,1.5,123,445,391,54,104,20,0,11,49,0,0,41,84,.266,.342,.402,.743,101,.326,99,157,13,7,0,6,3,*2H/4D,AS
2,Daniel Vogelbach*,28,1B,-0.1,93,258,215,30,47,8,0,9,24,0,0,43,57,.219,.349,.381,.730,99,.334,104,82,6,0,0,0,1,3H/D,
3,Kolten Wong*,30,2B,3.4,116,492,445,70,121,32,2,14,50,12,5,31,83,.272,.335,.447,.783,110,.346,113,199,2,13,0,3,1,*4/H,
4,Willy Adames,25,SS,3.6,99,413,365,61,104,26,0,20,58,4,2,47,105,.285,.366,.521,.886,137,.384,140,190,8,0,0,1,1,6/DH,MVP-16
5,Luis Urías,24,3B,3.3,150,570,490,77,122,25,1,23,75,5,1,63,116,.249,.345,.445,.789,112,.348,114,218,9,10,1,3,3,564H,
6,Christian Yelich*,29,LF,1.3,117,475,399,70,99,19,2,9,51,9,3,70,113,.248,.362,.373,.736,101,.332,102,149,5,3,0,3,5,7H/D9,
7,Jackie Bradley Jr.*,31,CF,-0.6,134,428,387,39,63,14,3,6,29,7,1,28,132,.163,.236,.261,.497,35,.236,33,101,8,10,0,3,0,*8H97,
8,Avisaíl García,30,RF,3.0,135,515,461,68,121,18,0,29,86,8,4,38,121,.262,.330,.490,.820,119,.357,121,226,12,11,0,5,5,*9H/8,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
9,Jace Peterson*,31,2B,0.7,94,302,259,36,64,11,1,6,31,10,1,38,68,.247,.348,.367,.714,95,.328,96,95,1,3,0,2,0,43H957/16,
10,Lorenzo Cain,35,CF,2.3,78,286,257,40,66,13,0,8,36,13,2,26,48,.257,.329,.401,.729,97,.342,105,103,5,2,0,1,0,8/H,
11,Tyrone Taylor,27,OF,1.7,93,271,243,33,60,9,3,12,43,6,1,20,59,.247,.321,.457,.778,108,.345,110,111,6,7,0,1,1,79H8,
12,Manny Piña,34,C,1.4,75,208,180,27,34,6,0,13,33,0,0,22,38,.189,.293,.439,.732,95,.317,92,79,4,5,0,1,0,2H,
