Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Jorge Polanco#,27,2B,4.9,152,644,588,97,158,35,2,33,98,11,6,45,118,0.269,0.323,0.503,0.826,125,0.352,125,296,4,5,0,6,0,*46/DH,0
Miguel Sanó,28,1B,1.0,135,532,470,68,105,24,0,30,75,2,1,59,183,0.223,0.312,0.466,0.778,112,0.339,115,219,13,2,0,1,2,*3D/5H,0
Josh Donaldson,35,3B,3.2,135,543,457,73,113,26,0,26,72,0,0,74,114,0.247,0.352,0.475,0.827,127,0.354,126,217,22,4,0,8,2,5D/H,0
Max Kepler*,28,RF,2.1,121,490,426,61,90,21,4,19,54,10,0,54,96,0.211,0.306,0.413,0.719,98,0.317,96,176,2,6,0,4,3,*98/HD,0
Nelson Cruz,40,DH,2.1,85,346,296,44,87,13,1,19,50,3,0,35,63,0.294,0.37,0.537,0.907,148,0.379,143,159,10,5,0,7,6,D/H,AS
Luis Arráez*,24,UT,3.4,121,479,428,58,126,17,6,2,42,2,2,43,48,0.294,0.357,0.376,0.733,105,0.327,107,161,9,2,0,6,2,547H/D,0
Ryan Jeffers,24,C,0.6,85,293,267,28,53,10,1,14,35,0,1,22,108,0.199,0.27,0.401,0.67,83,0.292,83,107,6,4,0,0,0,2/H,0
Mitch Garver,30,C,2.1,68,243,207,29,53,15,0,13,34,1,1,31,71,0.256,0.358,0.517,0.875,139,0.368,137,107,4,3,0,2,0,2H/3D,0
Alex Kirilloff*,23,UT,0.6,59,231,215,23,54,11,1,8,34,1,1,14,52,0.251,0.299,0.423,0.722,98,0.315,99,91,3,1,0,1,2,397/H,0
Byron Buxton,27,CF,4.6,61,254,235,50,72,23,0,19,32,9,1,13,62,0.306,0.358,0.647,1.005,171,0.423,170,152,0,6,0,0,0,8/H,0
Andrelton Simmons,31,SS,1.5,131,451,412,37,92,12,0,3,31,1,0,32,62,0.223,0.283,0.274,0.558,57,0.253,54,113,14,3,3,1,0,*6/H,0
Trevor Larnach*,24,LF,0.6,79,301,260,29,58,12,0,7,28,1,0,31,104,0.223,0.322,0.35,0.672,88,0.304,90,91,3,8,0,2,0,79/H,0
Nick Gordon*,25,CF,0.2,73,216,200,19,48,9,1,4,23,10,1,12,55,0.24,0.292,0.355,0.647,79,0.299,81,71,7,3,0,1,0,846H7/59,0
Willians Astudillo,29,CI,-0.7,72,216,208,17,49,8,0,7,21,0,0,3,12,0.236,0.259,0.375,0.634,74,0.276,71,78,12,4,0,1,0,532/H149,0
Brent Rooker,26,LF,-0.6,58,213,189,25,38,10,0,9,16,0,0,15,70,0.201,0.291,0.397,0.688,89,0.307,93,75,1,9,0,0,0,7D/9H,0
Jake Cave*,28,OF,-0.8,76,178,164,14,31,6,1,3,13,1,1,10,62,0.189,0.249,0.293,0.541,50,0.247,51,48,0,3,1,0,0,78H9/D,0
Rob Refsnyder,30,OF,-0.1,51,157,139,21,34,7,0,2,12,1,0,17,40,0.245,0.325,0.338,0.663,86,0.297,85,47,4,0,0,1,0,87H/9D,0
Kyle Garlick,29,OF,0.1,36,107,99,17,23,8,0,5,10,1,0,6,32,0.232,0.28,0.465,0.745,102,0.316,97,46,2,1,0,1,0,97/H8D,0
Ben Rortvedt*,23,C,-0.1,39,98,89,8,15,1,0,3,7,0,0,6,29,0.169,0.229,0.281,0.51,41,0.226,34,25,2,1,2,0,0,2/HD,0
Gilberto Celestino,22,CF,-0.3,23,62,59,7,8,3,0,2,3,0,0,3,14,0.136,0.177,0.288,0.466,26,0.2,17,17,2,0,0,0,0,8/9H7D,0
JT Riddle*,29,SS,0.2,4,6,6,1,2,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,87,0.297,86,2,0,0,0,0,0,/6DH,0
Travis Blankenhorn*,24,2B,-0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/4H,0
Tzu-Wei Lin*,27,LF,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/7,0
Kenta Maeda,33,P,0.0,4,4,3,2,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,87,0.297,81,1,0,0,1,0,0,1/HD,0
Griffin Jax,26,P,0.0,2,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-122,0,0,0,0,0,0,1,0
Michael Pineda,32,P,-0.1,2,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-122,0,2,0,0,0,0,1,0
Bailey Ober,25,P,0.1,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,181,0.446,192,1,0,0,0,0,0,1,0
Joe Ryan,25,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/1,0
José Berríos,27,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,CYA-9
Charlie Barnes*,25,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/1,0
Danny Coulombe*,31,P,0.0,5,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0
Beau Burrows,24,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
Caleb Thielbar,34,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Cody Stashak,27,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Kyle Barraclough,31,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Taylor Rogers*,30,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,AS
Hansel Robles,30,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Jorge Alcalá,25,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Alex Colomé,32,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Randy Dobnak,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Juan Minaya,30,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Tyler Duffey,30,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
John Gant,28,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
