Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Sean Murphy,26,C,2.7,119,448,393,47,85,23,0,17,59,0,0,40,114,.216,.306,.405,.710,98,.314,101,159,7,12,0,3,0,*2/HD,GG
2,Matt Olson*,27,1B,5.8,156,673,565,101,153,35,0,39,111,4,1,88,113,.271,.371,.540,.911,153,.380,148,305,17,9,0,11,12,*3/D,"AS,MVP-8"
3,Jed Lowrie#,37,2B,0.1,139,512,457,55,112,28,0,14,69,0,0,49,108,.245,.318,.398,.717,101,.318,103,182,8,2,0,4,1,4DH/5,
4,Elvis Andrus,32,SS,0.6,146,541,497,60,121,25,2,3,37,12,2,31,81,.243,.294,.320,.614,73,.285,78,159,14,6,3,4,2,*6/H,
5,Matt Chapman,28,3B,3.5,151,622,529,75,111,15,3,27,72,3,2,80,202,.210,.314,.403,.716,100,.310,98,213,6,4,0,9,0,*5/6H,GG
6,Mark Canha,32,LF,2.6,141,625,519,93,120,22,4,17,61,12,2,77,128,.231,.358,.387,.746,111,.348,123,201,9,27,0,2,0,*798/D3H,
7,Ramón Laureano,26,CF,2.6,88,378,341,43,84,21,2,14,39,12,5,27,98,.246,.317,.443,.760,111,.330,111,151,4,9,0,1,0,8/9DH,
8,Seth Brown*,28,RF,1.5,111,307,281,43,60,13,1,20,48,4,1,23,89,.214,.274,.480,.754,107,.317,102,135,1,1,0,2,2,9H7/D38,
9,Mitch Moreland*,35,DH,0.0,81,252,229,28,52,11,1,10,30,0,0,18,58,.227,.286,.415,.701,94,.301,92,95,5,2,0,3,0,DH/31,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Tony Kemp*,29,UT,3.4,131,397,330,54,92,16,3,8,37,8,2,52,51,.279,.382,.418,.800,126,.359,131,138,2,6,4,5,0,47H/D6,
11,Starling Marte,32,CF,1.9,56,251,234,37,74,16,2,5,30,25,2,11,42,.316,.359,.466,.824,130,.385,137,109,4,5,0,1,0,8,
12,Chad Pinder,29,RF,0.2,75,233,214,30,52,16,1,6,27,1,0,16,62,.243,.300,.411,.712,98,.310,97,88,6,2,0,1,0,97H/645D,
13,Josh Harrison,33,2B,-0.5,48,199,185,19,47,10,0,2,22,4,3,6,25,.254,.296,.341,.637,79,.281,80,63,5,6,0,2,0,45/67H,
14,Stephen Piscotty,30,RF,-0.7,72,188,173,14,38,8,0,5,16,1,0,13,48,.220,.282,.353,.635,78,.284,78,61,2,2,0,0,0,9H/D,
15,Yan Gomes,33,C,0.4,40,140,131,19,29,4,0,5,17,0,0,6,31,.221,.264,.366,.631,75,.278,75,48,3,2,0,1,0,2/HD,
16,Aramis Garcia,28,C,-0.4,32,94,88,8,18,1,0,3,7,0,0,1,28,.205,.239,.318,.557,55,.250,55,28,4,3,2,0,0,2/DH,
17,Skye Bolt#,27,OF,-0.5,32,59,56,5,5,1,0,1,4,2,0,1,14,.089,.105,.161,.266,-26,.124,-44,9,0,0,2,0,0,8H/79D,
18,Khris Davis,33,DH,-0.1,20,53,51,3,13,4,0,1,5,0,0,2,15,.255,.283,.392,.675,88,.289,83,20,0,0,0,0,0,D/H7,
19,Vimael Machín*,27,IF,-0.3,15,37,32,1,4,0,0,0,1,0,0,3,10,.125,.200,.125,.325,-5,.159,-15,4,2,0,2,0,0,/645H,
20,Frank Schwindel,29,DH,0.0,8,20,20,2,3,1,0,1,3,0,0,0,5,.150,.150,.350,.500,35,.290,84,7,0,0,0,0,0,/DH3,ROY-6
21,Ka'ai Tom*,27,OF,-0.3,9,16,16,1,1,0,0,0,1,0,0,0,6,.063,.063,.063,.125,-64,.056,-81,1,0,0,0,0,0,/H9D17,
22,Pete Kozma,33,SS,0.2,3,12,11,0,1,0,0,0,0,0,0,1,4,.091,.167,.091,.258,-24,.207,25,1,0,0,0,0,0,/6,
23,Luis Barrera*,25,OF,0.1,6,8,8,1,2,0,0,0,0,0,0,0,2,.250,.250,.250,.500,42,.223,36,2,0,0,0,0,0,/79H8,
24,Austin Allen*,27,C,0.2,4,8,8,2,2,0,0,1,1,0,0,0,3,.250,.250,.625,.875,134,.359,132,5,0,0,0,0,0,/2HD,
25,Jacob Wilson,30,UT,-0.1,6,7,7,1,1,0,0,0,0,0,0,0,1,.143,.143,.143,.286,-19,.127,-31,1,0,0,0,0,0,/4H57,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
26,Cole Irvin*,27,P,0.1,2,7,5,0,1,0,0,0,1,0,0,0,2,.200,.200,.200,.400,14,.357,143,1,0,0,2,0,0,1,
27,Sean Manaea,29,P,0.2,2,5,4,0,2,1,0,0,0,0,0,0,1,.500,.500,.750,1.250,246,.507,271,3,0,0,1,0,0,1,
28,Frankie Montas,28,P,0.0,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-121,0,0,0,0,0,0,1,CYA-6
29,James Kaprielian,27,P,0.1,2,4,3,1,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,90,.297,86,1,0,0,1,0,0,1,
30,Chris Bassitt,32,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-121,0,0,0,0,0,0,1,"AS,CYA-10"
31,Jesús Luzardo*,23,P,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-117,0,0,0,0,0,0,1,
32,Jake Diekman,34,P,0.0,4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-117,0,0,0,0,0,0,1,
33,Yusmeiro Petit,36,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
34,Adam Kolarek*,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
35,Sergio Romo,38,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
