Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Joe Musgrove,28,SP,3.7,11,9,.550,3.18,32,31,1,2,2,0,181.1,142,68,64,22,54,3,203,18,0,3,748,122,3.70,1.081,7.0,1.1,2.7,10.1,3.76,
2,Yu Darvish,34,SP,1.4,8,11,.421,4.22,30,30,0,0,0,0,166.1,138,81,78,28,44,1,199,8,0,9,681,92,3.90,1.094,7.5,1.5,2.4,10.8,4.52,AS
3,Blake Snell*,28,SP,1.4,7,6,.538,4.20,27,27,0,0,0,0,128.2,101,61,60,16,69,1,170,3,1,7,550,92,3.82,1.321,7.1,1.1,4.8,11.9,2.46,
4,Chris Paddack,25,SP,-0.6,7,7,.500,5.07,23,22,0,0,0,0,108.1,115,67,61,15,22,1,99,1,0,2,459,77,3.78,1.265,9.6,1.2,1.8,8.2,4.50,
5,Ryan Weathers*,21,SP,-0.3,4,7,.364,5.32,30,18,1,0,0,1,94.2,101,57,56,20,30,1,72,3,1,2,401,73,5.44,1.384,9.6,1.9,2.9,6.8,2.40,
6,Mark Melancon,36,CL,2.1,4,3,.571,2.23,64,0,53,0,0,39,64.2,54,21,16,4,25,4,59,1,0,3,265,175,3.36,1.222,7.5,0.6,3.5,8.2,2.36,AS
7,Craig Stammen,37,RP,1.5,6,3,.667,3.06,67,4,4,0,0,1,88.1,79,31,30,13,13,1,83,3,0,3,355,127,3.75,1.042,8.0,1.3,1.3,8.5,6.38,
8,Emilio Pagán,30,RP,-0.3,4,3,.571,4.83,67,0,10,0,0,0,63.1,56,35,34,16,18,0,69,2,0,0,263,81,5.22,1.168,8.0,2.3,2.6,9.8,3.83,
9,Tim Hill*,31,RP,-0.1,6,6,.500,3.62,78,0,10,0,0,1,59.2,51,34,24,9,23,5,56,6,0,1,255,108,4.71,1.240,7.7,1.4,3.5,8.4,2.43,
10,Austin Adams,30,RP,0.2,3,2,.600,4.10,65,0,18,0,0,0,52.2,28,28,24,1,35,2,76,24,0,4,241,95,3.89,1.196,4.8,0.2,6.0,13.0,2.17,
11,Nabil Crismatt,26,,0.4,3,1,.750,3.76,45,0,14,0,0,0,81.1,87,40,34,10,24,2,71,8,0,3,351,103,4.20,1.365,9.6,1.1,2.7,7.9,2.96,
12,Pierce Johnson,30,,1.1,3,4,.429,3.22,63,2,7,0,0,0,58.2,47,21,21,6,27,3,77,1,0,6,244,121,3.31,1.261,7.2,0.9,4.1,11.8,2.85,
13,Dinelson Lamet,28,,0.2,2,4,.333,4.40,22,9,1,0,0,0,47.0,48,24,23,6,22,0,57,2,0,3,209,89,3.94,1.489,9.2,1.1,4.2,10.9,2.59,
14,Miguel Díaz,26,,0.3,3,1,.750,3.64,25,2,10,0,0,1,42.0,31,19,17,8,19,0,46,0,0,0,172,107,4.81,1.190,6.6,1.7,4.1,9.9,2.42,
15,Reiss Knehr,24,,0.0,1,2,.333,4.97,12,5,1,0,0,0,29.0,23,16,16,2,20,1,20,2,0,3,129,79,4.96,1.483,7.1,0.6,6.2,6.2,1.00,
16,Drew Pomeranz*,32,,0.8,1,0,1.000,1.75,27,0,2,0,0,0,25.2,19,6,5,2,10,1,30,0,0,1,102,224,3.01,1.130,6.7,0.7,3.5,10.5,3.00,
17,Nick Ramirez*,31,,-0.3,1,1,.500,5.75,13,0,5,0,0,0,20.1,23,15,13,2,7,2,14,0,0,0,91,69,4.10,1.475,10.2,0.9,3.1,6.2,2.00,
18,Daniel Hudson,34,,-0.2,1,2,.333,5.21,23,0,6,0,0,0,19.0,17,13,11,4,9,1,27,0,0,2,83,76,4.49,1.368,8.1,1.9,4.3,12.8,3.00,
19,Vince Velasquez,29,,-0.5,0,3,.000,8.53,4,4,0,0,0,0,12.2,15,13,12,6,4,0,16,0,0,0,56,47,7.75,1.500,10.7,4.3,2.8,11.4,4.00,
20,Jake Arrieta,35,,-0.7,0,3,.000,10.95,4,4,0,0,0,0,12.1,18,16,15,3,5,0,9,2,0,0,60,36,6.58,1.865,13.1,2.2,3.6,6.6,1.80,
21,Keone Kela,28,,-0.3,2,2,.500,5.06,12,0,2,0,0,0,10.2,11,8,6,3,3,0,13,0,0,2,48,79,5.23,1.313,9.3,2.5,2.5,11.0,4.33,
22,Daniel Camarena*,28,,-0.7,0,1,.000,9.64,6,0,2,0,0,0,9.1,16,12,10,2,3,1,7,0,0,0,47,42,5.42,2.036,15.4,1.9,2.9,6.8,2.33,
23,Aaron Northcraft,31,,0.2,1,0,1.000,2.25,5,0,3,0,0,0,8.0,5,2,2,1,8,0,5,0,0,0,34,180,6.55,1.625,5.6,1.1,9.0,5.6,0.63,
24,Ross Detwiler*,35,,0.3,1,0,1.000,2.57,7,0,4,0,0,0,7.0,3,2,2,2,5,1,6,1,0,1,29,159,7.74,1.143,3.9,2.6,6.4,7.7,1.20,
25,Matt Strahm*,29,,-0.2,0,1,.000,8.10,6,1,0,0,0,0,6.2,15,6,6,0,1,1,4,0,0,0,36,51,2.42,2.400,20.3,0.0,1.4,5.4,4.00,
26,Taylor Williams,29,,0.2,0,0,,1.69,5,0,0,0,0,0,5.1,3,1,1,0,3,0,6,2,0,0,23,246,3.73,1.125,5.1,0.0,5.1,10.1,2.00,
27,James Norwood,27,,0.2,0,0,,0.00,5,0,2,0,0,0,5.0,6,0,0,0,3,0,3,0,0,0,23,,3.77,1.800,10.8,0.0,5.4,5.4,1.00,
28,Adrián Morejón*,22,,0.1,0,0,,3.86,2,2,0,0,0,0,4.2,5,2,2,2,2,0,3,0,0,0,20,109,8.74,1.500,9.6,3.9,3.9,5.8,1.50,
29,Shaun Anderson,26,,0.0,0,0,,5.79,5,0,1,0,0,0,4.2,6,3,3,0,2,1,4,0,0,0,22,73,2.74,1.714,11.6,0.0,3.9,7.7,2.00,
30,Pedro Avila,24,,0.1,0,1,.000,2.25,1,1,0,0,0,0,4.0,4,2,1,1,3,0,5,0,0,0,20,189,6.17,1.750,9.0,2.3,6.8,11.3,1.67,
31,Javy Guerra,25,,0.0,0,0,,4.91,4,0,0,0,0,0,3.2,4,2,2,0,2,0,3,0,0,0,18,87,3.17,1.636,9.8,0.0,4.9,7.4,1.50,
32,Mason Thompson,23,,0.1,0,0,,3.00,4,0,1,0,0,0,3.0,4,1,1,0,1,0,2,0,0,2,13,146,2.84,1.667,12.0,0.0,3.0,6.0,2.00,
33,Dan Altavilla,28,,0.0,0,0,,6.75,2,0,1,0,0,0,1.1,1,1,1,1,0,0,2,0,0,0,5,74,9.92,0.750,6.8,6.8,0.0,13.5,,
34,Jake Cronenworth,27,,0.0,0,0,,0.00,1,0,1,0,0,0,0.2,1,0,0,0,0,0,1,0,0,0,3,,0.17,1.500,13.5,0.0,0.0,13.5,,AS
