Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Randy Arozarena,26.0,4,19,15,4,5,1,0,1,3,2,0,4,4,0.333,0.474,0.6,1.074,9,0,0,0,0,0,*/79,
2.0,Wander Franco#,20.0,4,19,19,5,7,2,0,2,4,0,0,0,3,0.368,0.368,0.789,1.158,15,0,0,0,0,0,/*6,
3.0,Nelson Cruz,40.0,4,18,17,2,3,0,0,1,1,0,0,1,5,0.176,0.222,0.353,0.575,6,0,0,0,0,0,/*D,
4.0,Brandon Lowe*,26.0,4,18,18,0,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/*4,
5.0,Yandy Díaz,29.0,4,16,15,1,3,0,0,0,2,0,0,1,2,0.2,0.25,0.2,0.45,3,0,0,0,0,0,/*53H,
6.0,Kevin Kiermaier*,31.0,4,16,14,2,3,3,0,0,1,0,0,2,4,0.214,0.313,0.429,0.741,6,1,0,0,0,1,*/8,
7.0,Mike Zunino,30.0,4,15,15,1,2,1,0,0,0,0,0,0,6,0.133,0.133,0.2,0.333,3,0,0,0,0,0,/*2,
8.0,Austin Meadows*,26.0,3,9,9,1,2,1,0,1,3,0,0,0,2,0.222,0.222,0.667,0.889,6,0,0,0,0,0,/7H,
9.0,Jordan Luplow,27.0,4,8,7,2,2,1,0,1,4,0,0,1,4,0.286,0.375,0.857,1.232,6,0,0,0,0,0,/*3H,
10.0,Manuel Margot,26.0,3,8,7,1,1,0,0,0,0,0,1,1,3,0.143,0.25,0.143,0.393,1,0,0,0,0,0,*/9H,
11.0,Jiman Choi*,30.0,3,7,7,1,2,0,0,1,1,0,0,0,2,0.286,0.286,0.714,1.0,5,0,0,0,0,0,/*3H,
12.0,Joey Wendle*,31.0,2,4,4,0,1,1,0,0,0,0,0,0,2,0.25,0.25,0.5,0.75,2,0,0,0,0,0,/5,
13.0,Francisco Mejia#,25.0,1,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,/H,
14.0,Josh Fleming*,25.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
15.0,Andrew Kittredge,31.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
16.0,J.P. Feyereisen,28.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
17.0,Pete Fairbanks,27.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
18.0,Shane McClanahan*,24.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
19.0,Collin McHugh,34.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
20.0,JT Chargois#,30.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
21.0,Luis Patiño,21.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
22.0,Drew Rasmussen,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
23.0,David Robertson,36.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
24.0,Michael Wacha,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
25.0,Matt Wisler,28.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
26.0,Shane Baz,22.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
,Team Totals,,4,158,147,20,31,10,0,7,19,2,1,11,46,0.211,0.266,0.422,0.688,62,1,0,0,0,1,,
