Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Merrill Kelly,33,SP,3.8,13,8,.619,3.37,33,33,0,0,0,0,200.1,167,77,75,21,61,2,177,2,1,4,804,119,3.65,1.138,7.5,0.9,2.7,8.0,2.90,
2,Zac Gallen,26,SP,5.3,12,4,.750,2.54,31,31,0,0,0,0,184.0,121,56,52,15,47,0,192,12,0,5,714,158,3.05,0.913,5.9,0.7,2.3,9.4,4.09,CYA-5
3,Madison Bumgarner*,32,SP,-0.7,7,15,.318,4.88,30,30,0,0,0,0,158.2,179,97,86,25,49,0,112,9,0,2,698,82,4.85,1.437,10.2,1.4,2.8,6.4,2.29,
4,Zach Davies,29,SP,0.9,2,5,.286,4.09,27,27,0,0,0,0,134.1,122,66,61,21,52,0,102,2,0,1,570,98,4.83,1.295,8.2,1.4,3.5,6.8,1.96,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
5,Mark Melancon,37,CL,-0.8,3,10,.231,4.66,62,0,48,0,0,18,56.0,63,37,29,5,21,2,35,1,0,6,247,87,4.20,1.500,10.1,0.8,3.4,5.6,1.67,
6,Caleb Smith*,30,RP,0.1,1,3,.250,4.11,44,1,14,0,0,0,70.0,57,35,32,14,39,1,65,1,0,1,302,98,5.57,1.371,7.3,1.8,5.0,8.4,1.67,
7,Joe Mantiply*,31,RP,0.9,2,5,.286,2.85,69,0,9,0,0,2,60.0,59,22,19,6,6,0,61,3,1,3,243,142,2.83,1.083,8.9,0.9,0.9,9.2,10.17,AS
8,Ian Kennedy,37,RP,-1.1,4,7,.364,5.36,57,0,21,0,0,10,50.1,57,33,30,11,22,3,44,1,0,3,232,75,5.58,1.570,10.2,2.0,3.9,7.9,2.00,
9,Noé Ramirez,32,RP,-0.8,5,4,.556,5.22,55,0,3,0,0,0,50.0,45,32,29,9,26,2,51,3,0,2,215,77,5.15,1.420,8.1,1.6,4.7,9.2,1.96,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
10,Tommy Henry*,24,,-0.1,3,4,.429,5.36,9,9,0,0,0,0,47.0,47,28,28,10,21,1,36,3,0,3,205,75,5.88,1.447,9.0,1.9,4.0,6.9,1.71,
11,Humberto Castellanos,24,,-0.4,3,2,.600,5.68,11,9,1,0,0,0,44.1,50,29,28,7,12,0,32,4,0,2,194,71,4.80,1.398,10.2,1.4,2.4,6.5,2.67,
12,Kyle Nelson*,25,,1.0,2,1,.667,2.19,43,1,4,0,0,0,37.0,26,10,9,1,14,0,30,3,0,1,151,185,3.22,1.081,6.3,0.2,3.4,7.3,2.14,
13,Tyler Gilbert*,28,,-0.2,0,3,.000,5.24,8,7,1,0,0,0,34.1,33,21,20,8,10,1,20,1,0,0,146,77,5.94,1.252,8.7,2.1,2.6,5.2,2.00,
14,Kevin Ginkel,28,,0.1,1,1,.500,3.38,30,0,3,0,0,1,29.1,27,14,11,1,11,0,30,1,0,1,124,120,2.74,1.295,8.3,0.3,3.4,9.2,2.73,
15,J.B. Wendelken,29,,-0.3,2,1,.667,5.28,29,0,6,0,0,0,29.0,25,18,17,4,14,0,21,1,0,1,122,77,5.01,1.345,7.8,1.2,4.3,6.5,1.50,
