Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Jordan Lyles,31,SP,0.7,12,11,.522,4.42,32,32,0,1,0,0,179.0,196,94,88,26,52,0,144,8,0,5,774,88,4.40,1.385,9.9,1.3,2.6,7.2,2.77,
2,Dean Kremer,26,SP,2.7,8,7,.533,3.23,22,21,0,1,1,0,125.1,123,48,45,11,34,0,87,5,0,5,512,121,3.80,1.253,8.8,0.8,2.4,6.2,2.56,
3,Kyle Bradish,25,SP,0.2,4,7,.364,4.90,23,23,0,0,0,0,117.2,119,68,64,17,46,0,111,7,0,7,509,80,4.45,1.402,9.1,1.3,3.5,8.5,2.41,
4,Spenser Watkins,29,SP,0.0,5,6,.455,4.70,23,20,1,0,0,0,105.1,119,59,55,11,30,0,63,4,1,3,459,83,4.24,1.415,10.2,0.9,2.6,5.4,2.10,
5,Tyler Wells,27,SP,1.0,7,7,.500,4.25,23,23,0,0,0,0,103.2,90,49,49,16,28,0,76,2,0,0,423,92,4.52,1.138,7.8,1.4,2.4,6.6,2.71,
6,Austin Voth,30,SP,1.7,5,4,.556,3.04,22,17,0,0,0,0,83.0,77,30,28,10,25,0,72,3,0,3,348,129,3.96,1.229,8.3,1.1,2.7,7.8,2.88,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
7,Jorge López,29,CL,1.7,4,6,.400,1.68,44,0,35,0,0,19,48.1,30,15,9,3,17,1,54,4,2,2,196,234,2.99,0.972,5.6,0.6,3.2,10.1,3.18,AS
8,Dillon Tate,28,RP,1.2,4,4,.500,3.05,67,0,13,0,0,5,73.2,57,29,25,6,16,2,60,7,0,3,292,128,3.48,0.991,7.0,0.7,2.0,7.3,3.75,
9,Bryan Baker,27,RP,1.0,4,3,.571,3.49,66,2,11,0,0,1,69.2,60,29,27,3,26,1,76,3,0,2,291,112,2.74,1.234,7.8,0.4,3.4,9.8,2.92,
10,Félix Bautista,27,RP,2.4,4,4,.500,2.19,65,0,30,0,0,15,65.2,38,18,16,7,23,1,88,1,0,2,253,178,2.91,0.929,5.2,1.0,3.2,12.1,3.83,
11,Cionel Pérez*,26,RP,2.6,7,1,.875,1.40,66,0,8,0,0,1,57.2,46,11,9,2,21,1,55,1,0,4,234,278,2.80,1.162,7.2,0.3,3.3,8.6,2.62,
