Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Christian Vázquez,31,C,2.2,84,318,294,33,83,20,0,8,42,1,2,18,51,.282,.327,.432,.759,109,.331,108,127,7,3,0,3,0,2/3H4,
2,Bobby Dalbec,27,1B,-0.7,117,353,317,40,68,9,2,12,39,3,0,29,118,.215,.283,.369,.652,80,.302,83,117,5,3,0,4,0,35H/D46,
3,Trevor Story,29,2B,2.5,94,396,357,53,85,22,0,16,66,13,0,32,122,.238,.303,.434,.737,102,.334,102,155,9,3,0,4,4,4/H,
4,Xander Bogaerts,29,SS,5.9,150,631,557,84,171,38,0,15,73,8,2,57,118,.307,.377,.456,.833,131,.367,131,254,14,10,0,7,2,*6/DH,"AS,MVP-9,SS"
5,Rafael Devers*,25,3B,4.5,141,614,555,84,164,42,1,27,88,3,1,50,114,.295,.358,.521,.879,141,.381,143,289,14,6,0,3,11,*5/DH,"AS,MVP-14"
6,Alex Verdugo*,26,LF,1.1,152,644,593,75,166,39,1,11,74,1,3,42,86,.280,.328,.405,.732,102,.323,101,240,14,3,0,6,2,*79/DH,
7,Kiké Hernández,30,CF,0.9,93,402,361,48,80,24,0,6,45,0,2,34,71,.222,.291,.338,.629,75,.284,73,122,11,3,0,4,0,846/H,
8,Jackie Bradley Jr.*,32,RF,-0.4,91,290,271,21,57,19,1,3,29,2,3,17,58,.210,.257,.321,.578,60,.257,54,87,3,0,2,0,0,98/H1,
9,J.D. Martinez,34,DH,1.1,139,596,533,76,146,43,1,16,62,0,0,52,145,.274,.341,.448,.790,117,.346,117,239,20,5,0,5,1,*D,AS
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Christian Arroyo,27,2B,0.7,87,300,280,32,80,16,1,6,36,5,1,13,49,.286,.322,.414,.736,103,.324,99,116,7,3,2,2,2,4965/3DH,
11,Franchy Cordero*,27,1B,-0.2,84,275,242,36,53,17,1,8,29,4,1,28,92,.219,.300,.397,.697,92,.309,89,96,1,1,2,2,1,397H/D8,
12,Tommy Pham,34,LF,-0.3,53,235,214,32,50,12,0,6,24,1,1,14,67,.234,.298,.374,.672,86,.301,85,80,7,6,0,1,0,7/D,
13,Jarren Duran*,25,CF,-0.1,58,223,204,23,45,14,3,3,17,7,1,14,63,.221,.283,.363,.645,78,.299,79,74,1,4,0,1,0,8/9HD,
14,Rob Refsnyder,31,OF,0.9,57,177,153,25,47,11,0,6,21,1,1,15,46,.307,.384,.497,.881,143,.385,146,76,1,6,0,3,0,9H8/D7,
15,Kevin Plawecki,31,C,-1.1,60,175,157,15,34,8,0,1,12,0,0,14,28,.217,.287,.287,.574,61,.260,54,45,5,2,1,1,0,2/H1,
16,Reese McGuire*,27,C,0.9,36,108,98,13,33,5,1,3,12,1,0,6,23,.337,.377,.500,.877,142,.382,142,49,4,1,1,1,0,2/H1,
17,Triston Casas*,22,1B,0.1,27,95,76,11,15,1,0,5,12,1,0,19,23,.197,.358,.408,.766,113,.354,120,31,4,0,0,0,0,3/H,
18,Connor Wong,26,C,-0.1,27,56,48,8,9,3,0,1,7,0,0,5,16,.188,.273,.313,.585,63,.256,51,15,0,1,1,1,0,2/H45D,
19,Eric Hosmer*,32,1B,0.0,14,50,45,6,11,3,0,0,4,0,0,4,9,.244,.320,.311,.631,77,.341,113,14,2,1,0,0,0,3,
20,Yolmer Sánchez#,30,2B,-0.5,14,44,37,1,4,0,0,0,2,0,2,5,13,.108,.214,.108,.322,-6,.139,-22,4,0,0,2,0,0,4/1,
21,Jeter Downs,23,IF,-0.6,14,41,39,4,6,1,0,1,4,0,0,1,21,.154,.171,.256,.427,17,.183,-1,10,0,0,0,1,0,/45H6D,
22,Abraham Almonte#,33,OF,0.0,15,37,35,7,9,2,0,1,2,1,0,1,12,.257,.297,.400,.697,92,.333,103,14,1,1,0,0,0,/H87D9,
23,Jaylin Davis,27,OF,0.2,12,27,24,4,8,1,0,0,2,0,0,3,11,.333,.407,.375,.782,120,.356,124,9,0,0,0,0,0,/H897,
24,Yu Chang,26,IF,0.0,11,26,20,3,3,2,0,0,1,0,0,5,7,.150,.346,.250,.596,70,.291,77,5,1,1,0,0,0,/643,
25,Travis Shaw*,32,DH,-0.7,7,19,19,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,.000,-134,0,0,0,0,0,0,/3DH,
26,Jonathan Araúz#,23,MI,-0.4,6,12,10,1,0,0,0,0,1,0,0,0,3,.000,.000,.000,.000,-100,.000,-155,0,0,0,1,1,0,/46H,
,Team Totals,,,15.8,162,6144,5539,735,1427,352,12,155,704,52,20,478,1373,.258,.321,.409,.731,102,.325,101,2268,131,63,12,50,23,,
