Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Amed Rosario,26.0,7,32,29,3,7,0,0,1,2,1,0,1,10,0.241,0.313,0.345,0.657,10,1,2,0,0,0,/*6,
2.0,José Ramírez#,29.0,7,32,30,2,10,2,0,1,4,0,0,1,7,0.333,0.344,0.5,0.844,15,0,0,0,1,0,/*5,
3.0,Oscar González,24.0,7,32,31,2,7,0,0,1,4,0,0,0,9,0.226,0.25,0.323,0.573,10,0,1,0,0,0,*/9,
4.0,Steven Kwan*,24.0,7,32,30,4,9,1,0,1,2,1,0,2,2,0.3,0.344,0.433,0.777,13,0,0,0,0,0,*/7,
5.0,Josh Naylor*,25.0,7,31,31,2,6,1,0,1,3,0,0,0,6,0.194,0.194,0.323,0.516,10,2,0,0,0,0,/3D,
6.0,Andrés Giménez*,23.0,7,29,28,1,5,1,0,0,1,1,0,1,14,0.179,0.207,0.214,0.421,6,0,0,0,0,0,/*4,
7.0,Myles Straw,27.0,7,27,25,1,4,1,0,0,0,1,0,2,3,0.16,0.222,0.2,0.422,5,0,0,0,0,0,*/8,
8.0,Austin Hedges,29.0,7,18,15,1,2,0,0,0,0,0,0,3,5,0.133,0.278,0.133,0.411,2,0,0,0,0,0,/*2,
9.0,Will Brennan*,24.0,5,11,11,0,2,0,0,0,1,0,0,0,6,0.182,0.182,0.182,0.364,2,1,0,0,0,0,/HD,
10.0,Owen Miller,25.0,5,11,9,0,1,0,0,0,0,0,0,1,4,0.111,0.273,0.111,0.384,1,1,1,0,0,0,/DH,
11.0,Gabriel Arias,22.0,3,11,11,1,3,1,0,0,0,0,0,0,5,0.273,0.273,0.364,0.636,4,1,0,0,0,0,/3,
12.0,Luke Maile,31.0,5,4,3,0,1,0,0,0,0,0,0,1,0,0.333,0.5,0.333,0.833,1,0,0,0,0,0,/*2,
13.0,Will Benson*,24.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/H,
14.0,James Karinchak,26.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
15.0,Sam Hentges*,25.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
16.0,Triston McKenzie,24.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
17.0,Enyel De Los Santos,26.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
18.0,Eli Morgan,26.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
19.0,Cody Morris,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
20.0,Emmanuel Clase,24.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
21.0,Zach Plesac,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
22.0,Cal Quantrill*,27.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
23.0,Aaron Civale,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
24.0,Shane Bieber,27.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
25.0,Nick Sandlin,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
26.0,Trevor Stephan,26.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
,Team Totals,,7,271,254,17,57,7,0,5,17,4,0,12,71,0.224,0.269,0.311,0.58,79,6,4,0,1,0,,
