Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Germán Márquez,27,SP,1.3,9,13,.409,4.95,31,31,0,0,0,0,181.2,185,109,100,30,63,0,150,4,2,8,779,93,4.71,1.365,9.2,1.5,3.1,7.4,2.38,
2,Kyle Freeland*,29,SP,2.3,9,11,.450,4.53,31,31,0,0,0,0,174.2,193,96,88,19,53,0,131,16,0,4,766,102,4.21,1.408,9.9,1.0,2.7,6.8,2.47,
3,Chad Kuhl,29,SP,-0.1,6,11,.353,5.72,27,27,0,1,1,0,137.0,155,91,87,25,58,1,110,5,0,5,617,81,5.26,1.555,10.2,1.6,3.8,7.2,1.90,
4,Austin Gomber*,28,SP,0.1,5,7,.417,5.56,33,17,2,0,0,0,124.2,137,80,77,20,34,1,95,2,0,4,529,83,4.54,1.372,9.9,1.4,2.5,6.9,2.79,
5,Ryan Feltner,25,SP,-0.1,4,9,.308,5.83,20,19,0,0,0,0,97.1,102,65,63,16,35,0,84,5,0,4,428,80,4.76,1.408,9.4,1.5,3.2,7.8,2.40,
6,Antonio Senzatela,27,SP,0.4,3,7,.300,5.07,19,19,0,0,0,0,92.1,133,56,52,9,23,0,54,3,0,1,413,91,4.05,1.690,13.0,0.9,2.2,5.3,2.35,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
7,Daniel Bard,37,CL,3.7,6,4,.600,1.79,57,0,48,0,0,34,60.1,35,15,12,3,25,1,69,3,0,3,245,260,2.86,0.994,5.2,0.4,3.7,10.3,2.76,MVP-16
8,Carlos Estévez,29,RP,1.1,4,4,.500,3.47,62,0,20,0,0,2,57.0,44,27,22,7,23,1,54,1,0,6,235,134,4.08,1.175,6.9,1.1,3.6,8.5,2.35,
9,Alex Colomé,33,RP,-0.9,2,7,.222,5.74,53,0,13,0,0,4,47.0,57,36,30,5,22,2,32,0,1,4,215,81,4.54,1.681,10.9,1.0,4.2,6.1,1.45,
10,Robert Stephenson,29,RP,-0.5,2,1,.667,6.04,45,0,9,0,0,0,44.2,53,34,30,8,13,1,37,0,0,3,197,77,4.66,1.478,10.7,1.6,2.6,7.5,2.85,
11,Lucas Gilbreath*,26,RP,0.5,2,0,1.000,4.19,47,0,9,0,0,0,43.0,37,22,20,2,26,0,49,4,0,2,187,111,3.53,1.465,7.7,0.4,5.4,10.3,1.88,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
12,José Ureña,30,,0.3,3,8,.273,5.14,17,17,0,0,0,0,89.1,102,57,51,10,38,0,60,1,0,1,396,90,4.53,1.567,10.3,1.0,3.8,6.0,1.58,
13,Jake Bird,26,,0.3,2,4,.333,4.91,38,0,11,0,0,0,47.2,45,29,26,7,23,3,42,4,0,4,211,95,4.96,1.427,8.5,1.3,4.3,7.9,1.83,
14,Jhoulys Chacín,34,,-1.5,4,2,.667,7.61,35,0,7,0,0,0,47.1,55,44,40,7,21,0,37,2,0,3,219,61,4.93,1.606,10.5,1.3,4.0,7.0,1.76,
15,Ty Blach*,31,,-0.1,1,0,1.000,5.89,24,1,10,0,0,1,44.1,51,29,29,4,11,2,29,2,0,1,193,79,3.86,1.398,10.4,0.8,2.2,5.9,2.64,
16,Justin Lawrence,27,,-0.2,3,1,.750,5.70,38,0,11,0,0,1,42.2,44,27,27,3,22,0,48,1,0,1,191,82,3.39,1.547,9.3,0.6,4.6,10.1,2.18,
17,Tyler Kinley,31,,1.1,1,1,.500,0.75,25,0,3,0,0,0,24.0,21,5,2,0,6,0,27,1,0,2,100,625,1.74,1.125,7.9,0.0,2.3,10.1,4.50,
18,Ashton Goudeau,29,,-0.5,1,0,1.000,7.08,12,0,4,0,0,1,20.1,25,18,16,3,10,0,16,0,0,3,94,66,4.93,1.721,11.1,1.3,4.4,7.1,1.60,
19,Dinelson Lamet,29,,0.4,1,1,.500,4.05,19,0,5,0,0,0,20.0,14,9,9,2,10,0,29,3,0,3,87,116,3.46,1.200,6.3,0.9,4.5,13.1,2.90,
20,Chad Smith,27,,-0.4,0,1,.000,7.50,15,0,2,0,0,0,18.0,16,15,15,2,15,0,23,2,0,3,85,63,4.83,1.722,8.0,1.0,7.5,11.5,1.53,
21,Gavin Hollowell,24,,-0.2,0,2,.000,7.71,6,0,3,0,0,0,7.0,7,7,6,1,4,0,8,0,0,0,32,63,4.40,1.571,9.0,1.3,5.1,10.3,2.00,
22,Jordan Sheffield,27,,0.1,0,0,,0.00,2,0,2,0,0,0,2.0,2,0,0,0,2,0,1,0,0,0,8,,5.11,2.000,9.0,0.0,9.0,4.5,0.50,
23,Randal Grichuk,30,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.11,0.000,0.0,0.0,0.0,0.0,,
24,Noah Davis,25,,-0.1,0,0,,18.00,1,0,0,0,0,0,1.0,3,2,2,1,1,0,2,0,0,0,7,34,15.11,4.000,27.0,9.0,9.0,18.0,2.00,
25,Brian Serven,27,,0.1,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,3,,6.11,1.000,0.0,0.0,9.0,0.0,0.00,
,Team Totals,,,7.1,68,94,.420,5.08,162,162,161,1,1,43,1425.1,1516,873,804,184,539,12,1187,59,3,65,6240,92,4.38,1.442,9.6,1.2,3.4,7.5,2.20,
