Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Joe Ryan,26,SP,2.4,13,8,.619,3.55,27,27,0,0,0,0,147.0,115,60,58,20,47,0,151,10,0,2,604,110,3.99,1.102,7.0,1.2,2.9,9.2,3.21,
2,Dylan Bundy,29,SP,-0.2,8,8,.500,4.89,29,29,0,0,0,0,140.0,151,79,76,24,28,0,94,3,0,3,595,80,4.66,1.279,9.7,1.5,1.8,6.0,3.36,
3,Sonny Gray,32,SP,2.4,8,5,.615,3.08,24,24,0,0,0,0,119.2,99,44,41,11,36,0,117,6,0,3,488,126,3.40,1.128,7.4,0.8,2.7,8.8,3.25,
4,Chris Archer,33,SP,0.1,2,8,.200,4.56,25,25,0,0,0,0,102.2,87,56,52,12,48,0,84,3,0,3,437,86,4.49,1.315,7.6,1.1,4.2,7.4,1.75,
5,Devin Smeltzer*,26,SP,0.9,5,2,.714,3.71,15,12,1,0,0,0,70.1,67,30,29,13,19,0,40,1,0,2,287,105,5.23,1.223,8.6,1.7,2.4,5.1,2.11,
6,Josh Winder,25,SP,0.0,4,6,.400,4.70,15,11,0,0,0,0,67.0,69,37,35,11,18,0,47,5,0,2,287,83,4.87,1.299,9.3,1.5,2.4,6.3,2.61,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
7,Emilio Pagán,31,CL,-0.4,4,6,.400,4.43,59,0,27,0,0,9,63.0,60,36,31,12,26,2,84,1,0,3,274,88,4.21,1.365,8.6,1.7,3.7,12.0,3.23,
8,Griffin Jax,27,RP,1.0,7,4,.636,3.36,65,0,10,0,0,1,72.1,56,29,27,7,20,3,78,3,0,2,290,116,3.17,1.051,7.0,0.9,2.5,9.7,3.90,
9,Jhoan Durán,24,RP,2.9,2,4,.333,1.86,57,0,18,0,0,8,67.2,50,15,14,6,16,3,89,4,0,6,266,210,2.52,0.975,6.7,0.8,2.1,11.8,5.56,
10,Caleb Thielbar*,35,RP,0.5,4,3,.571,3.49,67,0,10,0,0,1,59.1,51,26,23,5,18,1,80,0,2,1,245,112,2.42,1.163,7.7,0.8,2.7,12.1,4.44,
11,Tyler Duffey,31,RP,-0.3,2,4,.333,4.91,40,0,10,0,0,2,44.0,45,24,24,8,15,1,39,1,0,2,185,80,4.79,1.364,9.2,1.6,3.1,8.0,2.60,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
12,Bailey Ober,26,,1.0,2,3,.400,3.21,11,11,0,0,0,0,56.0,48,22,20,4,11,0,51,2,1,0,227,122,2.92,1.054,7.7,0.6,1.8,8.2,4.64,
13,Trevor Megill,28,,-0.6,4,3,.571,4.80,39,0,11,0,0,0,45.0,50,29,24,4,17,0,49,1,0,2,196,82,3.29,1.489,10.0,0.8,3.4,9.8,2.88,
14,Jovani Morán*,25,,0.9,0,1,.000,2.21,31,0,16,0,0,1,40.2,25,11,10,0,18,0,54,0,0,2,164,177,1.78,1.057,5.5,0.0,4.0,12.0,3.00,
15,Jharel Cotton,30,,0.6,2,2,.500,2.83,25,0,7,0,0,0,35.0,23,13,11,7,16,0,31,2,0,2,144,139,5.48,1.114,5.9,1.8,4.1,8.0,1.94,
16,Cole Sands,24,,-0.3,0,3,.000,5.87,11,3,5,0,0,1,30.2,35,21,20,4,13,0,28,5,0,1,145,67,4.74,1.565,10.3,1.2,3.8,8.2,2.15,
17,Aaron Sanchez,29,,0.0,0,1,.000,4.71,8,3,2,0,0,0,28.2,31,16,15,2,7,0,25,4,0,1,124,84,3.43,1.326,9.7,0.6,2.2,7.8,3.57,
18,Joe Smith,38,,-0.6,1,1,.500,4.61,34,0,3,0,0,0,27.1,33,18,14,7,9,1,17,1,1,0,122,85,6.29,1.537,10.9,2.3,3.0,5.6,1.89,
19,Louie Varland,24,,0.4,1,2,.333,3.81,5,5,0,0,0,0,26.0,26,11,11,4,6,1,21,1,0,1,106,104,4.30,1.231,9.0,1.4,2.1,7.3,3.50,
20,Michael Fulmer,29,,0.5,2,2,.500,3.70,26,0,4,0,0,1,24.1,30,10,10,3,8,2,22,2,0,2,107,107,4.14,1.562,11.1,1.1,3.0,8.1,2.75,
21,Jorge López,29,,0.0,0,1,.000,4.37,23,0,12,0,0,4,22.2,23,11,11,1,14,4,18,3,0,3,102,90,4.35,1.632,9.1,0.4,5.6,7.1,1.29,AS
22,Chris Paddack,26,,0.3,1,2,.333,4.03,5,5,0,0,0,0,22.1,25,10,10,0,2,0,20,1,0,1,93,98,1.72,1.209,10.1,0.0,0.8,8.1,10.00,
23,Tyler Mahle,27,,0.1,1,1,.500,4.41,4,4,0,0,0,0,16.1,13,8,8,4,4,0,12,0,0,0,63,90,5.56,1.041,7.2,2.2,2.2,6.6,3.00,
24,Cody Stashak,28,,0.1,3,0,1.000,3.86,11,0,4,0,0,0,16.1,16,7,7,1,0,0,15,0,0,0,65,103,2.07,0.980,8.8,0.6,0.0,8.3,,
25,Yennier Cano,28,,-0.5,1,0,1.000,9.22,10,0,2,0,0,0,13.2,17,14,14,3,11,0,14,1,0,2,70,43,6.55,2.049,11.2,2.0,7.2,9.2,1.27,
26,Danny Coulombe*,32,,0.3,0,0,,1.46,10,0,3,0,0,0,12.1,7,3,2,0,9,0,9,0,0,1,53,275,3.84,1.297,5.1,0.0,6.6,6.6,1.00,
27,Ronny Henriquez,22,,0.2,0,1,.000,2.31,3,0,1,0,0,0,11.2,8,4,3,1,3,0,9,2,0,0,50,173,3.97,0.943,6.2,0.8,2.3,6.9,3.00,
28,Tyler Thornburg,33,,0.1,0,1,.000,2.79,5,0,3,0,0,0,9.2,4,4,3,1,6,0,4,1,0,0,40,145,5.80,1.034,3.7,0.9,5.6,3.7,0.67,
29,Juan Minaya,31,,-0.1,1,0,1.000,5.59,6,0,2,0,0,0,9.2,8,6,6,0,5,0,11,3,0,2,45,72,3.32,1.345,7.4,0.0,4.7,10.2,2.20,
30,Dereck Rodríguez,30,,0.2,0,1,.000,3.52,2,0,1,0,0,0,7.2,7,5,3,3,4,1,4,0,0,0,34,116,8.72,1.435,8.2,3.5,4.7,4.7,1.00,
31,Chi Chi González,30,,-0.2,0,0,,7.71,2,2,0,0,0,0,7.0,12,6,6,2,0,0,4,0,0,0,31,53,5.68,1.714,15.4,2.6,0.0,5.1,,
32,Jhon Romero,27,,0.1,0,0,,3.60,4,0,3,0,0,0,5.0,9,2,2,0,1,0,6,0,0,0,24,116,1.31,2.000,16.2,0.0,1.8,10.8,6.00,
33,Simeon Woods Richardson,21,,-0.1,0,1,.000,3.60,1,1,0,0,0,0,5.0,3,3,2,1,2,0,3,0,0,1,20,116,5.71,1.000,5.4,1.8,3.6,5.4,1.50,
34,Nick Gordon,26,,-0.3,0,0,,22.09,4,0,3,0,0,0,3.2,10,9,9,2,4,0,0,0,0,0,25,19,13.48,3.818,24.5,4.9,9.8,0.0,0.00,
35,Ian Hamilton,27,,0.0,0,0,,6.75,1,0,0,0,0,0,2.2,3,2,2,1,1,0,0,0,0,0,11,66,9.11,1.500,10.1,3.4,3.4,0.0,0.00,
36,Jorge Alcalá,26,,0.1,0,0,,0.00,2,0,0,0,0,0,2.1,2,0,0,0,2,0,2,0,0,0,10,,3.97,1.714,7.7,0.0,7.7,7.7,1.00,
37,Austin Davis*,29,,-0.1,0,0,,16.20,2,0,2,0,0,0,1.2,1,3,3,0,4,0,3,0,0,0,10,30,6.71,3.000,5.4,0.0,21.6,16.2,0.75,
38,Jermaine Palacios,25,,0.0,0,0,,0.00,2,0,2,0,0,0,0.2,1,0,0,0,0,0,1,0,0,0,3,,0.11,1.500,13.5,0.0,0.0,13.5,,
