Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Brandon Nimmo*,29.0,3,13,12,0,4,0,1,0,1,0,0,1,1,0.333,0.385,0.5,0.885,6,0.0,0,0,0.0,0.0,*/8,
2.0,Starling Marte,33.0,3,13,12,0,2,0,0,0,0,2,0,1,1,0.167,0.231,0.167,0.397,2,1.0,0,0,0.0,0.0,*/9,
3.0,Pete Alonso,27.0,3,12,10,2,3,0,0,1,1,0,0,2,4,0.3,0.417,0.6,1.017,6,0.0,0,0,0.0,0.0,/*3,
4.0,Mark Canha,33.0,3,12,10,1,0,0,0,0,0,0,0,2,2,0.0,0.167,0.0,0.167,0,0.0,0,0,0.0,0.0,*/7,
5.0,Francisco Lindor#,28.0,3,12,10,2,2,0,0,1,1,1,0,1,2,0.2,0.333,0.5,0.833,5,0.0,1,0,0.0,0.0,/*6,
6.0,Jeff McNeil*,30.0,3,11,11,1,2,1,0,0,2,0,0,0,1,0.182,0.182,0.273,0.455,3,0.0,0,0,0.0,0.0,/*4,
7.0,Eduardo Escobar#,33.0,3,11,9,2,3,1,0,1,2,0,0,2,3,0.333,0.455,0.778,1.232,7,0.0,0,0,0.0,0.0,/*5,
8.0,Tomás Nido,28.0,3,9,8,0,1,0,0,0,0,0,0,1,4,0.125,0.222,0.125,0.347,1,1.0,0,0,0.0,0.0,/*2,
9.0,Daniel Vogelbach*,29.0,3,8,7,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,/*DH,
10.0,Darin Ruf,35.0,1,3,1,0,0,0,0,0,0,0,0,1,1,0.0,0.667,0.0,0.667,0,0.0,1,0,0.0,0.0,/D,
11.0,Luis Guillorme*,27.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H,
12.0,Francisco Alvarez,20.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H,
13.0,Terrance Gore,31.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/DH,
14.0,Seth Lugo,32.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/*1,
15.0,Mychal Givens,32.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
16.0,Trevor May,32.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
17.0,James McCann,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/2,
18.0,Edwin Díaz,28.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
19.0,Jacob deGrom*,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
20.0,Chris Bassitt,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
21.0,Adam Ottavino#,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
22.0,David Peterson*,26.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
23.0,Max Scherzer,37.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
24.0,Drew Smith,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
