Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Jose Trevino,29,C,2.3,115,353,335,39,83,12,1,11,43,2,1,15,62,.248,.283,.388,.671,89,.296,86,130,5,2,0,1,0,*2/HD,"AS,GG"
2,Anthony Rizzo*,32,1B,2.3,130,548,465,77,104,21,1,32,75,6,5,58,101,.224,.338,.480,.817,130,.350,127,223,13,23,0,2,6,*3/DH,
3,Gleyber Torres,25,2B,4.1,140,572,526,73,135,28,1,24,76,10,5,39,129,.257,.310,.451,.761,113,.334,114,237,12,3,1,3,2,*4/DH6,
4,Isiah Kiner-Falefa,27,SS,2.9,142,531,483,66,126,20,0,4,48,22,4,35,72,.261,.314,.327,.642,84,.299,83,158,13,5,3,5,2,*6/5H,
5,Josh Donaldson,36,3B,2.2,132,546,478,59,106,28,0,15,62,2,2,54,148,.222,.308,.374,.682,93,.311,98,179,13,8,0,6,1,5D/H,
6,Aaron Hicks#,32,LF,1.3,130,453,384,54,83,9,2,8,40,10,3,62,109,.216,.330,.313,.642,85,.304,90,120,10,4,1,2,3,*87H/D,
7,Aaron Judge,30,CF,10.8,157,696,570,133,177,28,0,62,131,16,3,111,175,.311,.425,.686,1.111,210,.463,208,391,14,6,0,5,19,*89D/H,"AS,MVP-1,SS"
8,Joey Gallo*,28,RF,0.0,82,273,233,32,37,4,1,12,24,2,0,40,106,.159,.282,.339,.621,76,.286,78,79,0,0,0,0,0,79/H8D,
9,Giancarlo Stanton,32,DH,0.7,110,452,398,53,84,7,0,31,78,0,0,50,137,.211,.297,.462,.759,112,.331,111,184,8,0,0,3,2,D9/H7,AS
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,DJ LeMahieu,33,IF,3.6,125,541,467,74,122,18,0,12,46,4,3,67,71,.261,.357,.377,.734,110,.339,118,176,12,4,1,2,0,543/HD,GG
11,Kyle Higashioka,32,C,0.6,83,248,229,27,52,7,0,10,31,0,1,12,52,.227,.264,.389,.653,83,.284,79,89,5,1,2,4,0,2/HD,
12,Marwin González#,33,UT,0.6,85,207,184,20,34,7,0,6,18,3,0,14,54,.185,.255,.321,.576,63,.273,66,59,8,4,3,2,0,6973H5/4D1,
13,Oswaldo Cabrera#,23,RF,1.7,44,171,154,21,38,8,1,6,19,3,2,15,44,.247,.312,.429,.740,108,.325,108,66,1,0,1,1,0,9/76345H,
14,Matt Carpenter*,36,DH,2.4,47,154,128,28,39,9,0,15,37,0,0,19,35,.305,.412,.727,1.138,216,.476,218,93,2,5,1,1,1,D9H/375,
15,Andrew Benintendi*,27,LF,0.6,33,131,114,14,29,9,1,2,12,4,1,13,25,.254,.331,.404,.734,108,.332,109,46,1,1,1,2,0,7/H,AS
16,Miguel Andujar,27,LF,0.2,27,100,96,9,22,2,0,1,8,4,0,3,22,.229,.250,.281,.531,51,.279,67,27,0,0,0,1,0,7/DH3,
17,Oswald Peraza,22,MI,0.5,18,57,49,8,15,3,0,1,2,2,0,6,9,.306,.404,.429,.832,138,.396,153,21,3,2,0,0,0,6/4H,
18,Harrison Bader,28,CF,0.0,14,49,46,3,10,3,0,0,9,2,1,2,15,.217,.245,.283,.528,50,.230,38,13,0,0,0,1,0,8/H,
19,Tim Locastro,29,OF,-0.3,38,46,43,13,8,1,0,2,4,8,2,2,7,.186,.239,.349,.588,65,.279,58,15,0,1,0,0,0,H7/89D,
20,Estevan Florial*,24,OF,-0.5,17,35,31,4,3,0,0,0,1,2,0,3,13,.097,.200,.097,.297,-11,.168,-17,3,0,1,0,0,0,8/H7D,
21,Ronald Guzmán*,27,1B,-0.2,3,6,6,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,.000,-129,0,1,0,0,0,0,/3,
22,Rob Brantly*,32,C,0.0,1,3,3,0,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,175,.419,176,2,0,0,0,0,0,/2,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
23,Jonathan Loáisiga,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
24,Clarke Schmidt,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
,Team Totals,,,35.6,162,6172,5422,807,1308,225,8,254,764,102,33,620,1391,.241,.325,.426,.751,112,.335,113,2311,121,70,14,41,36,,
