Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Nolan Arenado,31.0,2,8,8,1,1,0,0,0,0,0,0,0,2,0.125,0.125,0.125,0.25,1,0.0,0,0,0.0,0.0,/*5,
2.0,Albert Pujols,42.0,2,8,8,0,2,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,2,1.0,0,0,0.0,0.0,/*D,
3.0,Lars Nootbaar*,24.0,2,8,6,0,2,1,0,0,0,0,0,2,2,0.333,0.5,0.5,1.0,3,0.0,0,0,0.0,0.0,*/789,
4.0,Paul Goldschmidt,34.0,2,8,7,0,0,0,0,0,0,0,0,0,4,0.0,0.125,0.0,0.125,0,0.0,1,0,0.0,0.0,/*3,
5.0,Yadier Molina,39.0,2,8,8,0,1,0,0,0,0,0,0,0,2,0.125,0.125,0.125,0.25,1,0.0,0,0,0.0,0.0,/*2,
6.0,Brendan Donovan*,25.0,2,7,7,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/*4,
7.0,Tommy Edman#,27.0,2,7,6,0,1,0,0,0,0,0,0,1,1,0.167,0.286,0.167,0.452,1,0.0,0,0,0.0,0.0,/*64,
8.0,Corey Dickerson*,33.0,2,6,6,0,2,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,2,0.0,0,0,0.0,0.0,*/7,
9.0,Juan Yepez,24.0,2,5,5,1,2,0,0,1,2,0,0,0,0,0.4,0.4,1.0,1.4,5,0.0,0,0,0.0,0.0,/9H,
10.0,Dylan Carlson#,23.0,2,4,2,1,0,0,0,0,0,0,0,2,0,0.0,0.5,0.0,0.5,0,0.0,0,0,0.0,0.0,/89H,
11.0,Nolan Gorman*,22.0,1,1,1,0,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,1,0.0,0,0,0.0,0.0,/H,
12.0,Paul DeJong,28.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/6,
13.0,Ryan Helsley,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
14.0,Jordan Hicks,25.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/*1,
15.0,Miles Mikolas,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
16.0,Jordan Montgomery*,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
17.0,Giovanny Gallegos,30.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/*1,
18.0,Andre Pallante,23.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
19.0,Ben DeLuzio,27.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/8DH,
20.0,Jose Quintana,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
,Team Totals,,2,71,65,3,12,1,0,1,3,0,0,5,15,0.185,0.254,0.246,0.5,16,1.0,1,0,0.0,0.0,,
