Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Bo Bichette,24.0,2,9,8,1,2,1,0,0,0,1,0,1,1,0.25,0.333,0.375,0.708,3,0,0,0,0,0,/*6,
2.0,Matt Chapman,29.0,2,9,7,0,3,1,0,0,1,0,0,1,2,0.429,0.444,0.571,1.016,4,0,0,0,1,0,/*5,
3.0,Alejandro Kirk,23.0,2,9,8,2,3,1,0,0,0,0,0,1,1,0.375,0.444,0.5,0.944,4,0,0,0,0,0,/2D,
4.0,Teoscar Hernández,29.0,2,9,8,3,2,0,0,2,4,1,0,0,1,0.25,0.333,1.0,1.333,8,1,1,0,0,0,*/9,
5.0,Vladimir Guerrero Jr.,23.0,2,9,8,1,1,0,0,0,1,0,0,1,1,0.125,0.222,0.125,0.347,1,0,0,0,0,1,/*3,
6.0,Danny Jansen,27.0,2,8,8,0,3,1,0,0,2,0,0,0,4,0.375,0.375,0.5,0.875,4,0,0,0,0,0,/2D,
7.0,George Springer,32.0,2,8,7,0,2,0,0,0,0,0,0,0,3,0.286,0.375,0.286,0.661,2,0,1,0,0,0,*/8,
8.0,Whit Merrifield,33.0,2,6,5,0,1,0,0,0,0,0,0,0,0,0.2,0.333,0.2,0.533,1,1,1,0,0,0,/47,
9.0,Raimel Tapia*,28.0,2,6,6,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,*/7,
10.0,Santiago Espinal,27.0,1,4,4,2,2,1,0,0,0,0,0,0,0,0.5,0.5,0.75,1.25,3,0,0,0,0,0,/4,
11.0,Jackie Bradley Jr.*,32.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/8,
12.0,Kevin Gausman*,31.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
13.0,Yimi García,31.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
14.0,Anthony Bass,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
15.0,Adam Cimber,31.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
16.0,Alek Manoah,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
17.0,Tim Mayza*,30.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
18.0,Zach Pop,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
19.0,Trevor Richards,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
20.0,Jordan Romano,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
,Team Totals,,2,78,70,9,19,5,0,2,8,2,0,4,15,0.271,0.333,0.429,0.762,30,2,3,0,1,1,,
