Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Patrick Corbin*,32,SP,-2.3,6,19,.240,6.31,31,31,0,1,0,0,152.2,210,119,107,27,49,1,128,7,0,2,713,62,4.83,1.697,12.4,1.6,2.9,7.5,2.61,
2,Josiah Gray,24,SP,0.6,7,10,.412,5.02,28,28,0,0,0,0,148.2,136,84,83,38,66,1,154,8,0,7,649,78,5.86,1.359,8.2,2.3,4.0,9.3,2.33,
3,Erick Fedde,29,SP,-0.6,6,13,.316,5.81,27,27,0,0,0,0,127.0,149,84,82,21,58,0,94,0,0,6,573,68,5.15,1.630,10.6,1.5,4.1,6.7,1.62,
4,Aníbal Sánchez,38,SP,0.8,4,6,.400,4.28,14,14,0,0,0,0,69.1,55,34,33,13,33,2,48,4,0,2,292,92,5.77,1.269,7.1,1.7,4.3,6.2,1.45,
5,Joan Adon,23,SP,-1.2,1,12,.077,7.10,14,14,0,0,0,0,64.2,76,53,51,8,39,1,55,6,0,7,310,56,5.11,1.778,10.6,1.1,5.4,7.7,1.41,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
6,Tanner Rainey,29,CL,0.3,1,3,.250,3.30,29,0,20,0,0,12,30.0,26,16,11,5,13,0,36,0,0,1,128,121,4.18,1.300,7.8,1.5,3.9,10.8,2.77,
7,Erasmo Ramírez,32,RP,1.6,4,2,.667,2.92,60,2,10,0,0,0,86.1,79,31,28,11,14,1,61,6,0,1,347,135,4.05,1.077,8.2,1.1,1.5,6.4,4.36,
8,Kyle Finnegan,30,RP,1.0,6,4,.600,3.51,66,0,24,0,0,11,66.2,54,28,26,9,22,2,70,0,1,0,268,113,3.76,1.140,7.3,1.2,3.0,9.5,3.18,
9,Steve Cishek,36,RP,0.4,1,4,.200,4.21,69,0,12,0,0,1,66.1,54,33,31,11,27,1,74,13,0,3,287,94,4.85,1.221,7.3,1.5,3.7,10.0,2.74,
10,Carl Edwards Jr.,30,RP,1.4,6,3,.667,2.76,57,0,8,0,0,2,62.0,51,22,19,8,25,0,56,1,0,2,256,143,4.24,1.226,7.4,1.2,3.6,8.1,2.24,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
11,Paolo Espino,35,,0.5,0,9,.000,4.84,42,19,18,1,0,0,113.1,131,64,61,24,24,0,92,2,0,1,487,81,4.93,1.368,10.4,1.9,1.9,7.3,3.83,
12,Andrés Machado,29,,0.1,2,0,1.000,3.34,51,0,14,0,0,0,59.1,55,32,22,7,26,0,46,2,0,3,261,119,4.51,1.365,8.3,1.1,3.9,7.0,1.77,
