Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Salvador Perez,33,C,0.4,140,580,538,59,137,21,0,23,80,0,0,19,135,.255,.292,.422,.714,92,.303,86,227,11,13,0,8,6,2D3,AS
2,Nick Pratto*,24,1B,-1.3,95,345,306,33,71,16,0,7,35,1,1,29,138,.232,.307,.353,.660,80,.291,78,108,3,6,0,4,0,37/H9,
3,Michael Massey*,25,2B,-0.1,129,461,428,42,98,18,1,15,55,6,2,24,99,.229,.274,.381,.655,77,.290,76,163,3,4,1,4,0,*4H/D,
4,Bobby Witt Jr.,23,SS,4.3,158,694,641,97,177,28,11,30,96,49,15,40,121,.276,.319,.495,.813,118,.348,114,317,11,4,1,8,1,*6D/H,MVP-7
5,Maikel Garcia,23,3B,1.1,123,515,464,59,126,20,4,4,50,23,7,38,115,.272,.323,.358,.681,86,.305,85,166,9,2,1,10,0,56/D4H,
6,Edward Olivares,27,LF,0.2,107,385,354,47,93,23,4,12,36,11,5,22,64,.263,.317,.452,.769,107,.340,112,160,7,7,0,2,1,7DH/98,
7,Kyle Isbel*,26,CF,2.0,91,313,292,45,70,22,2,5,34,7,1,17,59,.240,.282,.380,.662,79,.289,73,111,5,1,1,2,0,8/HD,
8,MJ Melendez*,24,RF,-0.4,148,602,533,65,125,29,5,16,56,6,4,62,170,.235,.316,.398,.713,94,.315,95,212,4,3,0,4,2,*97D2/H3,
9,Vinnie Pasquantino*,25,DH,0.0,61,260,231,24,57,17,0,9,26,0,0,25,31,.247,.324,.437,.762,106,.328,104,101,7,2,0,1,2,3D/H,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
