Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Josh Bell#,30.0,2,8,8,1,4,2,0,0,1,0,0,0,1,0.5,0.5,0.75,1.25,6,0.0,0,0,0.0,0.0,/*3,
2.0,Jorge Soler,31.0,2,8,8,0,1,0,0,0,0,0,0,0,5,0.125,0.125,0.125,0.25,1,0.0,0,0,0.0,0.0,/*D,
3.0,Jazz Chisholm Jr.*,25.0,2,8,8,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,*/8,
4.0,Luis Arráez*,26.0,2,8,8,0,1,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,1,0.0,0,0,0.0,0.0,/*4,
5.0,Jake Burger,27.0,2,7,7,0,2,0,0,0,0,0,0,0,0,0.286,0.286,0.286,0.571,2,0.0,0,0,0.0,0.0,/*5,
6.0,Bryan De La Cruz,26.0,2,7,6,0,1,0,0,0,1,0,0,1,0,0.167,0.286,0.167,0.452,1,0.0,0,0,0.0,0.0,*/79,
7.0,Jon Berti,33.0,2,6,5,0,1,1,0,0,0,0,1,0,3,0.2,0.333,0.4,0.733,2,0.0,1,0,0.0,0.0,/*67,
8.0,Jesús Sánchez*,25.0,2,5,5,0,1,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,1,1.0,0,0,0.0,0.0,*/9,
9.0,Jacob Stallings,33.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0.0,0.0,/*2,
10.0,Nick Fortes,26.0,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,1.0,0,0,0.0,0.0,/2,
11.0,Garrett Hampson,28.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H,
12.0,Yuli Gurriel,39.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H,
13.0,Xavier Edwards#,23.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0.0,0,0,0.0,0.0,/H,
14.0,Braxton Garrett,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
15.0,Jesús Luzardo*,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
16.0,Andrew Nardi*,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
17.0,Steven Okert*,31.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
18.0,A.J. Puk*,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
19.0,David Robertson,38.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
20.0,Tanner Scott,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
21.0,JT Chargois#,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
22.0,George Soriano,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
23.0,Huascar Brazobán,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
24.0,Joey Wendle*,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/6,
,Team Totals,,2,64,62,2,12,3,0,0,2,0,1,1,16,0.194,0.219,0.242,0.461,15,3.0,1,0,0.0,0.0,,
