Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Kyle Schwarber*,30.0,13,57,47,9,12,4,0,5,6,0,0,9,17,0.255,0.386,0.66,1.046,31,1.0,1,0,0.0,2.0,*D,
2.0,Trea Turner,30.0,13,55,49,9,17,5,0,3,5,4,1,5,8,0.347,0.4,0.633,1.033,31,0.0,0,0,1.0,0.0,*6,
3.0,Bryce Harper*,30.0,13,55,42,14,12,0,0,5,8,3,1,13,11,0.286,0.455,0.643,1.097,27,2.0,0,0,0.0,2.0,*3,
4.0,Alec Bohm,26.0,13,53,46,5,11,3,0,1,6,0,0,6,9,0.239,0.34,0.37,0.709,17,2.0,1,0,0.0,0.0,*5,
5.0,Nick Castellanos,31.0,13,52,47,7,10,2,0,5,7,1,0,4,14,0.213,0.269,0.574,0.844,27,0.0,0,0,1.0,1.0,*9,
6.0,J.T. Realmuto,32.0,13,52,49,7,13,4,0,3,12,0,1,1,13,0.265,0.294,0.531,0.825,26,2.0,1,0,0.0,0.0,*2,
7.0,Bryson Stott*,25.0,13,51,46,5,11,1,0,1,9,5,0,4,14,0.239,0.294,0.326,0.62,15,1.0,0,0,1.0,0.0,*4,
8.0,Johan Rojas,22.0,13,45,43,2,4,1,1,0,0,0,0,1,15,0.093,0.114,0.163,0.276,7,0.0,0,1,0.0,0.0,*8,
9.0,Brandon Marsh*,25.0,12,42,38,2,13,4,0,1,4,2,0,4,15,0.342,0.405,0.526,0.931,20,1.0,0,0,0.0,0.0,*7/H,
10.0,Cristian Pache,24.0,4,10,7,1,1,0,0,0,1,1,0,3,3,0.143,0.4,0.143,0.543,1,0.0,0,0,0.0,0.0,/78H,
11.0,Jake Cave*,30.0,3,3,3,0,1,1,0,0,0,0,0,0,1,0.333,0.333,0.667,1.0,2,0.0,0,0,0.0,0.0,/HD,
12.0,Edmundo Sosa,27.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H6D,
13.0,Michael Lorenzen,31.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
14.0,Aaron Nola,30.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
15.0,José Alvarado*,28.0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
16.0,Craig Kimbrel,35.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
17.0,Orion Kerkering,22.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
18.0,Cristopher Sánchez*,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
19.0,Jeff Hoffman,30.0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
20.0,Gregory Soto*,28.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
21.0,Seranthony Domínguez,28.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
22.0,Matt Strahm,31.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
23.0,Garrett Stubbs*,30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/2,
24.0,Ranger Suárez*,27.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
25.0,Zack Wheeler*,33.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
