Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Juan Soto*,24,LF,5.5,162,708,568,97,156,32,1,35,109,12,5,132,129,0.275,0.41,0.519,0.93,155,0.398,159,295,18,2,1,5,11,*7/DH,"AS,MVP-6,SS"
Manny Machado,30,3B,2.9,138,601,543,75,140,21,0,30,91,3,2,50,109,0.258,0.319,0.462,0.782,113,0.337,115,251,20,2,0,6,1,5D,0
Fernando Tatis Jr.,24,RF,5.5,141,635,575,91,148,33,1,25,78,29,4,53,141,0.257,0.322,0.449,0.77,110,0.347,117,258,17,3,1,3,0,*9/8D4H,"MVP-14,GG"
Ha-Seong Kim,27,2B,5.8,152,626,538,84,140,23,0,17,60,38,9,75,124,0.26,0.351,0.398,0.749,107,0.348,118,214,7,3,5,5,1,456/HD,"MVP-14,GG"
Xander Bogaerts,30,SS,4.4,155,665,596,83,170,31,2,19,58,19,2,56,110,0.285,0.35,0.44,0.79,117,0.349,120,262,21,7,0,6,0,*6/DH,0
Trent Grisham*,26,CF,2.0,153,555,469,67,93,31,1,13,50,15,3,75,154,0.198,0.315,0.352,0.666,84,0.309,92,165,7,5,4,1,0,*8/H,0
Jake Cronenworth*,29,1B,1.0,127,522,458,54,105,24,7,10,48,6,1,46,97,0.229,0.312,0.378,0.689,89,0.306,92,173,8,11,1,5,2,34/H,0
Gary Sánchez,30,C,2.5,72,260,234,33,51,9,0,19,46,0,0,21,64,0.218,0.292,0.5,0.792,113,0.343,119,117,3,4,0,1,0,2/DH,0
Matt Carpenter*,37,DH,-0.3,76,237,188,18,33,12,0,5,31,1,0,41,67,0.176,0.322,0.319,0.641,79,0.293,83,60,2,2,0,5,0,DH3,0
Luis Campusano,24,C,1.1,49,174,163,27,52,7,0,7,30,0,0,7,21,0.319,0.356,0.491,0.847,131,0.367,136,80,8,3,0,1,0,2/DH,0
Nelson Cruz,42,DH,-0.3,49,152,143,9,35,5,1,5,23,1,0,6,46,0.245,0.283,0.399,0.681,86,0.297,85,57,2,2,0,1,1,DH/3,0
Rougned Odor*,29,2B,-0.3,59,157,138,21,28,9,0,4,18,2,1,17,37,0.203,0.299,0.355,0.654,80,0.296,86,49,2,2,0,0,0,4H/59D3,0
Garrett Cooper,32,1B,-0.1,41,133,117,14,28,7,0,4,15,0,0,14,35,0.239,0.323,0.402,0.725,99,0.315,99,47,6,1,0,1,0,3D/H,0
Matthew Batten,28,IF,0.4,43,139,120,19,31,6,0,2,11,2,2,17,30,0.258,0.355,0.358,0.713,98,0.316,103,43,0,1,1,0,0,45/3H6D,0
José Azocar,27,OF,0.1,55,102,91,16,21,6,0,2,9,8,2,4,24,0.231,0.278,0.363,0.641,75,0.295,78,33,2,2,5,0,0,98H/7D,0
Brandon Dixon,31,UT,-0.2,33,86,79,10,16,4,0,2,9,1,0,1,31,0.203,0.244,0.329,0.573,57,0.251,52,26,1,4,0,2,0,3/9HD71,0
Austin Nola,33,C,-0.5,52,154,130,9,19,3,0,1,8,0,0,18,31,0.146,0.26,0.192,0.452,28,0.225,33,25,5,2,4,0,0,2/H,0
Jurickson Profar#,30,UT,0.4,14,49,44,4,13,2,0,1,7,0,0,5,4,0.295,0.367,0.409,0.776,115,0.343,119,18,2,0,0,0,0,/73H94D,0
Brett Sullivan*,29,C,0.1,33,86,81,7,17,3,0,1,6,0,0,4,19,0.21,0.244,0.284,0.528,46,0.232,40,23,1,0,0,1,0,2/H5,0
Eguy Rosario,23,3B,0.4,11,37,36,6,9,1,1,2,6,0,0,1,12,0.25,0.27,0.5,0.77,106,0.342,118,18,1,0,0,0,0,5/H4,0
Jiman Choi*,32,1B,-0.4,16,41,31,3,2,1,0,0,2,0,0,8,8,0.065,0.268,0.097,0.365,8,0.206,22,3,1,1,0,1,0,3/DH,0
Ben Gamel*,31,OF,-0.2,6,15,15,2,3,1,0,0,2,0,0,0,2,0.2,0.2,0.267,0.467,28,0.196,14,4,0,0,0,0,0,/7H9D,0
Alfonso Rivas III*,26,1B,0.0,8,17,15,2,3,2,0,0,1,0,0,2,7,0.2,0.294,0.333,0.627,73,0.28,74,5,0,0,0,0,0,/3H,0
David Dahl*,29,RF,0.0,4,9,9,1,1,0,0,1,1,0,0,0,2,0.111,0.111,0.444,0.556,43,0.22,31,4,0,0,0,0,0,/9H,0
Taylor Kohlwey*,28,OF,-0.2,5,13,13,0,2,0,0,0,0,0,0,0,5,0.154,0.154,0.154,0.308,-14,0.131,-32,2,0,0,0,0,0,/79DH,0
Adam Engel,31,CF,-0.3,5,6,6,0,0,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,-100,-0.084,-125,0,0,0,0,0,0,/8H7,0
Chandler Seagle,27,DH,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/DH,0
Josh Hader*,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,AS
Domingo Tapia,31,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
