Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Patrick Bailey#,24,C,0.8,97,353,326,29,76,18,1,7,48,1,0,21,100,.233,.285,.359,.644,78,.284,74,117,8,3,2,1,0,2/HD,ROY-7
2,LaMonte Wade Jr.*,29,1B,2.7,135,519,429,64,110,14,2,17,45,2,0,76,95,.256,.373,.417,.790,120,.355,125,179,4,6,4,4,3,*3H7/9D8,
3,Thairo Estrada,27,2B,2.3,120,530,495,63,134,26,2,14,49,23,7,22,120,.271,.315,.416,.731,102,.325,101,206,10,11,0,2,1,46/7D,
4,Brandon Crawford*,36,SS,-1.3,93,320,283,31,55,11,1,7,38,3,0,28,81,.194,.273,.314,.587,63,.265,60,89,5,4,1,4,1,6/H1,
5,J.D. Davis,30,3B,0.9,144,546,480,61,119,23,1,18,69,1,0,52,152,.248,.325,.413,.738,104,.326,105,198,16,6,0,6,0,*5H3D,
6,Mitch Haniger,32,LF,-0.3,61,229,211,27,44,13,1,6,28,1,0,15,65,.209,.266,.365,.631,74,.278,70,77,7,2,0,1,0,79/HD,
7,Luis Matos,21,CF,-0.4,76,253,228,24,57,13,1,2,14,3,0,20,33,.250,.319,.342,.661,85,.308,89,78,3,3,2,0,0,897/HD,
8,Michael Conforto*,30,RF,0.7,125,470,406,58,97,14,0,15,58,4,0,53,106,.239,.334,.384,.718,100,.317,96,156,12,7,0,4,4,*97DH,
9,Joc Pederson*,31,DH,0.6,121,425,358,59,84,14,3,15,51,0,0,57,89,.235,.348,.416,.764,112,.335,111,149,12,7,0,3,6,D7H/93,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Wilmer Flores,31,1B,2.6,126,454,405,51,115,22,0,23,60,0,0,41,63,.284,.355,.509,.863,137,.369,135,206,13,5,0,3,1,3DH5/4,
