Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Logan Webb,26,SP,5.7,11,13,.458,3.25,33,33,0,2,1,0,216.0,201,83,78,20,31,0,194,5,0,1,850,128,3.16,1.074,8.4,0.8,1.3,8.1,6.26,"CYA-2,MVP-17"
2,Alex Cobb,35,SP,2.5,7,7,.500,3.87,28,28,0,2,1,0,151.1,163,69,65,19,37,0,131,6,5,7,646,108,4.01,1.322,9.7,1.1,2.2,7.8,3.54,AS
3,Anthony DeSclafani,33,SP,0.2,4,8,.333,4.88,19,18,0,0,0,0,99.2,105,59,54,15,20,0,79,4,0,3,419,86,4.35,1.254,9.5,1.4,1.8,7.1,3.95,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
4,Camilo Doval,25,CL,1.5,6,6,.500,2.93,69,0,60,0,0,39,67.2,51,32,22,3,26,6,87,8,3,10,281,143,2.77,1.138,6.8,0.4,3.5,11.6,3.35,AS
5,Tyler Rogers,32,RP,1.7,4,5,.444,3.04,68,0,8,0,0,2,74.0,66,27,25,7,19,2,60,3,0,0,309,138,3.76,1.149,8.0,0.9,2.3,7.3,3.16,
6,Ryan Walker,27,RP,1.0,5,3,.625,3.23,49,13,6,0,0,1,61.1,61,25,22,8,24,0,78,2,0,3,263,130,3.68,1.386,9.0,1.2,3.5,11.4,3.25,
7,Taylor Rogers*,32,RP,0.4,6,4,.600,3.83,60,0,12,0,0,2,51.2,39,27,22,6,25,3,64,3,0,3,216,109,3.91,1.239,6.8,1.0,4.4,11.1,2.56,
8,Scott Alexander*,33,RP,-0.2,7,3,.700,4.66,55,8,11,0,0,1,48.1,55,30,25,2,11,3,31,1,0,7,208,90,3.26,1.366,10.2,0.4,2.0,5.8,2.82,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
9,Sean Manaea*,31,,0.3,7,6,.538,4.44,37,10,2,0,0,1,117.2,104,68,58,14,42,0,128,8,0,3,499,94,3.90,1.241,8.0,1.1,3.2,9.8,3.05,
